Date,Open,High,Low,Close,Adjusted_close,Volume
2023-01-09,47.5,48.17,44.87,45.8,45.8,532150
2023-01-10,45.6,46.58,45.0,45.95,45.95,299007
2023-01-11,46.0,46.45,44.8,44.8,44.8,180739
2023-01-12,44.8,45.69,43.3,44.07,44.07,253547
2023-01-13,44.11,44.23,43.0,43.29,43.29,185175
2023-01-16,43.29,44.26,43.15,43.5,43.5,182777
2023-01-17,43.51,44.28,43.02,43.64,43.64,126520
2023-01-18,43.66,44.0,42.36,42.55,42.55,352689
2023-01-19,42.2,42.73,41.15,41.5,41.5,223861
2023-01-20,41.59,42.21,41.08,42.01,42.01,205925
2023-01-23,42.85,43.58,42.06,42.27,42.27,224399
2023-01-24,42.59,43.72,42.37,42.55,42.55,242235
2023-01-25,42.3,42.8,41.6,41.72,41.72,147537
2023-01-26,42.22,42.76,41.71,42.36,42.36,118170
2023-01-27,42.58,43.39,42.11,42.21,42.21,179870
2023-01-30,42.4,42.96,41.62,42.9,42.9,159819
2023-01-31,42.8,44.3,42.5,44.0,44.0,287807
2023-02-01,44.0,44.0,40.25,41.02,41.02,620431
2023-02-02,41.81,42.78,41.6,42.0,42.0,260111
2023-02-03,42.0,42.24,40.74,41.09,41.09,141217
2023-02-06,40.8,41.09,39.11,39.28,39.28,327034
2023-02-07,38.6,39.1,37.25,38.3,38.3,413823
2023-02-08,38.95,38.99,37.45,37.65,37.65,440292
2023-02-09,38.0,38.7,37.8,38.0,38.0,211966
2023-02-10,37.81,37.85,35.92,36.93,36.93,524514
2023-02-13,37.0,37.2,35.15,35.61,35.61,529981
2023-02-14,35.81,36.18,34.82,35.09,35.09,317302
2023-02-15,35.0,35.84,34.75,35.32,35.32,217667
2023-02-16,35.5,36.55,34.78,36.5,36.5,339378
2023-02-17,36.55,36.62,35.58,36.02,36.02,223804
2023-02-20,36.3,36.42,35.05,35.19,35.19,174522
2023-02-21,35.5,35.5,34.02,34.49,34.49,231283
2023-02-22,34.5,34.5,33.56,34.2,34.2,274724
2023-02-23,34.26,35.43,34.04,35.04,35.04,252363
2023-02-24,35.18,35.39,34.42,34.76,34.76,130389
2023-02-27,35.0,35.18,34.51,35.13,35.13,52761
2023-02-28,35.1,35.52,34.8,35.39,35.39,117073
2023-03-01,35.48,35.94,35.11,35.49,35.49,114209
2023-03-02,35.49,35.49,34.6,34.68,34.68,114327
2023-03-03,35.08,35.71,34.83,35.45,35.45,163952
2023-03-06,35.69,36.43,35.5,35.96,35.96,190409
2023-03-07,36.0,36.06,34.86,34.88,34.88,231989
2023-03-08,34.99,35.22,34.62,34.99,34.99,149631
2023-03-09,35.2,35.27,34.54,35.23,35.23,116881
2023-03-10,34.84,36.08,34.45,35.43,35.43,267103
2023-03-13,35.96,36.88,34.51,35.05,35.05,413456
2023-03-14,35.0,35.73,34.68,35.7,35.7,166889
2023-03-15,35.87,36.11,34.87,35.0,35.0,216657
2023-03-16,35.0,35.36,34.28,35.32,35.32,243256
2023-03-17,35.5,36.58,35.27,36.17,36.17,580034
2023-03-20,36.17,36.78,35.28,36.78,36.78,172556
2023-03-21,37.1,37.57,36.23,36.7,36.7,117491
2023-03-22,36.8,37.2,36.47,36.59,36.59,81075
2023-03-23,36.59,37.11,35.66,36.8,36.8,121600
2023-03-24,36.87,36.87,35.14,35.53,35.53,115725
2023-03-27,35.88,35.99,35.22,35.72,35.72,41882
2023-03-28,35.8,36.52,35.6,35.98,35.98,93597
2023-03-29,36.0,36.45,35.67,36.09,36.09,112624
2023-03-30,36.47,37.32,36.08,36.86,36.86,195162
2023-03-31,36.68,39.0,36.57,38.59,38.59,255913
2023-04-03,38.6,39.18,38.13,38.28,38.28,119807
2023-04-04,38.25,38.81,37.81,38.36,38.36,74452
2023-04-05,38.36,38.9,37.68,38.19,38.19,113349
2023-04-06,38.14,39.16,38.14,39.0,39.0,96320
2023-04-11,39.46,42.45,39.46,42.0,42.0,346069
2023-04-12,42.0,42.26,40.43,40.73,40.73,224796
2023-04-13,40.45,41.14,39.07,39.2,39.2,244567
2023-04-14,39.7,40.1,39.3,39.33,39.33,198089
2023-04-17,39.3,43.1,38.38,42.4,42.4,884901
2023-04-18,42.4,43.26,41.6,42.4,42.4,780976
2023-04-19,42.53,42.81,41.52,41.6,41.6,297404
2023-04-20,43.0,46.74,42.2,46.74,46.74,1609185
2023-04-21,46.47,46.95,45.32,46.8,46.8,288198
2023-04-24,46.5,47.3,45.37,46.74,46.74,390604
2023-04-25,46.5,46.53,44.77,45.1,45.1,244207
2023-04-26,44.8,44.89,42.9,44.3,44.3,336808
2023-04-27,44.3,46.19,44.1,45.5,45.5,242676
2023-04-28,46.0,46.13,44.76,44.76,44.76,101880
2023-05-02,44.44,44.76,43.56,44.25,44.25,112928
2023-05-04,44.04,46.53,43.8,45.96,45.96,217203
2023-05-05,45.97,49.0,45.86,48.78,48.78,430038
