Date,Open,High,Low,Close,Adjusted_close,Volume
2022-09-14,20.3,20.84,20.0,20.84,20.84,45720
2022-09-15,20.85,21.37,20.36,21.3,21.3,20410
2022-09-16,21.14,21.14,19.95,20.28,20.28,30110
2022-09-19,20.48,21.0,20.43,20.9,20.9,21440
2022-09-20,21.21,21.44,20.0,20.0,20.0,37400
2022-09-21,19.9,20.57,19.9,20.42,20.42,22030
2022-09-22,19.9,20.95,19.8,20.74,20.74,28590
2022-09-23,20.37,20.37,18.88,19.0,19.0,109350
2022-09-26,18.28,18.75,17.7,18.5,18.5,102820
2022-09-27,18.81,19.3,18.61,19.12,19.12,31010
2022-09-28,18.51,18.7,17.92,18.69,18.69,85780
2022-09-29,18.58,18.64,17.1,17.42,17.42,116280
2022-09-30,17.48,17.57,16.79,17.1,17.1,65520
2022-10-03,17.1,17.4,16.25,17.4,17.4,69400
2022-10-04,17.73,18.9,17.73,18.7,18.7,63980
2022-10-05,18.8,18.8,18.0,18.0,18.0,28830
2022-10-06,18.32,18.82,17.8,17.95,17.95,23020
2022-10-07,17.85,18.0,17.51,17.8,17.8,16000
2022-10-10,17.21,17.54,17.1,17.1,17.1,34860
2022-10-11,16.99,17.66,16.52,17.05,17.05,39560
2022-10-12,16.81,17.28,16.72,16.94,16.94,29330
2022-10-13,16.91,17.0,15.89,16.5,16.5,80880
2022-10-14,17.25,17.7,16.97,17.32,17.32,53500
2022-10-17,17.6,17.86,17.14,17.79,17.79,58040
2022-10-18,18.01,18.47,17.9,18.05,18.05,28140
2022-10-19,18.18,18.18,17.37,17.6,17.6,20740
2022-10-20,17.32,18.2,17.14,18.06,18.06,33560
2022-10-21,17.8,18.0,17.38,17.85,17.85,25990
2022-10-24,18.1,18.54,17.75,18.3,18.3,60210
2022-10-25,18.47,18.62,17.93,18.48,18.48,73370
2022-10-26,18.48,19.6,18.48,19.55,19.55,73330
2022-10-27,19.53,20.16,19.25,20.16,20.16,65440
2022-10-28,19.47,20.4,19.41,20.19,20.19,102960
2022-10-31,20.19,20.8,19.99,20.78,20.78,87270
2022-11-02,21.04,21.9,21.04,21.8,21.8,144460
