Date,Open,High,Low,Close,Adjusted_close,Volume
2022-09-07,27.3,28.75,25.5,28.5,28.5,207942
2022-09-08,29.0,29.45,26.7,27.35,27.35,76575
2022-09-09,27.6,28.6,27.25,28.3,28.3,45532
2022-09-12,28.7,28.7,26.5,26.7,26.7,72872
2022-09-13,26.65,26.65,22.65,25.3,25.3,311583
2022-09-14,25.0,25.6,23.65,24.45,24.45,111772
2022-09-15,24.3,24.85,22.3,22.6,22.6,114815
2022-09-16,22.4,23.4,21.6,23.4,23.4,178722
2022-09-19,23.0,23.9,22.45,23.75,23.75,75272
2022-09-20,24.1,24.65,23.0,23.9,23.9,81785
2022-09-21,23.9,24.85,23.0,24.6,24.6,58074
2022-09-22,24.4,25.45,23.8,25.3,25.3,65610
2022-09-23,25.3,25.3,23.55,23.6,23.6,65915
2022-09-26,22.5,22.8,18.64,19.88,19.88,337842
2022-09-27,20.2,21.3,20.15,20.65,20.65,148782
2022-09-28,19.8,20.75,19.5,20.0,20.0,62407
2022-09-29,19.86,20.0,18.7,18.92,18.92,90049
2022-09-30,19.0,19.96,18.34,18.4,18.4,94089
2022-10-03,18.2,19.6,17.2,19.2,19.2,156388
2022-10-04,19.5,20.3,18.42,18.8,18.8,131850
2022-10-05,20.05,20.35,19.04,19.32,19.32,57373
2022-10-06,19.3,21.2,19.18,20.7,20.7,67252
2022-10-07,20.6,22.45,20.25,21.5,21.5,77970
2022-10-10,21.2,21.3,19.08,19.2,19.2,133671
2022-10-11,19.08,19.8,18.7,19.06,19.06,86567
2022-10-12,19.0,19.6,18.4,18.4,18.4,127828
2022-10-13,18.72,18.96,17.62,18.1,18.1,77513
2022-10-14,18.6,18.96,17.5,17.6,17.6,71370
2022-10-17,17.78,18.3,17.5,18.06,18.06,25259
2022-10-18,18.5,19.7,18.5,18.56,18.56,78467
2022-10-19,18.56,24.25,18.1,23.55,23.55,387841
2022-10-20,23.8,25.4,21.45,21.45,21.45,537985
2022-10-21,21.5,23.15,21.1,21.4,21.4,133331
2022-10-24,22.05,25.0,21.65,23.85,23.85,294385
2022-10-25,24.7,25.0,22.8,23.3,23.3,162328
2022-10-26,23.3,26.15,23.0,25.75,25.75,131648
2022-10-27,26.35,27.4,24.9,25.25,25.25,197552
2022-10-28,25.05,26.65,24.8,25.9,25.9,119094
2022-10-31,27.0,32.6,26.4,27.4,27.4,1068636
2022-11-02,28.4,29.8,27.5,27.65,27.65,359529
2022-11-03,27.8,27.95,25.3,25.9,25.9,362969
2022-11-04,25.65,26.5,25.2,25.8,25.8,305887
2022-11-07,26.0,26.55,24.65,24.75,24.75,189997
2022-11-08,24.65,25.3,23.7,23.85,23.85,145589
2022-11-09,24.1,24.45,23.1,23.9,23.9,120523
2022-11-10,24.0,24.35,22.7,23.1,23.1,287931
2022-11-14,23.2,23.7,21.75,22.05,22.05,193668
2022-11-15,22.05,23.4,21.7,22.5,22.5,270950
2022-11-16,22.0,23.3,21.9,23.25,23.25,94051
