Date,Open,High,Low,Close,Adjusted_close,Volume
2022-07-07,1.59,1.59,1.51,1.555,1.555,910
2022-07-08,1.535,1.595,1.535,1.595,1.595,2637
2022-07-11,1.55,1.57,1.52,1.57,1.57,1653
2022-07-12,1.51,1.565,1.51,1.565,1.565,2769
2022-07-13,1.52,1.575,1.52,1.575,1.575,15569
2022-07-14,1.51,1.58,1.51,1.52,1.52,47739
2022-07-15,1.58,1.58,1.58,1.58,1.58,66
2022-07-18,1.515,1.56,1.51,1.56,1.56,7336
2022-07-19,1.55,1.55,1.55,1.55,1.55,888
2022-07-20,1.51,1.565,1.5,1.565,1.565,35358
2022-07-21,1.565,1.565,1.5,1.54,1.54,3154
2022-07-22,1.5,1.56,1.48,1.56,1.56,14057
2022-07-25,1.51,1.555,1.5,1.555,1.555,7502
2022-07-26,1.495,1.545,1.48,1.545,1.545,105022
2022-07-27,1.545,1.69,1.545,1.665,1.665,74054
2022-07-28,1.665,1.7,1.57,1.66,1.66,27540
2022-07-29,1.665,1.665,1.56,1.66,1.66,12983
2022-08-01,1.6,1.645,1.56,1.64,1.64,33575
2022-08-02,1.64,1.69,1.63,1.69,1.69,8167
2022-08-03,1.675,1.675,1.575,1.66,1.66,29813
2022-08-04,1.66,1.665,1.6,1.635,1.635,32149
2022-08-05,1.585,1.675,1.585,1.675,1.675,11325
2022-08-08,1.66,1.67,1.61,1.62,1.62,3153
2022-08-09,1.66,1.66,1.6,1.6,1.6,5107
2022-08-10,1.595,1.625,1.58,1.625,1.625,44955
2022-08-11,1.635,1.68,1.63,1.66,1.66,9728
2022-08-12,1.66,1.695,1.59,1.695,1.695,66023
2022-08-16,1.68,1.75,1.68,1.725,1.725,58031
2022-08-17,1.7,1.7,1.61,1.61,1.61,8408
2022-08-18,1.61,1.695,1.6,1.67,1.67,21451
2022-08-19,1.675,1.675,1.675,1.675,1.675,27
2022-08-22,1.67,1.67,1.6,1.6,1.6,5542
2022-08-23,1.62,1.645,1.62,1.645,1.645,150
2022-08-24,1.59,1.64,1.585,1.63,1.63,6901
2022-08-25,1.59,1.745,1.505,1.7,1.7,73909
2022-08-26,1.745,1.985,1.745,1.935,1.935,350980
2022-08-29,1.9,1.965,1.72,1.88,1.88,129713
2022-08-30,1.88,1.9,1.75,1.855,1.855,47442
2022-08-31,1.84,1.84,1.66,1.66,1.66,164270
2022-09-01,1.66,1.73,1.55,1.6,1.6,21550
2022-09-02,1.55,1.64,1.49,1.64,1.64,184071
2022-09-05,1.58,1.58,1.53,1.54,1.54,10825
2022-09-06,1.53,1.595,1.51,1.54,1.54,11457
2022-09-07,1.585,1.59,1.52,1.57,1.57,7895
2022-09-08,1.54,1.575,1.52,1.575,1.575,1641
2022-09-09,1.575,1.61,1.535,1.56,1.56,158413
2022-09-12,1.56,1.57,1.535,1.57,1.57,44865
2022-09-13,1.565,1.57,1.535,1.54,1.54,10919
2022-09-14,1.545,1.65,1.535,1.61,1.61,42400
2022-09-15,1.565,1.58,1.54,1.54,1.54,6638
2022-09-16,1.54,1.545,1.51,1.51,1.51,39007
2022-09-19,1.505,1.585,1.385,1.525,1.525,57469
2022-09-20,1.525,1.53,1.45,1.525,1.525,4423
2022-09-21,1.44,1.52,1.44,1.51,1.51,5377
2022-09-22,1.495,1.53,1.455,1.53,1.53,4906
2022-09-23,1.53,1.53,1.45,1.52,1.52,11955
2022-09-26,1.46,1.51,1.44,1.495,1.495,9406
2022-09-27,1.48,1.525,1.48,1.51,1.51,5116
2022-09-28,1.47,1.47,1.46,1.46,1.46,10526
2022-09-29,1.46,1.49,1.45,1.48,1.48,2740
2022-09-30,1.43,1.465,1.41,1.465,1.465,3237
2022-10-03,1.415,1.48,1.415,1.48,1.48,167739
2022-10-04,1.47,1.51,1.44,1.5,1.5,9000
2022-10-05,1.475,1.5,1.475,1.5,1.5,869
2022-10-06,1.5,1.5,1.5,1.5,1.5,192
2022-10-07,1.45,1.475,1.405,1.475,1.475,32812
2022-10-10,1.425,1.445,1.405,1.445,1.445,44289
2022-10-11,1.39,1.435,1.39,1.435,1.435,18007
2022-10-12,1.465,1.465,1.4,1.465,1.465,1705
2022-10-13,1.4,1.46,1.395,1.46,1.46,14762
2022-10-14,1.48,1.49,1.48,1.49,1.49,1703
2022-10-17,1.49,1.49,1.4,1.47,1.47,5760
2022-10-18,1.425,1.46,1.42,1.46,1.46,1786
2022-10-19,1.485,1.485,1.44,1.475,1.475,9224
2022-10-20,1.44,1.475,1.415,1.475,1.475,4861
2022-10-21,1.42,1.47,1.42,1.43,1.43,6467
2022-10-24,1.45,1.45,1.4,1.44,1.44,10160
2022-10-25,1.44,1.445,1.395,1.395,1.395,11959
2022-10-26,1.395,1.45,1.38,1.45,1.45,164723
2022-10-27,1.41,1.485,1.41,1.485,1.485,8143
2022-10-28,1.485,1.495,1.44,1.495,1.495,3693
2022-10-31,1.44,1.535,1.435,1.535,1.535,2586
2022-11-02,1.45,1.53,1.45,1.475,1.475,85305
2022-11-03,1.52,1.52,1.435,1.505,1.505,325
2022-11-04,1.445,1.535,1.445,1.535,1.535,8846
2022-11-07,1.53,1.755,1.53,1.755,1.755,175597
2022-11-08,1.715,1.8,1.62,1.795,1.795,103942
2022-11-09,1.72,1.755,1.655,1.74,1.74,5439
2022-11-10,1.745,1.75,1.635,1.695,1.695,10938
2022-11-14,1.75,1.765,1.635,1.73,1.73,22218
2022-11-15,1.685,1.95,1.655,1.905,1.905,403702
2022-11-16,1.89,1.94,1.77,1.805,1.805,141871
2022-11-17,1.805,1.915,1.78,1.915,1.915,68705
2022-11-18,1.915,1.93,1.85,1.89,1.89,86959
2022-11-21,1.935,1.935,1.835,1.86,1.86,35677
2022-11-22,1.89,1.89,1.81,1.86,1.86,7399
2022-11-23,1.83,1.99,1.83,1.98,1.98,112941
2022-11-24,2.01,2.03,1.85,1.945,1.945,100265
2022-11-25,1.9,1.9,1.82,1.84,1.84,73338
2022-11-28,1.815,1.89,1.815,1.825,1.825,9256
2022-11-29,1.825,1.845,1.645,1.845,1.845,86256
2022-11-30,1.855,2.2,1.855,2.11,2.11,1126676
2022-12-01,2.07,2.12,1.9,1.96,1.96,199895
2022-12-02,1.96,1.96,1.77,1.875,1.875,188352
2022-12-05,1.83,1.94,1.83,1.89,1.89,47372
2022-12-06,1.86,1.89,1.8,1.85,1.85,43445
2022-12-07,1.84,1.86,1.75,1.795,1.795,45905
2022-12-08,1.855,1.94,1.77,1.835,1.835,36650
2022-12-09,1.8,1.835,1.73,1.79,1.79,34982
2022-12-12,1.78,1.785,1.72,1.765,1.765,43742
2022-12-13,1.73,1.805,1.705,1.805,1.805,41122
2022-12-14,1.78,1.805,1.74,1.8,1.8,26910
2022-12-15,1.765,1.8,1.7,1.77,1.77,24813
