Date,Open,High,Low,Close,Adjusted_close,Volume
2022-10-31,6.14,6.68,6.14,6.68,6.68,4595
2022-11-02,6.6,6.6,6.4,6.48,6.48,1421
2022-11-03,6.48,6.48,6.48,6.48,6.48,596
2022-11-04,6.38,6.5,6.38,6.5,6.5,1749
2022-11-07,6.5,6.5,6.42,6.42,6.42,520
2022-11-08,6.46,6.46,6.46,6.46,6.46,128
2022-11-09,6.36,6.36,6.26,6.3,6.3,5642
2022-11-10,6.3,6.3,6.2,6.2,6.2,294
2022-11-14,6.26,6.26,6.2,6.26,6.26,28394
2022-11-15,6.3,6.3,6.2,6.2,6.2,5954
2022-11-16,6.26,6.26,6.2,6.2,6.2,685
2022-11-17,6.2,6.2,6.2,6.2,6.2,685
2022-11-18,6.2,6.26,6.2,6.26,6.26,2581
2022-11-21,6.38,6.5,6.38,6.46,6.46,3186
2022-11-22,6.48,6.48,6.28,6.28,6.28,4854
2022-11-23,6.28,6.28,6.18,6.2,6.2,5259
2022-11-24,6.16,6.2,6.0,6.14,6.14,10320
2022-11-25,6.12,6.3,6.12,6.2,6.2,17437
2022-11-28,6.14,6.14,6.0,6.1,6.1,39411
2022-11-29,6.08,6.1,6.02,6.08,6.08,10673
2022-11-30,6.08,6.1,6.0,6.08,6.08,11239
2022-12-01,6.08,6.1,6.02,6.1,6.1,5751
2022-12-02,6.1,6.1,6.1,6.1,6.1,2800
2022-12-05,6.16,6.3,6.1,6.1,6.1,1028
2022-12-06,6.16,6.2,6.08,6.1,6.1,6664
2022-12-07,6.18,6.18,6.18,6.18,6.18,469
2022-12-08,6.16,6.2,6.12,6.18,6.18,32600
2022-12-09,6.18,6.2,6.16,6.2,6.2,11859
2022-12-12,6.2,6.2,6.1,6.14,6.14,2054
2022-12-13,6.1,6.16,6.04,6.16,6.16,6279
2022-12-14,6.1,6.16,6.1,6.16,6.16,3407
2022-12-15,6.1,6.1,6.06,6.1,6.1,5662
2022-12-16,6.12,6.12,6.0,6.06,6.06,2720
2022-12-19,6.12,6.12,6.06,6.06,6.06,355
2022-12-20,6.06,6.14,6.06,6.14,6.14,193
2022-12-21,6.12,6.2,6.12,6.2,6.2,3320
2022-12-22,6.12,6.18,6.12,6.18,6.18,298
2022-12-23,6.18,6.2,6.08,6.18,6.18,1270
2022-12-27,6.12,6.12,6.06,6.12,6.12,1767
2022-12-28,6.12,6.16,6.02,6.16,6.16,4928
2022-12-29,6.1,6.16,6.08,6.16,6.16,374
2022-12-30,6.16,6.16,6.16,6.16,6.16,374
2023-01-02,6.16,6.3,6.1,6.1,6.1,2480
2023-01-03,6.28,6.28,6.1,6.14,6.14,1530
2023-01-04,6.16,6.2,6.12,6.2,6.2,5978
2023-01-05,6.2,6.2,6.1,6.16,6.16,4972
2023-01-09,6.16,6.2,6.12,6.16,6.16,4871
2023-01-10,6.14,6.16,6.14,6.16,6.16,5468
2023-01-11,6.16,6.16,6.1,6.1,6.1,5892
2023-01-12,6.12,6.12,6.1,6.1,6.1,1851
2023-01-13,6.1,6.14,6.1,6.1,6.1,3432
2023-01-16,6.12,6.28,6.06,6.12,6.12,7310
2023-01-17,6.12,6.12,6.02,6.1,6.1,2232
2023-01-18,6.1,6.1,6.1,6.1,6.1,2135
2023-01-19,6.1,6.12,6.04,6.04,6.04,1799
2023-01-20,6.06,6.1,6.04,6.1,6.1,6014
2023-01-23,6.3,6.5,6.12,6.4,6.4,18405
2023-01-24,6.52,6.8,6.4,6.46,6.46,41256
2023-01-25,6.72,6.9,6.6,6.7,6.7,29918
2023-01-26,6.7,7.0,6.7,6.92,6.92,24770
2023-01-27,6.96,7.0,6.82,6.84,6.84,9356
2023-01-30,6.96,6.96,6.66,6.66,6.66,7202
2023-01-31,6.66,6.7,6.5,6.5,6.5,3725
2023-02-01,6.52,6.9,6.52,6.52,6.52,9347
2023-02-02,6.6,6.8,6.6,6.72,6.72,6564
2023-02-03,6.74,6.9,6.72,6.72,6.72,3961
2023-02-06,6.78,7.18,6.72,6.86,6.86,32013
2023-02-07,6.86,7.0,6.86,6.88,6.88,5373
2023-02-08,7.0,7.14,6.96,7.02,7.02,5105
2023-02-09,7.0,7.04,7.0,7.04,7.04,220
2023-02-10,7.04,7.04,6.72,6.82,6.82,5727
2023-02-13,6.82,6.82,6.72,6.8,6.8,2049
2023-02-14,6.74,6.74,6.6,6.7,6.7,5282
2023-02-15,6.7,6.76,6.56,6.56,6.56,13160
2023-02-16,6.56,6.68,6.52,6.64,6.64,6285
2023-02-17,6.54,6.68,6.52,6.54,6.54,10001
2023-02-20,6.66,6.7,6.56,6.56,6.56,1048
2023-02-21,6.56,6.66,6.52,6.52,6.52,6301
2023-02-22,6.52,6.52,6.52,6.52,6.52,1043
2023-02-23,6.62,6.68,6.52,6.52,6.52,7608
2023-02-24,6.68,6.68,6.56,6.56,6.56,1005
2023-02-27,6.66,6.7,6.6,6.6,6.6,3496
2023-02-28,6.6,6.7,6.52,6.56,6.56,8250
2023-03-01,6.58,6.7,6.56,6.6,6.6,12724
2023-03-02,6.64,6.72,6.52,6.52,6.52,10599
2023-03-03,6.52,6.52,6.42,6.42,6.42,4945
2023-03-06,6.44,6.56,6.42,6.44,6.44,4738
2023-03-07,6.5,6.5,6.48,6.5,6.5,833
2023-03-08,6.44,6.44,6.44,6.44,6.44,240
2023-03-09,6.5,6.5,6.42,6.42,6.42,2822
2023-03-10,6.4,6.58,6.36,6.58,6.58,1620
2023-03-13,6.48,6.58,6.28,6.58,6.58,10273
2023-03-14,6.3,6.4,6.3,6.32,6.32,3948
2023-03-15,6.58,6.58,6.2,6.3,6.3,4145
2023-03-16,6.3,6.58,6.2,6.2,6.2,4034
2023-03-17,6.3,6.3,6.3,6.3,6.3,1508
