Date,Open,High,Low,Close,Adjusted_close,Volume
2023-07-12,19.56,19.56,18.92,19.08,19.08,32856
2023-07-13,19.2,20.45,19.2,19.84,19.84,53063
2023-07-14,20.0,20.0,19.46,19.68,19.68,29576
2023-07-17,19.68,19.72,18.9,18.94,18.94,59973
2023-07-18,19.0,19.12,18.72,18.72,18.72,24793
2023-07-19,18.8,18.8,17.44,17.76,17.76,129580
2023-07-20,17.8,18.1,17.46,17.84,17.84,36884
2023-07-21,17.58,17.94,17.52,17.84,17.84,16778
2023-07-24,17.6,17.96,17.6,17.94,17.94,13956
2023-07-25,17.86,17.94,17.72,17.9,17.9,10997
2023-07-26,18.0,18.0,17.1,17.16,17.16,45613
2023-07-27,17.1,17.36,16.78,16.82,16.82,39282
2023-07-28,16.72,17.8,16.72,17.1,17.1,64380
2023-07-31,17.1,17.2,16.82,16.88,16.88,60456
2023-08-01,17.0,17.12,16.86,17.12,17.12,14440
2023-08-02,17.0,17.48,16.86,16.9,16.9,18645
2023-08-03,16.9,16.9,16.1,16.44,16.44,36005
2023-08-04,16.32,16.68,16.04,16.24,16.24,57348
2023-08-07,16.1,16.4,16.02,16.1,16.1,15608
2023-08-08,16.2,16.2,15.02,15.2,15.2,64035
2023-08-09,15.1,15.44,14.7,14.84,14.84,55228
2023-08-10,14.98,14.98,13.88,14.34,14.34,158910
2023-08-11,14.38,14.68,14.14,14.24,14.24,34590
2023-08-14,14.36,14.94,14.14,14.86,14.86,29673
2023-08-16,14.9,16.3,14.42,15.5,15.5,93844
2023-08-17,15.62,17.0,15.62,16.3,16.3,63798
2023-08-18,16.5,17.4,16.3,16.44,16.44,79572
2023-08-21,16.78,16.86,15.12,15.22,15.22,98424
2023-08-22,15.2,15.2,14.62,14.76,14.76,29234
2023-08-23,14.8,15.4,14.78,14.98,14.98,20704
2023-08-24,15.1,15.1,14.7,14.74,14.74,15877
2023-08-25,14.82,14.88,14.2,14.32,14.32,24908
2023-08-28,14.34,14.9,14.0,14.5,14.5,35885
2023-08-29,14.44,14.76,14.22,14.5,14.5,13831
2023-08-30,14.5,15.9,14.4,15.74,15.74,40331
2023-08-31,16.16,17.14,15.76,16.06,16.06,97326
