Date,Open,High,Low,Close,Adjusted_close,Volume
2023-01-24,284.0,292.0,281.0,287.0,287.0,4002
2023-01-25,291.0,291.0,280.0,283.0,283.0,893
2023-01-26,283.0,288.5,282.0,283.5,283.5,925
2023-01-27,289.0,289.0,283.0,285.0,285.0,1434
2023-01-30,285.0,295.0,285.0,292.0,292.0,5104
2023-01-31,292.0,294.5,290.0,293.5,293.5,1514
2023-02-01,295.0,304.5,294.0,300.0,300.0,4965
2023-02-02,301.0,305.0,297.0,302.0,302.0,1426
2023-02-03,300.0,302.0,296.0,297.0,297.0,2420
2023-02-06,300.0,300.0,291.0,294.5,294.5,1086
2023-02-07,290.0,290.0,282.0,287.5,287.5,1223
2023-02-08,286.5,289.0,286.5,288.0,288.0,1707
2023-02-09,289.0,289.0,287.0,289.0,289.0,518
2023-02-10,289.0,289.0,277.0,283.0,283.0,1175
2023-02-13,283.0,283.0,278.0,281.0,281.0,1749
2023-02-14,280.5,282.0,278.0,282.0,282.0,1070
2023-02-15,283.5,285.0,277.0,279.5,279.5,1032
2023-02-16,281.0,282.0,260.0,268.0,268.0,5137
2023-02-17,267.0,270.0,264.0,270.0,270.0,743
2023-02-20,271.5,277.0,269.0,271.0,271.0,1438
2023-02-21,270.0,270.0,266.5,268.0,268.0,1130
2023-02-22,267.0,267.0,261.0,265.0,265.0,599
2023-02-23,265.5,266.5,260.0,261.5,261.5,2022
2023-02-24,262.5,262.5,256.5,260.0,260.0,1052
2023-02-27,259.5,259.5,255.0,256.0,256.0,2145
2023-02-28,257.0,257.0,253.5,254.0,254.0,1244
2023-03-01,255.0,259.5,254.0,256.0,256.0,2527
2023-03-02,258.0,258.0,255.0,255.0,255.0,1528
2023-03-03,256.0,259.5,256.0,258.0,258.0,2913
2023-03-06,258.0,266.5,258.0,265.0,265.0,3220
2023-03-07,265.0,269.0,258.0,268.0,268.0,11425
2023-03-08,267.5,279.0,267.0,279.0,279.0,1715
2023-03-09,280.0,286.0,280.0,281.0,281.0,2488
2023-03-10,277.0,285.5,276.0,281.0,281.0,2226
2023-03-13,281.0,283.5,267.5,275.0,275.0,1615
2023-03-14,271.5,277.5,271.5,275.0,275.0,727
2023-03-15,275.0,275.0,264.0,267.0,267.0,1611
2023-03-16,267.5,269.0,255.5,259.0,259.0,1978
2023-03-17,263.5,264.0,256.0,256.0,256.0,1005
2023-03-20,256.0,262.0,255.5,262.0,262.0,793
2023-03-21,262.0,269.0,262.0,265.5,265.5,584
2023-03-22,265.5,267.5,262.5,265.5,265.5,631
2023-03-23,263.5,265.5,257.0,259.0,259.0,1442
2023-03-24,262.0,262.0,256.5,260.0,260.0,299
2023-03-27,260.0,274.0,260.0,274.0,274.0,1657
2023-03-28,274.0,284.0,274.0,281.0,281.0,2400
