Date,Open,High,Low,Close,Adjusted_close,Volume
2023-05-04,122.0,123.0,120.0,120.4,120.4,5046
2023-05-05,121.0,121.0,119.6,120.4,120.4,4056
2023-05-08,120.4,120.6,116.6,117.0,117.0,9918
2023-05-09,117.2,119.0,116.2,117.6,117.6,3511
2023-05-10,120.0,120.8,118.0,118.6,118.6,2952
2023-05-11,118.6,118.6,110.4,113.0,113.0,41456
2023-05-12,113.0,113.8,112.2,113.4,113.4,4395
2023-05-15,113.4,115.8,113.0,114.4,114.4,5229
2023-05-16,115.0,115.6,114.6,114.8,114.8,3992
2023-05-17,115.4,116.4,114.8,116.2,116.2,5639
2023-05-18,116.6,118.8,115.6,118.8,118.8,5172
2023-05-19,119.0,119.6,117.4,119.4,119.4,7632
2023-05-22,119.8,120.4,117.6,119.0,119.0,5271
2023-05-23,119.6,120.8,118.4,120.0,120.0,4584
2023-05-24,120.0,120.0,113.2,116.2,116.2,15092
2023-05-25,116.8,116.8,113.6,114.8,114.8,15966
2023-05-26,115.0,116.4,114.0,114.6,114.6,4630
2023-05-29,114.8,116.0,114.2,114.2,114.2,4597
2023-05-30,114.0,116.0,113.4,115.4,115.4,6476
2023-05-31,114.8,116.0,114.0,115.0,115.0,2034
2023-06-01,114.2,115.6,114.2,115.6,115.6,2914
2023-06-02,114.2,115.4,113.4,114.4,114.4,10332
2023-06-05,115.0,119.8,115.0,119.6,119.6,12590
2023-06-06,120.0,120.0,115.8,117.8,117.8,28141
2023-06-07,118.0,119.6,117.4,118.4,118.4,24145
2023-06-09,113.4,113.8,107.4,109.0,109.0,27169
2023-06-12,110.0,110.0,106.4,107.6,107.6,11789
2023-06-13,107.6,108.0,105.0,106.6,106.6,5195
2023-06-14,106.6,106.6,103.2,104.4,104.4,7032
2023-06-15,103.6,104.0,99.9,103.0,103.0,12295
2023-06-16,102.4,108.8,101.8,106.0,106.0,8578
2023-06-19,106.0,107.2,104.8,105.8,105.8,4900
2023-06-20,106.0,106.8,105.8,106.0,106.0,2594
2023-06-21,106.0,109.0,105.6,108.4,108.4,5023
2023-06-22,108.0,108.8,106.4,107.4,107.4,3311
2023-06-23,107.8,107.8,105.6,105.8,105.8,4336
2023-06-26,105.0,106.4,102.0,103.8,103.8,6785
2023-06-27,103.8,104.0,101.6,102.0,102.0,9591
2023-06-28,101.6,103.2,100.4,101.8,101.8,8319
2023-06-29,102.0,103.6,102.0,102.6,102.6,6059
2023-06-30,102.6,104.0,102.6,103.0,103.0,3293
2023-07-03,102.8,104.2,102.8,103.0,103.0,2089
2023-07-04,104.0,104.0,102.4,102.4,102.4,1501
2023-07-05,102.4,103.0,101.2,101.2,101.2,9643
2023-07-06,100.2,101.0,97.1,100.0,100.0,10387
2023-07-07,100.2,102.4,100.0,101.8,101.8,3709
2023-07-10,100.0,101.6,99.2,100.2,100.2,7319
2023-07-11,100.2,100.8,100.0,100.6,100.6,4158
2023-07-12,100.2,101.8,99.8,100.6,100.6,10209
2023-07-13,100.8,102.0,99.5,99.9,99.9,11035
2023-07-14,99.6,100.0,98.0,99.3,99.3,49603
2023-07-17,99.2,101.8,99.0,101.0,101.0,13818
2023-07-18,101.0,102.0,100.2,102.0,102.0,4429
2023-07-19,101.8,105.8,101.4,104.8,104.8,15568
2023-07-20,105.0,105.0,102.2,102.8,102.8,6280
2023-07-21,102.6,102.6,101.4,102.2,102.2,4768
2023-07-24,102.0,102.0,99.5,99.8,99.8,10815
2023-07-25,100.0,101.6,99.6,100.6,100.6,7392
2023-07-26,100.0,100.4,99.2,99.2,99.2,11124
2023-07-27,99.2,100.6,99.0,100.0,100.0,4994
2023-07-28,100.0,101.4,99.4,101.4,101.4,6538
2023-07-31,101.0,101.4,100.2,100.8,100.8,3620
2023-08-01,100.6,101.2,100.2,101.0,101.0,2165
2023-08-02,100.4,101.0,99.7,100.0,100.0,10730
2023-08-03,101.0,101.0,98.5,99.6,99.6,19636
2023-08-04,99.6,100.8,99.6,100.0,100.0,3656
2023-08-07,100.0,100.0,99.0,99.5,99.5,3592
2023-08-08,99.6,100.2,99.2,99.6,99.6,19567
2023-08-09,101.0,102.4,98.7,98.7,98.7,10764
2023-08-10,98.5,99.0,96.3,98.3,98.3,18849
2023-08-11,98.3,98.4,96.8,97.8,97.8,15455
2023-08-14,97.6,99.7,97.5,99.3,99.3,4369
2023-08-16,99.6,99.8,97.5,97.8,97.8,4760
2023-08-17,98.9,99.1,97.0,98.8,98.8,3314
2023-08-18,98.8,98.8,92.4,95.8,95.8,18663
2023-08-21,93.7,96.0,92.6,93.4,93.4,4140
2023-08-22,93.4,94.4,88.2,89.0,89.0,19368
2023-08-23,89.1,91.9,89.0,90.0,90.0,6466
2023-08-24,90.0,91.7,90.0,91.1,91.1,4659
2023-08-25,91.1,93.5,91.0,93.1,93.1,2642
2023-08-28,93.2,94.0,91.3,92.7,92.7,3461
2023-08-29,94.0,95.8,92.3,95.8,95.8,8695
2023-08-30,95.9,95.9,92.5,94.4,94.4,4268
