Date,Open,High,Low,Close,Adjusted_close,Volume
2022-09-16,160.0,160.0,154.2,154.2,154.2,1142
2022-09-19,154.0,158.0,154.0,155.8,155.8,1740
2022-09-20,157.0,157.6,156.0,157.4,157.4,185
2022-09-21,157.6,157.6,151.0,153.0,153.0,2051
2022-09-22,154.4,154.4,152.4,153.0,153.0,184
2022-09-23,154.2,154.2,150.0,151.8,151.8,743
2022-09-26,148.2,152.0,147.0,148.0,148.0,599
2022-09-27,148.6,155.0,148.6,154.0,154.0,564
2022-09-28,153.0,153.2,151.4,153.0,153.0,1156
2022-09-29,153.2,153.2,145.2,145.2,145.2,868
2022-09-30,145.2,150.0,145.2,150.0,150.0,767
2022-10-03,152.8,152.8,147.0,147.0,147.0,941
2022-10-04,149.0,151.4,148.8,148.8,148.8,1180
2022-10-05,149.0,151.6,147.0,151.6,151.6,484
2022-10-06,151.6,151.6,150.0,151.6,151.6,152
2022-10-07,151.6,151.6,148.0,148.0,148.0,200
2022-10-10,150.0,150.0,146.0,149.2,149.2,440
2022-10-11,149.6,151.4,148.0,150.0,150.0,2385
2022-10-12,150.0,151.0,148.0,148.0,148.0,154
2022-10-13,149.0,149.0,146.4,146.4,146.4,349
2022-10-14,148.2,148.2,141.4,141.4,141.4,1899
2022-10-17,144.0,144.0,136.0,136.0,136.0,3495
2022-10-18,138.0,140.2,137.0,140.2,140.2,3527
2022-10-19,140.0,140.8,137.8,139.0,139.0,170
2022-10-20,138.8,142.2,138.8,139.6,139.6,412
2022-10-21,140.0,142.4,139.0,140.2,140.2,136
2022-10-24,142.0,142.0,138.4,141.2,141.2,826
2022-10-25,142.0,142.0,138.0,140.4,140.4,1752
2022-10-26,140.4,141.0,138.0,140.8,140.8,954
2022-10-27,141.0,142.6,140.0,141.0,141.0,532
2022-10-28,141.0,143.4,139.2,139.2,139.2,657
2022-10-31,143.2,143.2,139.6,140.0,140.0,1620
2022-11-02,141.8,142.6,138.8,142.0,142.0,4755
2022-11-03,141.8,145.0,141.0,145.0,145.0,1030
2022-11-04,145.0,151.0,144.0,151.0,151.0,2776
2022-11-07,148.2,154.0,148.0,150.2,150.2,1182
2022-11-08,151.2,152.8,150.0,152.8,152.8,941
2022-11-09,153.0,153.0,147.0,147.2,147.2,1268
2022-11-10,148.8,148.8,146.2,148.0,148.0,919
2022-11-14,148.2,151.8,148.2,151.0,151.0,1723
2022-11-15,153.0,153.0,149.0,150.2,150.2,805
2022-11-16,148.6,149.4,147.6,148.0,148.0,926
2022-11-17,147.4,150.0,145.2,146.6,146.6,952
2022-11-18,147.0,150.4,147.0,148.8,148.8,1115
2022-11-21,150.0,150.8,148.0,148.0,148.0,704
2022-11-22,150.0,150.2,146.0,148.6,148.6,9604
2022-11-23,149.8,150.0,149.0,150.0,150.0,558
2022-11-24,150.0,150.4,149.0,150.2,150.2,4286
2022-11-25,150.2,153.0,149.0,152.0,152.0,946
2022-11-28,152.0,156.0,152.0,155.6,155.6,873
2022-11-29,156.0,158.0,156.0,157.0,157.0,1517
2022-11-30,157.0,159.8,156.4,158.6,158.6,1760
2022-12-01,160.6,168.8,156.8,168.4,168.4,4028
2022-12-02,168.8,182.2,165.0,180.0,180.0,7403
2022-12-05,179.8,179.8,172.2,179.2,179.2,20063
2022-12-06,175.0,175.8,168.0,168.4,168.4,3728
2022-12-07,169.0,170.0,165.2,165.2,165.2,1271
2022-12-08,165.0,172.0,165.0,169.6,169.6,549
2022-12-09,173.0,173.0,170.0,172.0,172.0,832
