Date,Open,High,Low,Close,Adjusted_close,Volume
2022-09-27,31.88,32.2,31.2,32.2,31.0835,19138
2022-09-28,32.2,32.2,31.14,32.2,31.0835,21982
2022-09-29,32.34,32.34,31.02,31.4,30.3112,30924
2022-09-30,31.3,31.78,31.02,31.78,30.6781,11592
2022-10-03,31.38,32.2,30.74,32.2,31.0835,17798
2022-10-04,32.2,33.96,31.82,33.6,32.435,29574
2022-10-05,33.6,33.86,32.32,32.32,31.1993,276756
2022-10-06,32.6,33.48,32.58,33.48,32.3191,7315
2022-10-07,33.2,33.4,32.6,33.18,32.0295,5845
2022-10-10,33.16,33.16,31.6,32.5,31.3731,61391
2022-10-11,32.22,32.62,31.28,31.48,30.3885,47226
2022-10-12,31.66,31.66,30.6,30.62,29.5583,43087
2022-10-13,30.92,31.58,30.52,31.48,30.3885,29039
2022-10-14,31.7,32.36,31.12,31.52,30.4271,38054
2022-10-17,31.52,31.58,30.76,30.9,29.8286,51480
2022-10-18,30.88,31.86,30.6,31.3,30.2147,82619
2022-10-19,31.48,31.56,30.48,30.76,29.6934,48615
2022-10-20,30.56,31.46,29.84,30.36,29.3073,434739
2022-10-21,30.42,30.92,30.08,30.82,29.7513,29894
2022-10-24,30.96,31.18,30.2,30.36,29.3073,95774
2022-10-25,30.34,31.82,30.34,31.82,30.7167,50399
2022-10-26,31.88,33.34,31.66,33.2,32.0488,50740
2022-10-27,33.2,33.84,32.9,33.6,32.435,35586
2022-10-28,33.6,33.6,32.68,32.9,31.7592,13987
2022-10-31,33.28,34.3,33.2,33.54,32.377,21948
2022-11-02,33.88,34.08,33.34,34.0,32.8211,19876
2022-11-03,34.0,34.16,33.38,34.16,32.9755,14964
2022-11-04,34.16,34.88,33.66,34.8,33.5933,137646
2022-11-07,34.84,35.66,34.2,34.2,33.0141,36150
2022-11-08,34.2,35.26,34.18,35.26,34.0374,36641
