Date,Open,High,Low,Close,Adjusted_close,Volume
2023-02-23,5.5,5.6,5.46,5.6,5.6,63025
2023-02-24,5.58,5.62,5.5,5.57,5.57,57489
2023-02-27,5.6,5.62,5.53,5.58,5.58,37773
2023-02-28,5.62,5.69,5.56,5.66,5.66,87990
2023-03-01,5.7,5.79,5.66,5.72,5.72,91777
2023-03-02,5.7,5.73,5.62,5.7,5.7,130505
2023-03-03,5.72,5.75,5.65,5.74,5.74,80803
2023-03-06,5.75,6.0,5.72,5.97,5.97,253154
2023-03-07,5.96,5.98,5.8,5.86,5.86,135306
2023-03-08,5.86,6.05,5.82,6.05,6.05,248221
2023-03-09,6.08,6.27,6.05,6.27,6.27,214906
2023-03-10,6.19,6.19,6.06,6.14,6.14,157178
2023-03-13,6.12,6.25,5.86,6.07,6.07,387747
2023-03-14,6.1,6.56,6.01,6.56,6.56,403336
2023-03-15,6.61,6.8,6.3,6.35,6.35,505427
2023-03-16,6.35,6.63,6.21,6.3,6.3,249452
2023-03-17,6.4,6.69,6.4,6.5,6.5,206772
2023-03-20,6.49,6.5,6.26,6.44,6.44,139169
2023-03-21,6.42,6.43,6.19,6.34,6.34,101819
2023-03-22,6.32,6.63,6.25,6.62,6.62,137055
2023-03-23,6.6,6.9,6.6,6.86,6.86,285325
2023-03-24,6.9,6.94,6.62,6.79,6.79,164525
2023-03-27,6.76,6.9,6.7,6.76,6.76,144314
2023-03-28,6.76,7.19,6.7,7.18,7.18,522158
2023-03-29,7.2,7.38,7.07,7.21,7.21,215160
2023-03-30,7.21,7.4,6.8,6.85,6.85,982395
2023-03-31,6.86,7.39,6.8,7.28,7.28,524543
2023-04-03,7.27,7.52,7.25,7.28,7.28,301530
2023-04-04,7.28,7.39,7.01,7.27,7.27,230730
2023-04-05,7.28,7.42,7.1,7.12,7.12,104570
2023-04-06,7.26,7.26,7.03,7.25,7.25,170733
2023-04-11,7.27,7.75,7.25,7.7,7.7,513398
2023-04-12,7.7,7.76,7.55,7.69,7.69,179978
2023-04-13,7.68,7.83,7.6,7.72,7.72,202442
2023-04-14,7.82,7.83,7.57,7.7,7.7,346133
2023-04-17,7.7,7.77,7.53,7.72,7.72,141099
2023-04-18,7.72,7.77,7.53,7.53,7.53,124402
2023-04-19,7.53,7.66,7.4,7.53,7.53,218879
2023-04-20,7.47,7.58,7.3,7.56,7.56,287594
