Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-09-21,1495.76,1515.86,1488.25,1509.32,43,58,3,1
2022-09-22,1498.1,1526.89,1485.31,1518.19,43,58,3,1
2022-09-23,1518.03,1518.03,1453.76,1457.78,43,58,3,1
2022-09-26,1446.43,1450.7,1410.71,1433.08,43,58,3,1
2022-09-27,1443.23,1473.21,1443.23,1458.81,43,58,3,1
2022-09-28,1434.99,1440.66,1407.56,1435.37,43,58,3,1
2022-09-29,1446.35,1446.35,1375.19,1380.1,43,58,3,1
2022-09-30,1390.12,1396.76,1366.25,1377.91,43,58,3,1
2022-10-03,1379.8,1388.96,1344.02,1386.96,43,58,3,1
2022-10-04,1404.22,1449.81,1404.22,1449.81,43,58,3,1
2022-10-05,1449.73,1449.73,1418.03,1419.12,43,58,3,1
2022-10-06,1431.68,1449.55,1409.32,1417.82,43,58,3,1
2022-10-07,1414.41,1420.33,1398.86,1405.21,43,58,3,1
2022-10-10,1400.27,1400.29,1379.35,1379.49,43,58,3,1
2022-10-11,1377.66,1405.98,1360.7,1381.84,43,58,3,1
2022-10-12,1389.02,1391.14,1369.65,1377.19,43,58,3,1
2022-10-13,1378.57,1381.48,1337.71,1358.5,43,58,3,1
2022-10-14,1383.1,1409.55,1381.49,1397.23,43,58,3,1
2022-10-17,1400.06,1418.65,1384.6,1414.06,43,58,3,1
2022-10-18,1416.66,1440.9,1414.9,1427.68,43,58,3,1
2022-10-19,1430.17,1430.17,1395.73,1397.66,43,58,3,1
2022-10-20,1399.59,1429.16,1385.16,1426.52,43,58,3,1
2022-10-21,1421.96,1424.9,1397.28,1411.62,43,58,3,1
2022-10-24,1421.4,1445.85,1411.21,1433.21,43,58,3,1
2022-10-25,1438.79,1450.33,1422.44,1444.02,43,58,3,1
2022-10-26,1447.28,1487.6,1443.41,1487.6,43,58,3,1
2022-10-27,1489.37,1506.74,1474.43,1506.74,43,58,3,1
2022-10-28,1498.03,1516.82,1481.23,1508.7,43,58,3,1
2022-10-31,1511.96,1536.28,1506.41,1536.28,43,58,3,1
2022-11-02,1545.19,1573.97,1545.19,1573.97,43,58,3,1
2022-11-03,1553.61,1559.97,1538.04,1559.55,43,58,3,1
2022-11-04,1569.01,1612.09,1569.01,1601.27,43,58,3,1
2022-11-07,1605.03,1637.37,1600.71,1618.14,43,58,3,1
2022-11-08,1616.98,1644.75,1602.48,1644.75,43,58,3,1
2022-11-09,1643.42,1658.52,1638.45,1644.12,43,58,3,1
2022-11-10,1637.91,1692.72,1619.03,1690.38,43,58,3,1
2022-11-14,1697.88,1759.79,1697.88,1743.89,43,58,3,1
2022-11-15,1750.6,1784.76,1728.17,1769.55,43,58,3,1
2022-11-16,1747.81,1761.51,1731.46,1741.17,43,58,3,1
2022-11-17,1744.07,1750.96,1695.8,1708.23,43,58,3,1
2022-11-18,1709.68,1726.63,1689.34,1707.23,43,58,3,1
2022-11-21,1706.43,1706.47,1683.15,1685.5,43,58,3,1
2022-11-22,1687.07,1729.95,1681.78,1717.75,43,58,3,1
2022-11-23,1724.5,1737.75,1707.01,1713.61,43,58,3,1
2022-11-24,1724.66,1753.95,1721.85,1753.95,43,58,3,1
2022-11-25,1752.36,1764.57,1736.75,1755.69,43,58,3,1
