Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-20,23.3,23.45,23.0,23.4,23.4,20650
2022-12-21,23.35,23.4,22.8,22.8,22.8,32419
2022-12-22,22.9,23.3,22.8,23.0,23.0,32379
2022-12-23,23.0,23.45,22.8,23.35,23.35,30241
2022-12-27,23.35,23.45,22.6,22.8,22.8,51970
2022-12-28,22.8,23.1,22.3,22.9,22.9,51166
2022-12-29,22.9,23.3,22.9,23.0,23.0,22856
2022-12-30,22.95,23.3,22.8,23.0,23.0,17270
2023-01-02,23.3,24.1,23.2,23.35,23.35,52841
2023-01-03,23.5,24.3,23.3,23.5,23.5,74521
2023-01-04,23.6,23.75,23.0,23.2,23.2,47617
2023-01-05,23.2,23.65,22.65,22.75,22.75,80406
2023-01-09,23.15,23.15,22.05,22.45,22.45,95711
2023-01-10,22.35,22.95,22.3,22.7,22.7,45954
2023-01-11,22.8,23.65,22.5,23.0,23.0,57403
2023-01-12,22.8,23.25,22.8,23.1,23.1,28715
2023-01-13,23.15,23.8,22.75,23.6,23.6,63367
2023-01-16,23.85,24.85,23.25,24.55,24.55,114166
2023-01-17,24.6,25.4,24.3,25.05,25.05,132587
2023-01-18,25.0,27.0,25.0,26.45,26.45,205751
2023-01-19,27.25,29.2,25.3,25.5,25.5,440462
2023-01-20,25.85,26.35,24.95,25.3,25.3,117312
2023-01-23,25.6,26.35,25.05,25.75,25.75,59936
2023-01-24,26.0,27.15,25.75,27.0,27.0,139953
2023-01-25,27.1,28.8,27.0,28.3,28.3,156661
2023-01-26,28.65,29.4,27.65,27.9,27.9,111805
2023-01-27,27.8,28.45,27.25,28.05,28.05,64335
2023-01-30,28.2,28.3,27.2,27.5,27.5,63189
2023-01-31,27.5,28.5,27.35,28.4,28.4,49379
2023-02-01,28.2,29.7,28.15,28.95,28.95,135977
2023-02-02,28.9,29.3,28.0,28.9,28.9,49429
2023-02-03,28.9,29.75,28.45,28.75,28.75,76554
2023-02-06,28.95,29.0,27.8,28.0,28.0,43783
2023-02-07,28.05,28.15,26.9,27.1,27.1,42398
2023-02-08,27.4,27.5,26.75,27.2,27.2,19282
2023-02-09,27.2,27.8,26.75,27.05,27.05,35096
2023-02-10,27.0,27.25,26.2,26.45,26.45,30981
2023-02-13,26.8,26.9,25.7,25.95,25.95,39055
2023-02-14,25.95,26.45,25.4,25.8,25.8,29964
2023-02-15,26.0,26.15,25.55,26.05,26.05,13436
2023-02-16,26.1,26.5,26.05,26.45,26.45,17258
2023-02-17,26.4,26.75,26.0,26.45,26.45,9234
2023-02-20,26.8,26.85,26.25,26.5,26.5,6987
2023-02-21,26.45,27.3,26.2,26.4,26.4,23580
2023-02-22,26.7,26.85,25.7,25.9,25.9,19536
2023-02-23,25.7,26.65,25.7,26.2,26.2,8139
2023-02-24,26.6,26.75,25.55,25.7,25.7,28724
2023-02-27,25.8,25.95,25.5,25.5,25.5,31076
2023-02-28,25.7,25.85,25.25,25.5,25.5,22155
2023-03-01,25.5,26.55,25.5,26.3,26.3,21491
2023-03-02,26.3,28.35,25.55,25.85,25.85,141204
2023-03-03,26.3,27.85,26.0,27.0,27.0,63200
2023-03-06,27.85,28.8,27.0,28.7,28.7,100641
2023-03-07,28.8,29.2,27.5,27.8,27.8,146867
2023-03-08,28.0,28.35,27.05,28.0,28.0,44953
2023-03-09,28.2,28.5,27.55,28.0,28.0,33705
2023-03-10,27.55,27.8,27.05,27.55,27.55,26052
2023-03-13,27.55,28.3,25.65,26.0,26.0,167571
2023-03-14,25.7,26.3,24.55,25.05,25.05,137027
