Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-27,42.4,44.5,42.4,43.65,43.65,15430
2023-03-28,43.7,44.6,43.2,44.0,44.0,11634
2023-03-29,44.0,45.9,44.0,45.1,45.1,15531
2023-03-30,45.9,46.7,45.25,46.5,46.5,15669
2023-03-31,46.1,46.75,45.2,45.6,45.6,19221
2023-04-03,45.8,49.15,45.8,49.0,49.0,30127
2023-04-04,49.0,49.6,48.75,49.05,49.05,14770
2023-04-05,49.7,52.3,49.35,51.5,51.5,31176
2023-04-06,52.2,53.4,50.3,52.7,52.7,33293
2023-04-11,52.5,52.9,51.0,52.6,52.6,18258
2023-04-12,52.1,52.1,50.7,51.4,51.4,20938
2023-04-13,51.2,52.8,50.2,52.3,52.3,23848
2023-04-14,52.9,53.0,51.6,52.6,52.6,11576
2023-04-17,52.6,54.2,52.6,53.2,53.2,29695
2023-04-18,53.2,53.2,51.7,52.8,52.8,13758
2023-04-19,53.4,53.6,51.7,51.7,51.7,12898
2023-04-20,52.3,52.3,47.6,51.3,51.3,53456
2023-04-21,51.3,51.9,50.4,51.0,51.0,12808
2023-04-24,52.0,52.9,49.85,49.9,49.9,22698
2023-04-25,50.0,52.4,49.85,51.5,51.5,20780
2023-04-26,51.9,51.9,44.0,45.55,45.55,245870
2023-04-27,46.0,46.95,44.3,46.75,46.75,86376
2023-04-28,46.85,47.6,45.8,47.45,47.45,25375
2023-05-02,47.0,47.5,45.0,45.35,45.35,39953
2023-05-04,45.35,45.35,42.7,42.9,42.9,69302
2023-05-05,42.5,44.8,42.3,44.05,44.05,31813
