Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-16,30.85,31.0,30.53,30.8,30.8,14322
2022-12-19,30.83,31.08,30.81,30.91,30.91,12950
2022-12-20,30.61,31.2,30.55,31.2,31.2,7520
2022-12-21,31.22,31.65,31.01,31.64,31.64,15440
2022-12-22,31.73,31.78,31.42,31.5,31.5,16780
2022-12-23,31.33,31.53,31.3,31.53,31.53,8520
2022-12-27,31.615,31.65,31.225,31.25,31.25,12556
2022-12-28,31.255,31.465,31.11,31.365,31.365,13850
2022-12-29,31.25,31.89,31.25,31.89,31.89,18250
2022-12-30,31.805,31.845,31.565,31.675,31.675,4491
2023-01-02,31.83,32.08,31.6,31.7,31.7,10950
2023-01-03,31.82,32.45,31.75,32.29,32.29,32110
2023-01-04,32.49,32.86,32.31,32.7,32.7,19480
2023-01-05,32.76,33.4,32.63,32.87,32.87,25440
2023-01-09,33.395,33.845,33.23,33.845,33.845,27950
2023-01-10,33.535,34.325,33.5,34.245,34.245,37489
2023-01-11,34.37,34.6,33.83,33.87,33.87,28623
2023-01-12,33.895,34.525,33.895,34.08,34.08,16745
2023-01-13,34.065,34.365,33.755,34.03,34.03,24870
2023-01-16,34.13,34.345,33.69,34.18,34.18,24604
2023-01-17,34.215,34.215,33.545,33.69,33.69,11495
2023-01-18,33.7,34.15,33.53,33.84,33.84,23234
2023-01-19,33.57,33.655,33.055,33.43,33.43,36163
2023-01-20,33.475,33.575,33.25,33.47,33.47,11400
2023-01-23,33.59,34.1,33.59,34.02,34.02,11440
2023-01-24,34.16,34.44,33.825,33.93,33.93,10951
2023-01-25,33.59,33.66,33.205,33.3,33.3,14711
2023-01-26,33.63,33.965,33.475,33.81,33.81,15450
2023-01-27,33.9,34.02,33.79,33.85,33.85,10294
2023-01-30,33.615,33.615,33.275,33.42,33.42,4819
2023-01-31,33.11,33.695,33.105,33.615,33.615,5854
2023-02-01,33.515,33.76,33.08,33.09,33.09,7850
2023-02-02,33.67,33.94,33.31,33.65,33.65,7399
2023-02-03,33.65,33.9,33.5,33.71,33.71,20622
2023-02-06,33.615,33.635,32.885,32.95,32.95,11928
2023-02-07,32.975,33.175,32.9,33.055,33.055,34774
2023-02-08,33.445,33.61,33.255,33.255,33.255,7422
2023-02-09,33.56,33.825,33.42,33.495,33.495,8387
2023-02-10,33.305,33.34,32.46,32.68,32.68,17476
2023-02-13,32.81,32.95,31.0,32.71,32.71,32688
2023-02-14,32.95,33.0,32.575,32.74,32.74,3574
2023-02-15,32.68,33.08,32.55,33.04,33.04,4211
2023-02-16,33.17,33.3,32.6,32.96,32.96,4267
2023-02-17,32.66,32.985,32.625,32.895,32.895,3269
2023-02-20,32.925,32.925,32.62,32.695,32.695,4834
2023-02-21,32.65,32.66,32.045,32.225,32.225,13582
2023-02-22,32.085,32.085,31.565,31.755,31.755,20973
2023-02-23,31.885,32.31,31.855,32.305,32.305,5373
2023-02-24,32.315,32.39,31.845,31.93,31.93,4034
