Date,Open,High,Low,Close,Adjusted_close,Volume
2023-04-27,10420,11900,10300,11900,11900,11672
2023-04-28,12000,12820,11820,12000,12000,10142
2023-05-02,11980,12500,11660,12430,12430,4401
2023-05-04,12340,12600,12010,12200,12200,3087
2023-05-05,12210,12640,12210,12500,12500,2381
2023-05-08,12590,12750,12440,12490,12490,1700
2023-05-09,12600,12600,12300,12520,12520,2057
2023-05-10,12540,12630,12280,12580,12580,1938
2023-05-11,12470,12570,12280,12500,12500,2598
2023-05-12,12400,13060,12370,12920,12920,3043
2023-05-15,12970,13170,12900,12960,12960,2618
2023-05-16,12910,13100,12670,12980,12980,2182
2023-05-17,12910,12910,12750,12750,12750,1785
2023-05-18,12840,12930,12700,12770,12770,1963
2023-05-19,12780,13390,12730,13300,13300,2504
2023-05-22,13310,13420,13030,13280,13280,1621
2023-05-23,13250,13560,13180,13220,13220,2440
2023-05-24,13180,13190,12420,12450,12450,2360
2023-05-25,12540,12600,11990,12180,12180,3063
2023-05-26,12000,12600,11830,12520,12520,3088
2023-05-29,12610,12710,12330,12390,12390,561
2023-05-30,12490,12520,12080,12250,12250,1465
2023-05-31,12030,12340,11950,12000,12000,6531
2023-06-01,12000,12770,11810,12470,12470,2905
2023-06-02,12670,13090,12550,12950,12950,2890
2023-06-05,12960,13390,12880,13020,13020,2253
2023-06-06,13280,13350,13010,13150,13150,3108
2023-06-07,13310,13390,13100,13180,13180,3267
2023-06-09,13350,14060,13300,13810,13810,4224
2023-06-12,13790,14700,13610,14500,14500,5760
2023-06-13,14570,14910,13900,13900,13900,8376
2023-06-14,14200,14350,13850,14090,14090,6901
2023-06-15,13800,14290,13500,14150,14150,4742
2023-06-16,14290,14650,14150,14360,14360,8705
2023-06-19,14440,14650,14010,14080,14080,1651
2023-06-20,14130,14210,13520,13600,13600,2168
2023-06-21,13730,13770,13400,13490,13490,2384
2023-06-22,13480,13690,13230,13600,13600,2855
2023-06-23,13550,13600,13400,13480,13480,2686
2023-06-26,13600,14410,13500,14200,14200,1964
2023-06-27,14250,14500,13750,14020,14020,2131
2023-06-28,14070,14390,13880,14020,14020,1610
2023-06-29,13970,14190,13730,13870,13870,1159
2023-06-30,13860,14160,13690,14010,14010,1923
2023-07-03,14000,14400,13740,14200,14200,3372
2023-07-04,14210,14390,13830,13860,13860,2158
2023-07-05,13940,14030,13250,13400,13400,3714
2023-07-06,13400,13540,13020,13540,13540,5414
