Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-16,27.6,28.05,27.2,27.9,27.9,7565
2023-03-17,27.9,28.5,27.8,28.5,28.5,2693
2023-03-20,28.05,29.3,28.05,28.9,28.9,5979
2023-03-21,29.55,29.8,28.5,29.4,29.4,3080
2023-03-22,29.4,29.45,28.8,29.0,29.0,1434
2023-03-23,29.0,29.0,28.8,28.8,28.8,6887
2023-03-24,28.8,29.1,28.8,29.0,29.0,6385
2023-03-27,29.0,30.0,29.0,29.95,29.95,9938
2023-03-28,30.0,31.35,30.0,31.0,31.0,19550
2023-03-29,31.1,31.9,30.85,31.45,31.45,10731
2023-03-30,31.5,31.9,29.1,30.65,30.65,55139
2023-03-31,30.4,30.75,30.15,30.4,30.4,1666
2023-04-03,30.4,32.0,30.0,31.95,31.95,57028
2023-04-04,32.0,33.5,31.8,33.5,33.5,27250
2023-04-05,33.95,35.4,33.1,35.2,35.2,47523
2023-04-06,35.3,35.7,34.5,34.95,34.95,21187
2023-04-11,34.95,34.95,33.4,34.45,34.45,15506
2023-04-12,34.6,34.85,33.35,34.0,34.0,6092
2023-04-13,33.7,34.15,33.55,33.9,33.9,5496
2023-04-14,33.9,33.95,33.15,33.9,33.9,2688
2023-04-17,34.2,34.25,33.55,33.95,33.95,7755
2023-04-18,34.0,34.2,33.4,33.85,33.85,5820
2023-04-19,33.8,34.8,33.5,34.75,34.75,10510
2023-04-20,33.9,35.8,33.9,35.5,35.5,7620
2023-04-21,35.0,35.5,34.7,35.5,35.5,2434
2023-04-24,35.0,37.0,35.0,35.5,35.5,12732
2023-04-25,35.5,35.8,34.4,35.0,35.0,5451
2023-04-26,34.4,35.5,34.1,34.2,34.2,3446
2023-04-27,34.1,35.4,33.2,34.8,34.8,13699
2023-04-28,34.8,35.6,34.3,35.5,35.5,8945
2023-05-02,35.5,35.5,34.4,34.7,34.7,2764
2023-05-04,34.7,35.2,34.4,34.9,34.9,955
2023-05-05,34.9,34.9,34.0,34.3,34.3,5947
2023-05-08,34.5,36.2,34.5,35.0,35.0,8000
2023-05-09,35.0,36.8,35.0,35.8,35.8,17924
2023-05-10,36.2,36.4,35.5,35.5,35.5,1967
2023-05-11,35.5,36.4,35.5,36.2,36.2,3094
2023-05-12,35.9,36.1,34.8,35.4,35.4,2763
2023-05-15,35.6,36.0,35.4,35.6,35.6,2139
2023-05-16,35.6,35.8,35.6,35.8,35.8,3441
2023-05-17,35.7,36.0,35.5,35.5,35.5,971
2023-05-18,35.6,36.5,35.6,35.9,35.9,7754
