Date,Open,High,Low,Close,Adjusted_close,Volume
2022-10-24,4.84,4.87,4.672,4.739,4.739,3742498
2022-10-25,4.826,5.248,4.8,5.05,5.05,5274661
2022-10-26,5.08,5.298,5.038,5.2,5.2,3376541
2022-10-27,5.24,5.24,5.022,5.172,5.172,3220863
2022-10-28,5.15,5.34,5.09,5.33,5.33,3334553
2022-10-31,5.358,5.676,5.35,5.45,5.45,4667021
2022-11-02,5.55,5.85,5.55,5.838,5.838,6608954
2022-11-03,5.706,5.938,5.63,5.796,5.796,4219854
2022-11-04,5.862,6.2,5.772,6.186,6.186,6476129
2022-11-07,6.25,6.54,5.67,5.764,5.764,12262510
2022-11-08,5.77,6.004,5.586,5.89,5.89,5951553
2022-11-09,5.888,6.02,5.82,6.01,6.01,4281882
2022-11-10,6.018,6.26,5.782,6.248,6.248,3583371
2022-11-14,6.25,6.446,6.148,6.272,6.272,4815184
2022-11-15,6.3,6.36,6.08,6.314,6.314,4021697
2022-11-16,6.124,6.39,6.12,6.326,6.326,4396795
2022-11-17,6.326,6.72,6.304,6.602,6.602,4172979
2022-11-18,6.602,6.686,6.402,6.558,6.558,3522009
2022-11-21,6.576,6.826,6.472,6.72,6.72,3241801
2022-11-22,6.75,6.99,6.692,6.824,6.824,3553524
2022-11-23,6.826,6.944,6.568,6.606,6.606,4331427
2022-11-24,6.588,6.614,6.31,6.486,6.486,3533986
2022-11-25,6.5,6.624,6.422,6.528,6.528,2271541
2022-11-28,6.54,6.556,6.41,6.446,6.446,2207744
2022-11-29,6.472,6.498,6.262,6.38,6.38,3502122
2022-11-30,6.466,6.568,6.366,6.47,6.47,3828939
2022-12-01,6.56,6.76,6.56,6.76,6.76,2872313
2022-12-02,6.72,6.75,6.524,6.59,6.59,2776090
2022-12-05,6.592,6.82,6.586,6.752,6.752,2001604
2022-12-06,6.7,6.892,6.65,6.788,6.788,1633939
2022-12-07,6.816,7.1,6.748,7.004,7.004,2915154
2022-12-08,7.06,7.222,6.968,7.122,7.122,3366801
2022-12-09,7.178,7.178,6.768,6.898,6.898,4226884
2022-12-12,6.97,7.03,6.85,6.97,6.97,1768362
2022-12-13,7.016,7.016,6.748,6.83,6.83,3914549
2022-12-14,6.83,6.878,6.668,6.686,6.686,2167794
2022-12-15,6.69,6.784,6.552,6.578,6.578,2306152
2022-12-16,6.55,6.71,6.526,6.572,6.572,8280260
2022-12-19,6.614,6.808,6.476,6.548,6.548,2727564
2022-12-20,6.48,6.728,6.42,6.722,6.722,1478855
2022-12-21,6.71,6.74,6.602,6.68,6.68,1572962
2022-12-22,6.716,6.72,6.588,6.672,6.672,1840376
2022-12-23,6.67,6.698,6.584,6.69,6.69,1483412
2022-12-27,6.7,6.71,6.488,6.498,6.498,1458981
2022-12-28,6.48,6.732,6.472,6.68,6.68,1806322
2022-12-29,6.72,6.83,6.658,6.804,6.804,1595214
2022-12-30,6.81,6.942,6.754,6.884,6.884,1495533
2023-01-02,6.886,6.95,6.842,6.92,6.92,714676
2023-01-03,6.93,7.102,6.8,6.832,6.832,2416881
2023-01-04,6.9,6.976,6.85,6.946,6.946,1963265
2023-01-05,6.97,6.988,6.844,6.898,6.898,3152730
2023-01-09,6.91,7.02,6.58,6.7,6.7,7120050
2023-01-10,6.7,6.736,6.564,6.668,6.668,3319338
2023-01-11,6.68,6.936,6.68,6.81,6.81,4346674
2023-01-12,6.868,7.022,6.868,6.974,6.974,3703057
2023-01-13,6.978,7.054,6.896,6.92,6.92,2263715
2023-01-16,6.94,6.994,6.734,6.916,6.916,2036451
2023-01-17,6.89,7.0,6.864,6.95,6.95,1706358
2023-01-18,6.95,7.298,6.9,7.218,7.218,3435502
2023-01-19,7.2,7.32,7.022,7.306,7.306,3435950
2023-01-20,7.34,7.38,7.16,7.26,7.26,1583575
2023-01-23,7.26,7.48,7.188,7.47,7.47,1893020
2023-01-24,7.5,7.92,7.49,7.584,7.584,3306317
2023-01-25,7.6,7.64,7.34,7.442,7.442,1747278
2023-01-26,7.61,7.628,7.42,7.554,7.554,1433689
2023-01-27,7.55,7.626,7.48,7.56,7.56,1517697
2023-01-30,7.56,7.624,7.382,7.59,7.59,1799554
2023-01-31,7.59,7.676,7.46,7.488,7.488,2628332
2023-02-01,7.5,7.554,7.03,7.03,7.03,3416878
2023-02-02,7.25,7.4,7.076,7.118,7.118,2613193
2023-02-03,7.232,7.232,6.976,6.986,6.986,1454778
2023-02-06,7.016,7.028,6.74,6.77,6.77,2491602
2023-02-07,6.8,6.88,6.682,6.8,6.8,1484858
2023-02-08,6.89,6.94,6.766,6.872,6.872,1488957
2023-02-09,6.92,6.97,6.826,6.916,6.916,1205183
2023-02-10,6.95,6.95,6.702,6.85,6.85,2226711
2023-02-13,6.88,6.906,6.674,6.736,6.736,2165491
2023-02-14,6.75,6.828,6.712,6.766,6.766,1280195
2023-02-15,6.818,6.818,6.684,6.752,6.752,783161
2023-02-16,6.822,6.876,6.7,6.766,6.766,1146317
2023-02-17,6.76,6.898,6.704,6.898,6.898,1969089
2023-02-20,6.89,6.92,6.82,6.92,6.92,660309
2023-02-21,6.95,6.95,6.71,6.772,6.772,1152614
2023-02-22,6.802,6.802,6.628,6.686,6.686,2209714
2023-02-23,6.752,6.77,6.654,6.758,6.758,986388
2023-02-24,6.8,6.8,6.574,6.624,6.624,1308306
2023-02-27,6.66,6.706,6.61,6.66,6.66,661475
