Date,Open,High,Low,Close,Adjusted_close,Volume
2023-05-08,139.4,144.8,139.4,141.4,141.4,10837
2023-05-09,142.8,142.8,139.4,141.2,141.2,1009
2023-05-10,139.4,140.8,138.8,140.0,140.0,1461
2023-05-11,140.0,141.6,139.6,140.2,140.2,1670
2023-05-12,140.2,143.0,140.0,142.0,142.0,1996
2023-05-15,142.0,142.0,137.4,141.4,141.4,1940
2023-05-16,141.0,141.0,138.0,138.4,138.4,2170
2023-05-17,138.2,140.8,138.0,140.2,140.2,1473
2023-05-18,139.8,143.8,135.8,143.0,143.0,23664
2023-05-19,143.0,147.2,142.2,145.4,145.4,8921
2023-05-22,145.0,145.0,140.6,143.0,143.0,9242
2023-05-23,143.0,143.0,141.2,143.0,143.0,2904
2023-05-24,141.6,142.4,139.0,142.4,142.4,4410
2023-05-25,142.4,142.4,138.6,139.0,139.0,4971
2023-05-26,137.0,142.8,136.4,142.4,142.4,16811
2023-05-29,141.8,142.0,140.2,142.0,142.0,856
2023-05-30,141.6,141.6,138.8,138.8,138.8,3773
2023-05-31,139.0,140.8,136.6,138.2,138.2,20007
2023-06-01,138.0,141.0,137.6,138.0,138.0,3725
2023-06-02,138.2,142.0,138.0,142.0,142.0,1722
2023-06-05,141.8,142.6,140.2,141.8,141.8,1436
2023-06-06,141.8,142.6,140.0,142.6,142.6,9580
2023-06-07,142.8,142.8,140.6,142.4,142.4,1969
2023-06-09,142.0,142.6,141.6,142.0,142.0,4224
2023-06-12,141.6,142.0,141.0,142.0,142.0,1583
2023-06-13,142.4,142.4,140.6,140.6,140.6,2177
2023-06-14,140.6,142.0,140.6,141.0,141.0,1892
2023-06-15,141.0,141.8,140.6,140.6,140.6,1837
2023-06-16,141.8,142.0,141.0,142.0,142.0,7026
2023-06-19,142.0,143.2,141.2,142.8,142.8,7070
2023-06-20,142.8,142.8,141.6,142.6,142.6,4902
2023-06-21,141.6,142.6,139.8,140.8,140.8,4941
2023-06-22,140.6,143.0,140.2,143.0,143.0,7736
2023-06-23,135.0,135.4,130.2,130.2,130.2,8252
2023-06-26,131.0,131.0,128.0,128.0,128.0,3404
2023-06-27,127.0,132.0,124.0,129.6,129.6,5127
2023-06-28,134.0,134.4,131.0,134.2,134.2,5287
2023-06-29,134.2,141.6,134.2,141.0,141.0,7116
2023-06-30,141.0,141.0,136.0,138.8,138.8,3652
2023-07-03,138.0,141.6,138.0,140.0,140.0,10642
2023-07-04,140.8,143.2,140.8,143.0,143.0,12354
2023-07-05,143.0,149.6,141.6,148.0,148.0,43798
2023-07-06,149.0,150.6,147.0,148.6,148.6,27159
2023-07-07,149.0,151.0,147.6,151.0,151.0,4118
2023-07-10,148.0,150.4,148.0,149.8,149.8,3752
2023-07-11,149.8,154.0,149.6,154.0,154.0,3948
2023-07-12,154.0,154.6,149.8,154.0,154.0,10125
2023-07-13,154.0,154.6,152.8,153.4,153.4,7117
2023-07-14,151.6,152.8,149.6,151.8,151.8,6745
2023-07-17,151.8,151.8,147.8,147.8,147.8,4227
2023-07-18,147.8,152.0,147.4,149.0,149.0,1380
2023-07-19,150.0,151.0,148.2,150.0,150.0,2095
2023-07-20,150.0,150.0,144.4,145.8,145.8,2996
2023-07-21,145.6,146.0,142.8,146.0,146.0,3829
2023-07-24,146.0,146.2,143.8,144.0,144.0,3323
2023-07-25,144.6,145.8,139.8,141.4,141.4,5644
2023-07-26,142.0,143.8,140.2,141.0,141.0,1342
2023-07-27,140.8,146.4,139.8,144.6,144.6,2058
2023-07-28,144.4,147.2,143.0,145.6,145.6,1697
2023-07-31,146.0,147.8,142.8,147.8,147.8,2195
2023-08-01,147.8,147.8,144.4,146.8,146.8,4756
2023-08-02,145.0,149.8,144.4,149.8,149.8,3076
2023-08-03,147.0,149.4,147.0,147.4,147.4,6761
2023-08-04,149.6,149.8,147.4,148.2,148.2,3180
2023-08-07,148.2,149.0,148.2,148.2,148.2,3543
2023-08-08,148.2,150.0,148.2,149.2,149.2,1187
2023-08-09,150.0,150.0,148.2,148.6,148.6,3174
2023-08-10,148.6,150.0,148.2,149.8,149.8,1911
2023-08-11,150.0,152.0,148.0,148.2,148.2,7853
2023-08-14,148.2,153.0,148.2,152.4,152.4,5579
2023-08-16,153.0,153.0,148.2,148.4,148.4,2624
2023-08-17,148.2,152.0,144.2,145.6,145.6,4797
2023-08-18,145.6,147.0,144.0,146.0,146.0,2979
2023-08-21,147.0,155.0,146.2,155.0,155.0,7635
2023-08-22,155.0,155.0,149.0,150.4,150.4,3350
2023-08-23,150.4,150.6,146.0,146.0,146.0,4475
2023-08-24,145.6,149.8,145.4,148.4,148.4,2051
2023-08-25,148.0,149.0,146.2,148.6,148.6,4232
2023-08-28,149.4,153.8,148.6,151.2,151.2,6151
2023-08-29,153.0,153.0,150.0,150.4,150.4,4084
2023-08-30,150.4,152.0,148.8,152.0,152.0,2925
2023-08-31,151.0,154.0,151.0,154.0,154.0,2773
