Date,Open,High,Low,Close,Adjusted_close,Volume
2023-04-17,104.8,104.8,103.0,103.8,103.8,18056
2023-04-18,103.4,104.6,102.8,104.2,104.2,23684
2023-04-19,104.2,104.8,104.0,104.4,104.4,11856
2023-04-20,104.8,104.8,104.0,104.6,104.6,10972
2023-04-21,104.8,107.0,103.8,104.2,104.2,42561
2023-04-24,104.0,107.2,104.0,107.0,107.0,92913
2023-04-25,107.2,110.0,105.4,109.4,109.4,65084
2023-04-26,109.4,111.6,108.0,110.2,110.2,25561
2023-04-27,110.2,111.2,109.0,111.0,111.0,13926
2023-04-28,111.0,116.0,111.0,116.0,116.0,19736
2023-05-02,116.0,118.4,113.8,114.6,114.6,3584
2023-05-04,115.0,115.0,110.2,111.2,111.2,3671
2023-05-05,111.0,116.2,111.0,113.6,113.6,3737
2023-05-08,116.4,118.4,114.2,114.4,114.4,3368
2023-05-09,114.8,114.8,113.0,113.2,113.2,2235
2023-05-10,114.0,118.4,113.2,116.8,116.8,49281
2023-05-11,117.8,117.8,115.4,116.0,116.0,1469
2023-05-12,117.4,122.4,117.2,120.4,120.4,4649
2023-05-15,120.6,122.4,116.8,119.0,119.0,56169
2023-05-16,116.8,121.0,116.8,121.0,121.0,1545
2023-05-17,121.0,121.0,119.6,120.8,120.8,1140
2023-05-18,119.6,121.0,119.4,120.6,120.6,1528
2023-05-19,120.6,121.6,118.4,121.6,121.6,31547
2023-05-22,121.8,121.8,120.4,121.6,121.6,38372
2023-05-23,121.0,121.0,117.4,120.6,120.6,21399
2023-05-24,120.2,120.2,114.4,115.2,115.2,14590
2023-05-25,115.0,117.8,112.8,116.0,116.0,7465
2023-05-26,116.4,117.8,115.0,117.0,117.0,14670
2023-05-29,116.2,116.8,116.0,116.8,116.8,969
