Date,Open,High,Low,Close,Adjusted_close,Volume
2023-01-09,91.0,94.5,91.0,93.8,93.8,16012
2023-01-10,93.2,94.8,92.0,94.0,94.0,6500
2023-01-11,94.1,94.8,92.0,93.0,93.0,2604
2023-01-12,93.3,98.4,90.0,97.4,97.4,25655
2023-01-13,97.6,101.0,97.0,98.6,98.6,20779
2023-01-16,99.4,102.0,99.1,101.8,101.8,21214
2023-01-17,102.0,102.2,99.4,100.8,100.8,5244
2023-01-18,100.8,102.0,100.8,101.6,101.6,4804
2023-01-19,101.0,101.6,99.4,101.6,101.6,7673
2023-01-20,100.4,107.6,100.2,107.2,107.2,25466
2023-01-23,107.4,109.4,105.4,109.4,109.4,14357
2023-01-24,108.6,111.0,104.8,107.2,107.2,15360
2023-01-25,108.4,110.4,106.6,109.0,109.0,7631
2023-01-26,109.0,110.0,107.2,109.0,109.0,2593
2023-01-27,109.0,111.8,107.6,110.8,110.8,5401
2023-01-30,110.8,111.6,107.6,109.2,109.2,4427
2023-01-31,109.4,114.8,106.4,114.6,114.6,13805
2023-02-01,114.8,114.8,105.0,106.8,106.8,19582
2023-02-02,108.6,109.4,103.6,106.8,106.8,7878
2023-02-03,106.8,108.8,105.2,108.0,108.0,4732
2023-02-06,108.2,110.8,104.0,107.0,107.0,15363
2023-02-07,108.0,110.6,105.0,110.2,110.2,17420
2023-02-08,110.6,111.8,109.4,109.6,109.6,6050
2023-02-09,114.8,115.8,108.2,108.8,108.8,42716
2023-02-10,108.0,110.8,105.6,106.0,106.0,7562
2023-02-13,106.2,107.0,104.8,106.0,106.0,3015
2023-02-14,107.0,107.8,104.8,105.6,105.6,1859
2023-02-15,105.0,109.6,103.8,109.6,109.6,4387
2023-02-16,109.8,110.0,106.4,108.2,108.2,3057
2023-02-17,108.0,110.0,107.0,109.4,109.4,1623
2023-02-20,109.4,110.0,108.0,109.0,109.0,3144
2023-02-21,109.4,109.4,105.4,107.0,107.0,1914
2023-02-22,107.0,108.0,105.4,108.0,108.0,2362
2023-02-23,108.0,108.0,105.4,106.8,106.8,2743
2023-02-24,106.8,107.4,105.8,106.2,106.2,3324
2023-02-27,106.8,109.0,106.0,108.8,108.8,4468
2023-02-28,108.6,114.0,107.8,113.6,113.6,17407
2023-03-01,113.6,113.6,111.4,112.4,112.4,3517
2023-03-02,111.8,112.0,108.0,109.4,109.4,7333
2023-03-03,109.0,109.0,106.2,106.4,106.4,8323
2023-03-06,106.8,108.4,106.0,106.4,106.4,6194
