Date,Open,High,Low,Close,Adjusted_close,Volume
2023-05-15,3.72,3.74,3.67,3.67,3.67,9498
2023-05-16,3.69,3.69,3.67,3.69,3.69,3288
2023-05-17,3.64,3.69,3.6,3.67,3.67,7796
2023-05-18,3.64,3.7,3.63,3.7,3.7,9493
2023-05-19,3.66,3.66,3.6,3.6,3.6,2430
2023-05-22,3.67,3.68,3.61,3.61,3.61,2662
2023-05-23,3.63,3.63,3.62,3.62,3.62,3099
2023-05-24,3.61,3.62,3.6,3.6,3.6,7892
2023-05-25,3.6,3.64,3.6,3.64,3.64,1443
2023-05-26,3.61,3.64,3.61,3.64,3.64,1103
2023-05-29,3.63,3.63,3.63,3.63,3.63,200
2023-05-30,3.67,3.67,3.66,3.66,3.66,4178
2023-05-31,3.67,3.69,3.62,3.69,3.69,30024
2023-06-01,3.69,3.69,3.69,3.69,3.69,6748
2023-06-02,3.67,3.8,3.66,3.79,3.79,18575
2023-06-05,3.79,3.88,3.78,3.82,3.82,15745
2023-06-06,3.82,3.86,3.79,3.79,3.79,7212
2023-06-07,3.82,3.82,3.79,3.8,3.8,11421
2023-06-09,3.79,3.8,3.66,3.71,3.71,9812
2023-06-12,3.73,3.88,3.7,3.86,3.86,17092
2023-06-13,3.83,3.83,3.83,3.83,3.83,4
2023-06-14,3.8,3.8,3.72,3.72,3.72,9254
2023-06-15,3.7,3.9,3.7,3.89,3.89,5221
2023-06-16,3.71,3.76,3.71,3.76,3.76,1234
2023-06-19,3.76,3.79,3.76,3.78,3.78,3610
2023-06-20,3.85,3.85,3.76,3.83,3.83,3023
2023-06-21,3.83,3.84,3.83,3.83,3.83,422
2023-06-22,3.82,3.82,3.72,3.81,3.81,6230
2023-06-23,3.83,3.83,3.71,3.82,3.82,6383
2023-06-26,3.71,3.78,3.71,3.77,3.77,14893
2023-06-27,3.77,3.77,3.67,3.75,3.75,14557
2023-06-28,3.7,3.74,3.7,3.73,3.73,4018
2023-06-29,3.67,3.67,3.58,3.67,3.67,2755
2023-06-30,3.6,3.61,3.6,3.6,3.6,7954
2023-07-03,3.66,3.92,3.61,3.92,3.92,53819
2023-07-04,3.82,3.82,3.75,3.75,3.75,5087
2023-07-05,3.8,3.8,3.75,3.8,3.8,5402
2023-07-06,3.8,3.8,3.7,3.7,3.7,5289
2023-07-07,3.7,3.78,3.63,3.78,3.78,2631
2023-07-10,3.78,3.78,3.65,3.65,3.65,2684
