Date,Open,High,Low,Close,Adjusted_close,Volume
2023-01-02,39.32,42.0,39.1,42.0,42.0,325911
2023-01-03,42.22,44.46,42.22,43.08,43.08,196903
2023-01-04,43.08,43.8,42.16,42.48,42.48,106622
2023-01-05,42.5,44.8,42.1,44.7,44.7,125808
2023-01-09,45.0,46.36,44.9,45.34,45.34,109381
2023-01-10,45.28,45.98,44.56,45.32,45.32,81394
2023-01-11,45.6,45.82,45.0,45.0,45.0,152579
2023-01-12,44.46,45.88,44.42,45.0,45.0,123320
2023-01-13,44.96,45.88,44.96,45.0,45.0,63598
2023-01-16,45.04,46.48,44.6,45.94,45.94,59494
2023-01-17,45.94,45.98,44.9,45.0,45.0,147575
2023-01-18,44.82,45.64,44.82,45.08,45.08,38528
2023-01-19,44.82,45.52,44.8,45.0,45.0,154373
2023-01-20,45.5,46.7,44.58,45.0,45.0,121464
2023-01-23,45.02,45.96,44.82,45.7,45.7,116840
2023-01-24,45.7,46.1,44.84,45.1,45.1,73667
2023-01-25,45.36,45.84,44.96,45.0,45.0,31162
2023-01-26,45.08,45.72,45.0,45.38,45.38,18735
2023-01-27,45.2,45.68,44.22,44.22,44.22,75152
2023-01-30,44.02,44.02,42.32,42.66,42.66,59604
2023-01-31,42.56,45.66,42.52,45.46,45.46,128765
2023-02-01,45.32,45.34,43.42,43.6,43.6,64191
2023-02-02,44.6,44.62,43.38,43.46,43.46,71423
2023-02-03,44.2,44.28,43.14,43.42,43.42,49975
2023-02-06,43.42,43.44,42.2,42.8,42.8,67276
2023-02-07,42.96,43.5,42.34,42.34,42.34,57983
2023-02-08,42.5,43.78,42.5,43.18,43.18,41684
2023-02-09,43.6,44.36,43.1,44.16,44.16,51301
2023-02-10,43.92,43.92,42.78,42.82,42.82,152999
2023-02-13,42.6,43.92,42.6,43.48,43.48,31972
2023-02-14,43.7,43.94,42.42,42.6,42.6,35597
2023-02-15,42.62,42.74,42.12,42.3,42.3,64419
2023-02-16,42.98,42.98,41.82,42.34,42.34,64506
2023-02-17,42.4,42.78,42.1,42.3,42.3,14228
2023-02-20,42.68,42.76,41.1,41.1,41.1,64819
2023-02-21,41.12,41.26,39.82,39.82,39.82,144985
2023-02-22,39.6,40.0,38.5,39.0,39.0,94873
2023-02-23,39.0,39.64,38.52,39.0,39.0,65333
2023-02-24,39.46,39.46,37.86,38.16,38.16,82709
