Date,Open,High,Low,Close,Adjusted_close,Volume
2023-05-15,704,712,682,707,707,2703
2023-05-16,714,715,697,704,704,1853
2023-05-17,705,705,682,693,693,2705
2023-05-18,690,709,687,697,697,4789
2023-05-19,700,709,694,708,708,785
2023-05-22,709,709,694,700,700,10818
2023-05-23,703,750,703,730,730,35977
2023-05-24,730,734,685,696,696,4864
2023-05-25,700,704,691,704,704,3114
2023-05-26,704,720,704,712,712,6879
2023-05-29,706,712,694,704,704,1799
2023-05-30,705,715,701,715,715,1003
2023-05-31,715,730,715,719,719,45944
2023-06-01,716,734,715,722,722,1251
2023-06-02,725,749,720,749,749,2669
2023-06-05,745,750,735,745,745,1189
2023-06-06,740,750,736,750,750,3304
2023-06-07,745,754,736,752,752,1052
2023-06-09,751,758,740,758,758,1118
2023-06-12,758,758,741,749,749,614
2023-06-13,750,755,716,755,755,2496
2023-06-14,742,769,742,768,768,5827
2023-06-15,768,768,746,746,746,1079
2023-06-16,748,771,747,770,770,1915
2023-06-19,770,770,748,749,749,603
2023-06-20,747,768,742,754,754,1781
2023-06-21,753,778,753,774,774,989
2023-06-22,772,784,771,783,783,954
2023-06-23,776,793,776,790,790,1450
2023-06-26,787,794,786,787,787,974
2023-06-27,788,788,768,779,779,718
2023-06-28,777,783,769,770,770,1886
2023-06-29,770,794,770,780,780,3267
2023-06-30,777,779,756,763,763,1007
2023-07-03,761,774,761,766,766,799
2023-07-04,766,774,738,745,745,974
2023-07-05,740,747,735,736,736,1873
2023-07-06,739,755,731,750,750,721
2023-07-07,749,767,741,764,764,560
2023-07-10,759,772,757,767,767,420
2023-07-11,772,783,761,761,761,1261
2023-07-12,763,786,763,786,786,1306
2023-07-13,785,788,778,780,780,885
2023-07-14,777,797,777,797,797,1537
2023-07-17,797,806,786,798,798,975
2023-07-18,799,805,787,800,800,954
2023-07-19,799,804,789,796,796,527
2023-07-20,788,820,788,798,798,3632
2023-07-21,795,802,790,790,790,405
2023-07-24,787,799,761,767,767,1436
2023-07-25,774,779,773,776,776,757
2023-07-26,774,781,768,770,770,229
2023-07-27,770,773,767,767,767,222
2023-07-28,764,778,762,765,765,663
2023-07-31,765,781,761,769,769,591
2023-08-01,761,770,761,770,770,584
2023-08-02,765,765,745,750,750,1255
2023-08-03,743,752,738,746,746,450
2023-08-04,746,765,746,765,765,434
2023-08-07,775,775,742,749,749,2117
2023-08-08,745,756,741,744,744,1532
2023-08-09,756,756,739,743,743,879
2023-08-10,743,761,741,755,755,1674
2023-08-11,750,756,750,750,750,480
2023-08-14,750,774,750,762,762,1342
2023-08-16,750,760,750,750,750,422
2023-08-17,750,762,750,761,761,737
2023-08-18,763,763,755,762,762,1409
2023-08-21,760,780,760,773,773,508
2023-08-22,774,775,760,764,764,336
2023-08-23,762,764,760,760,760,344
2023-08-24,762,767,760,762,762,3633
2023-08-25,758,765,758,763,763,247
2023-08-28,766,788,766,785,785,3169
2023-08-29,785,794,760,760,760,1300
2023-08-30,758,758,726,740,740,1638
