Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-20,41.94,43.4,41.58,43.26,41.76,162964
2022-12-21,42.16,42.46,41.4,42.2,42.2,23979
2022-12-22,42.2,42.36,41.5,41.5,41.5,21356
2022-12-23,41.4,41.5,41.04,41.16,41.16,17985
2022-12-27,41.26,41.26,40.52,41.22,41.22,22141
2022-12-28,40.82,41.02,40.6,41.0,41.0,16169
2022-12-29,41.0,41.1,40.6,40.8,40.8,11812
2022-12-30,41.08,41.5,40.86,41.46,41.46,14285
2023-01-02,41.46,41.98,41.2,41.98,41.98,14166
2023-01-03,42.5,43.28,42.1,43.04,43.04,75644
2023-01-04,43.0,43.6,42.9,43.44,43.44,127954
2023-01-05,43.26,44.42,43.26,44.24,44.24,90929
2023-01-09,44.5,45.3,44.04,45.0,45.0,254626
2023-01-10,45.0,45.66,44.74,45.2,45.2,46573
2023-01-11,45.2,45.38,43.52,43.66,43.66,57849
2023-01-12,43.8,44.0,43.3,43.76,43.76,39317
2023-01-13,43.8,44.0,43.2,43.68,43.68,33216
2023-01-16,43.52,43.6,42.6,42.62,42.62,31428
2023-01-17,42.62,44.0,42.3,43.74,43.74,51183
2023-01-18,43.76,45.08,43.4,44.96,44.96,55797
2023-01-19,44.52,45.48,43.68,45.22,45.22,109738
2023-01-20,45.5,46.56,45.4,46.54,46.54,104161
2023-01-23,46.54,48.48,46.46,48.36,48.36,166345
2023-01-24,48.04,49.2,47.54,47.94,47.94,103421
2023-01-25,47.7,48.62,46.96,47.72,47.72,57928
2023-01-26,47.76,48.96,47.68,48.46,48.46,40806
2023-01-27,48.4,48.78,47.08,47.4,47.4,75211
2023-01-30,47.0,47.34,46.54,47.34,47.34,37576
2023-01-31,47.38,48.6,47.02,48.0,48.0,94324
2023-02-01,47.7,48.7,47.34,48.5,48.5,112831
2023-02-02,48.44,48.48,47.12,47.24,47.24,33790
2023-02-03,47.42,48.42,47.24,48.4,48.4,23089
2023-02-06,48.2,49.5,47.54,49.42,49.42,64510
2023-02-07,49.44,49.5,48.3,48.88,48.88,29846
2023-02-08,49.0,49.9,48.98,49.6,49.6,39119
2023-02-09,49.6,49.96,49.2,49.48,49.48,126314
2023-02-10,49.48,49.48,47.24,47.58,47.58,32119
2023-02-13,50.1,51.35,50.05,51.0,51.0,555786
2023-02-14,50.75,51.3,50.2,51.15,51.15,67756
2023-02-15,51.0,51.15,50.5,50.75,50.75,51985
2023-02-16,50.55,50.8,50.2,50.55,50.55,28533
2023-02-17,50.45,50.8,50.45,50.7,50.7,14174
2023-02-20,50.6,50.75,50.5,50.5,50.5,22179
2023-02-21,50.5,51.35,50.2,51.35,51.35,96929
2023-02-22,51.2,51.95,50.7,51.95,51.95,76178
2023-02-23,51.95,51.95,51.4,51.85,51.85,38764
2023-02-24,51.6,51.85,50.65,51.5,51.5,48080
2023-02-27,51.0,51.7,50.8,51.25,51.25,25877
2023-02-28,51.1,51.9,51.0,51.9,51.9,28128
2023-03-01,51.8,52.05,51.5,51.85,51.85,54036
2023-03-02,51.9,51.95,50.9,51.95,51.95,32684
2023-03-03,52.0,52.0,51.3,51.3,51.3,19685
2023-03-06,51.7,51.95,51.25,51.9,51.9,45406
2023-03-07,51.95,52.15,51.5,52.0,52.0,39552
2023-03-08,52.0,52.85,51.75,52.75,52.75,45664
2023-03-09,52.0,53.0,51.6,53.0,53.0,65940
2023-03-10,52.6,52.95,52.1,52.8,52.8,110686
2023-03-13,52.4,52.65,51.7,52.65,52.65,70677
2023-03-14,52.5,52.5,51.8,52.2,52.2,78009
2023-03-15,52.05,52.6,51.4,52.0,52.0,143251
2023-03-16,52.0,52.5,51.5,52.1,52.1,95560
2023-03-17,52.5,53.0,51.85,53.0,53.0,207677
2023-03-20,53.0,53.3,52.4,52.75,52.75,31111
2023-03-21,52.75,53.15,52.25,52.8,52.8,22738
