Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-14,6.2,6.44,6.2,6.38,6.3097,96524
2022-11-15,6.44,6.55,6.2,6.26,6.1911,104392
2022-11-16,6.11,6.19,6.08,6.11,6.0427,112393
2022-11-17,6.5,6.65,6.26,6.38,6.3097,274342
2022-11-18,6.41,6.57,6.34,6.45,6.379,115347
2022-11-21,6.6,6.74,6.56,6.65,6.5768,69638
2022-11-22,6.73,6.82,6.68,6.75,6.6757,77415
2022-11-23,6.77,6.78,6.55,6.62,6.5471,50620
2022-11-24,6.67,6.67,6.42,6.51,6.4383,54036
2022-11-25,6.65,6.74,6.56,6.68,6.6064,46187
2022-11-28,6.75,7.04,6.74,7.02,6.9427,392819
2022-11-29,7.05,7.18,7.0,7.1,7.0218,122195
2022-11-30,7.14,7.15,6.91,6.96,6.8833,40567
2022-12-01,7.02,7.07,7.0,7.04,6.9625,50390
2022-12-02,7.05,7.09,6.85,6.92,6.8438,61396
2022-12-05,6.98,7.29,6.96,7.2,7.1207,105875
2022-12-06,7.2,7.2,7.01,7.05,6.9724,52324
2022-12-07,7.15,7.15,6.92,7.0,6.9229,21621
2022-12-08,7.0,7.0,6.78,6.93,6.8537,51368
2022-12-09,6.93,6.93,6.76,6.83,6.7548,31301
2022-12-12,6.92,7.0,6.82,6.82,6.7449,27045
2022-12-13,6.92,7.0,6.88,7.0,6.9229,23528
2022-12-14,6.91,7.28,6.91,7.19,7.1108,83473
2022-12-15,7.2,7.22,6.96,7.1,7.0218,47810
2022-12-16,7.13,7.13,6.9,6.97,6.8932,25293
2022-12-19,7.05,7.05,6.9,6.92,6.8438,13731
2022-12-20,6.91,7.0,6.9,6.95,6.8735,56369
2022-12-21,6.95,6.95,6.86,6.9,6.824,69510
2022-12-22,6.89,6.9,6.8,6.8,6.7251,37336
2022-12-23,6.85,6.94,6.75,6.9,6.824,51435
2022-12-27,6.96,6.96,6.7,6.72,6.646,60415
2022-12-28,6.73,6.91,6.61,6.72,6.646,69177
2022-12-29,6.69,6.95,6.69,6.9,6.824,22051
2022-12-30,6.94,7.15,6.91,7.13,7.0515,93183
2023-01-02,7.15,7.3,7.15,7.2,7.1207,96547
2023-01-03,7.2,7.3,7.14,7.25,7.1702,83964
2023-01-04,7.32,7.61,7.25,7.41,7.3284,117880
2023-01-05,7.45,7.76,7.45,7.75,7.6646,249893
