Date,Open,High,Low,Close,Adjusted_close,Volume
2022-10-31,3.26,3.7,3.26,3.41,3.41,1650502
2022-11-02,3.46,3.636,3.44,3.51,3.51,469420
2022-11-03,3.51,3.57,3.35,3.47,3.47,529541
2022-11-04,3.48,3.57,3.45,3.524,3.524,332943
2022-11-07,3.538,3.56,3.48,3.516,3.516,378504
2022-11-08,3.5,3.776,3.452,3.738,3.738,835248
2022-11-09,3.728,3.738,3.642,3.7,3.7,644330
2022-11-10,3.68,3.698,3.582,3.68,3.68,464310
2022-11-14,3.704,3.95,3.684,3.85,3.85,619443
2022-11-15,3.84,4.18,3.766,4.104,4.104,849717
2022-11-16,4.012,4.126,3.882,4.11,4.11,1146840
2022-11-17,4.108,4.11,3.934,3.95,3.95,795184
2022-11-18,3.926,4.0,3.844,3.85,3.85,288940
2022-11-21,3.9,4.0,3.86,3.978,3.978,324310
2022-11-22,3.996,4.09,3.86,3.872,3.872,383687
2022-11-23,3.908,3.948,3.822,3.834,3.834,251825
2022-11-24,3.886,3.94,3.8,3.82,3.82,223541
2022-11-25,3.88,3.88,3.806,3.85,3.85,209743
2022-11-28,3.874,3.988,3.864,3.92,3.92,437399
2022-11-29,3.94,3.94,3.872,3.9,3.9,193272
2022-11-30,3.882,3.94,3.862,3.89,3.89,174496
2022-12-01,3.936,4.268,3.872,4.25,4.25,1146605
2022-12-02,4.25,4.39,4.23,4.38,4.38,661196
2022-12-05,4.42,4.69,4.42,4.64,4.64,1037642
2022-12-06,4.6,4.63,4.468,4.53,4.53,474977
2022-12-07,4.526,4.55,4.47,4.512,4.512,243928
2022-12-08,4.51,4.51,4.214,4.446,4.446,697243
2022-12-09,4.46,4.532,4.408,4.41,4.41,127922
