Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-27,2074.92,2083.74,2050.17,2074.11,2074.11,14770000
2023-03-28,2090.23,2106.89,2076.92,2085.49,2085.49,22700000
2023-03-29,2101.51,2108.3,2075.21,2105.21,2105.21,25910000
2023-03-30,2120.5,2174.57,2120.5,2174.54,2174.54,37610000
2023-03-31,2189.16,2190.39,2163.38,2169.49,2169.49,25410000
2023-04-03,2179.43,2210.75,2176.95,2186.65,2186.65,22550000
2023-04-04,2199.56,2212.64,2182.23,2185.21,2185.21,16420000
2023-04-05,2188.76,2188.76,2159.89,2164.17,2164.17,19580000
2023-04-06,2170.8,2175.43,2155.88,2162.16,2162.16,11110000
2023-04-11,2178.89,2204.45,2167.44,2197.8,2197.8,23510000
2023-04-12,2195.25,2243.32,2186.62,2238.54,2238.54,28620000
2023-04-13,2233.24,2274.87,2229.36,2268.44,2268.44,31860000
2023-04-14,2280.96,2297.84,2273.3,2284.55,2284.55,28350000
2023-04-17,2293.39,2301.2,2285.0,2295.63,2295.63,21950000
2023-04-18,2300.96,2354.68,2293.04,2337.59,2337.59,23500000
2023-04-19,2328.88,2343.7,2307.54,2337.64,2337.64,19300000
2023-04-20,2337.82,2375.24,2337.82,2357.81,2357.81,26410000
2023-04-21,2335.49,2346.32,2321.61,2342.22,2342.22,19310000
2023-04-24,2335.45,2361.78,2323.07,2351.72,2351.72,15390000
2023-04-25,2344.63,2351.23,2323.08,2325.98,2325.98,18910000
2023-04-26,2322.52,2338.82,2300.55,2320.22,2320.22,22390000
2023-04-27,2329.06,2398.31,2329.06,2394.3,2394.3,20880000
2023-04-28,2402.75,2402.75,2358.71,2364.86,2364.86,21810000
2023-05-02,2368.73,2401.51,2360.04,2360.04,2360.04,19980000
2023-05-04,2360.61,2376.9,2314.79,2319.32,2319.32,27250000
2023-05-05,2331.11,2357.62,2322.39,2354.74,2354.74,17360000
2023-05-08,2363.95,2386.26,2357.7,2372.0,2372.0,20520000
2023-05-09,2365.94,2369.04,2348.7,2367.96,2367.96,16830000
2023-05-10,2375.69,2409.88,2359.35,2383.81,2383.81,33920000
2023-05-11,2384.96,2397.78,2361.53,2366.83,2366.83,25410000
2023-05-12,2374.13,2404.17,2365.83,2390.37,2390.37,30330000
2023-05-15,2406.16,2413.9,2381.33,2391.22,2391.22,24940000
2023-05-16,2385.7,2414.65,2380.75,2400.76,2400.76,17820000
2023-05-17,2392.14,2394.74,2376.08,2378.09,2378.09,26000000
2023-05-18,2396.7,2404.28,2377.17,2384.29,2384.29,21880000
2023-05-19,2397.19,2447.96,2394.56,2447.71,2447.71,25570000
2023-05-22,2448.11,2473.11,2438.08,2464.94,2464.94,27400000
2023-05-23,2465.34,2491.35,2460.32,2463.97,2463.97,19940000
2023-05-24,2445.97,2452.45,2402.87,2405.84,2405.84,25160000
2023-05-25,2413.16,2413.16,2378.28,2386.99,2386.99,24160000
2023-05-26,2393.74,2437.87,2385.97,2435.55,2435.55,19990000
2023-05-29,2449.33,2449.33,2427.59,2432.45,2432.45,10120000
2023-05-30,2421.66,2421.66,2389.46,2390.75,2390.75,21130000
2023-05-31,2369.1,2369.1,2323.39,2328.02,2328.02,63150000
2023-06-01,2347.27,2393.3,2339.61,2390.19,2390.19,20070000
2023-06-02,2417.24,2476.23,2414.75,2476.23,2476.23,26700000
2023-06-05,2488.34,2517.4,2468.11,2479.02,2479.02,22090000
2023-06-06,2479.4,2525.01,2475.89,2517.7,2517.7,34010000
2023-06-07,2512.78,2518.62,2486.06,2495.91,2495.91,22980000
2023-06-09,2515.66,2527.4,2501.62,2513.56,2513.56,21720000
