Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-08-17,34.5,34.94,33.44,33.88,89,120,7,1
2023-08-18,33.5,33.8,33.1,33.8,89,120,7,1
2023-08-21,34.0,34.17,33.38,33.72,89,120,7,1
2023-08-22,34.28,34.31,33.44,33.45,89,120,7,1
2023-08-23,33.81,33.83,32.82,33.73,89,120,7,1
2023-08-24,34.12,34.47,33.42,33.61,89,120,7,1
2023-08-25,32.85,33.64,32.85,33.1,89,120,7,1
2023-08-28,33.55,34.58,33.25,34.49,89,120,7,1
2023-08-29,34.73,34.9,34.21,34.66,89,120,7,1
2023-08-30,34.68,34.98,34.4,34.74,89,120,7,1
2023-08-31,34.88,35.02,34.0,34.17,89,120,7,1
2023-09-01,34.0,34.97,33.79,34.9,89,120,7,1
2023-09-04,34.95,35.16,33.87,33.92,89,120,7,1
2023-09-05,33.9,34.44,33.24,33.25,89,120,7,1
2023-09-06,33.3,33.4,31.62,32.18,89,120,7,1
2023-09-07,31.8,32.16,30.41,32.0,89,120,7,1
2023-09-08,31.57,31.66,30.88,31.66,89,120,7,1
2023-09-11,32.17,32.2,31.3,31.47,89,120,7,1
