Date,Open,High,Low,Close,Adjusted_close,Volume
2023-02-20,20.85,20.85,20.35,20.6,20.6,31941
2023-02-21,21.0,21.1,20.05,20.05,20.05,62408
2023-02-22,20.0,20.0,19.42,19.7,19.7,71096
2023-02-23,19.9,20.25,19.7,20.2,20.2,19795
2023-02-24,20.2,20.2,19.62,19.84,19.84,31301
2023-02-27,20.3,20.3,19.68,20.0,20.0,23241
2023-02-28,20.1,20.85,19.9,20.85,20.85,103064
2023-03-01,20.5,20.5,19.52,19.76,19.76,67512
2023-03-02,19.86,19.92,19.06,19.24,19.24,84537
2023-03-03,19.3,19.48,19.12,19.4,19.4,19146
2023-03-06,19.78,20.0,19.32,19.5,19.5,52981
2023-03-07,19.46,19.78,19.26,19.4,19.4,29299
2023-03-08,19.3,19.86,19.3,19.74,19.74,26987
2023-03-09,19.6,19.78,19.36,19.52,19.52,31346
2023-03-10,19.42,19.42,18.54,18.76,18.76,67524
2023-03-13,18.72,18.98,18.12,18.46,18.46,56813
2023-03-14,18.14,18.84,18.14,18.74,18.74,54480
2023-03-15,18.5,18.68,18.3,18.68,18.68,69385
2023-03-16,18.44,19.24,18.14,18.76,18.76,57804
2023-03-17,18.76,18.88,18.32,18.62,18.62,57961
2023-03-20,18.58,18.64,17.94,18.6,18.6,43229
2023-03-21,18.6,18.92,18.24,18.38,18.38,57668
2023-03-22,18.38,18.5,18.0,18.0,18.0,43806
2023-03-23,18.0,18.6,17.96,18.5,18.5,47273
2023-03-24,18.2,18.64,17.82,18.0,18.0,44535
2023-03-27,18.36,18.38,17.94,18.34,18.34,9339
2023-03-28,18.34,18.4,18.08,18.18,18.18,20276
2023-03-29,18.18,18.38,17.84,17.84,17.84,42097
2023-03-30,18.0,18.8,17.96,18.76,18.76,77767
2023-03-31,18.9,18.9,18.5,18.84,18.84,20949
2023-04-03,18.8,18.9,18.46,18.68,18.68,34227
2023-04-04,18.52,19.26,18.52,19.18,19.18,35097
2023-04-05,19.18,19.18,18.42,18.42,18.42,35211
2023-04-06,18.22,18.42,18.04,18.14,18.14,25811
2023-04-11,18.1,18.64,18.1,18.22,18.22,42641
2023-04-12,18.24,18.9,18.12,18.3,18.3,87315
2023-04-13,18.26,18.44,17.92,18.0,18.0,67889
2023-04-14,18.04,18.34,18.04,18.08,18.08,31501
2023-04-17,18.2,18.68,18.2,18.66,18.66,33622
2023-04-18,18.66,18.8,18.44,18.62,18.62,42004
2023-04-19,18.62,18.78,18.36,18.78,18.78,41258
2023-04-20,18.78,19.0,18.54,18.62,18.62,37593
2023-04-21,18.8,18.8,18.4,18.4,18.4,18219
2023-04-24,18.4,18.5,18.22,18.22,18.22,44442
2023-04-25,18.3,18.42,17.84,17.88,17.88,94611
2023-04-26,18.0,18.3,17.6,17.88,17.88,159869
2023-04-27,17.88,18.8,17.72,18.46,18.46,87666
2023-04-28,18.64,18.96,18.52,18.76,18.76,59063
