Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-09,558.0,569.0,553.0,558.0,542.3697,7691
2022-12-12,559.0,567.0,555.0,561.0,545.2857,6284
2022-12-13,562.0,564.0,549.0,554.0,538.4818,20174
2022-12-14,559.0,560.0,546.0,548.0,532.6499,13263
2022-12-15,556.0,556.0,535.0,538.0,522.93,8286
2022-12-16,541.0,548.0,520.0,530.0,515.1541,36011
2022-12-19,531.0,534.0,525.0,530.0,515.1541,9028
2022-12-20,528.0,530.0,493.0,496.0,482.1064,22536
2022-12-21,495.0,496.0,452.5,455.0,442.2549,146215
2022-12-22,456.0,460.0,450.0,455.0,442.2549,34878
2022-12-23,456.0,468.0,452.5,465.5,452.4608,22921
2022-12-27,472.0,473.0,448.0,449.0,436.423,40871
2022-12-28,450.0,454.5,444.0,447.0,434.479,22050
2022-12-29,451.0,464.0,450.0,463.0,450.0308,35956
2022-12-30,464.5,464.5,457.0,457.0,444.1989,25497
2023-01-02,461.5,476.0,461.5,474.5,461.2087,13192
2023-01-03,474.5,487.0,470.5,485.0,471.4146,31585
2023-01-04,489.0,489.0,474.0,478.5,465.0966,19271
2023-01-05,481.0,493.5,478.0,480.0,466.5546,31192
2023-01-09,490.0,494.0,476.0,476.0,462.6667,29151
2023-01-10,476.0,494.0,475.0,493.0,479.1905,61134
2023-01-11,493.0,497.0,472.5,474.5,461.2087,55095
2023-01-12,477.5,482.0,470.5,472.0,458.7787,24290
2023-01-13,477.0,479.5,468.0,474.5,461.2087,20094
2023-01-16,478.0,479.0,473.5,474.0,460.7227,12738
2023-01-17,476.0,494.0,476.0,484.5,470.9286,71051
2023-01-18,490.5,490.5,479.0,481.0,467.5266,41607
2023-01-19,481.5,489.0,479.0,487.0,473.3585,25040
2023-01-20,489.5,489.5,478.5,480.0,466.5546,17573
2023-01-23,486.0,489.0,481.0,485.5,471.9006,25151
2023-01-24,488.0,490.5,482.5,483.5,469.9566,20972
2023-01-25,487.0,490.0,475.5,478.0,464.6106,13402
2023-01-26,482.5,488.0,480.0,488.0,474.3305,20741
2023-01-27,488.0,492.0,486.0,490.5,476.7605,11638
2023-01-30,490.0,493.0,486.5,489.0,475.3025,8335
2023-01-31,489.0,501.0,484.5,499.0,485.0224,18567
2023-02-01,500.0,514.0,496.0,497.0,483.0784,16795
2023-02-02,507.0,514.0,500.0,504.0,489.8824,17365
2023-02-03,508.0,509.0,499.0,508.0,493.7703,14212
2023-02-06,508.0,522.0,507.0,520.0,505.4342,21944
2023-02-07,520.0,523.0,507.0,508.0,493.7703,23367
2023-02-08,510.0,523.0,508.0,516.0,501.5462,13368
2023-02-09,520.0,528.0,515.0,525.0,510.2941,10986
2023-02-10,525.0,525.0,499.5,500.0,485.9944,23477
2023-02-13,500.0,509.0,494.5,496.0,482.1064,8088
2023-02-14,500.0,510.0,495.0,498.0,484.0504,5429
2023-02-15,502.0,502.0,491.0,493.5,479.6765,7200
2023-02-16,496.0,504.0,492.5,496.0,482.1064,8372
2023-02-17,498.0,511.0,497.0,509.0,494.7423,13899
2023-02-20,505.0,515.0,503.0,504.0,489.8824,6513
2023-02-21,507.0,507.0,498.5,501.0,486.9664,6627
2023-02-22,502.0,503.0,490.5,498.0,484.0504,12404
2023-02-23,503.0,503.0,491.0,494.5,480.6485,12995
2023-02-24,495.0,498.5,486.0,487.5,473.8445,12049
2023-02-27,488.0,498.0,488.0,493.0,479.1905,6157
2023-02-28,493.0,503.0,492.0,497.5,483.5644,10673
2023-03-01,500.0,505.0,494.0,497.5,483.5644,16044
2023-03-02,496.5,497.5,488.5,490.0,476.2745,10319
2023-03-03,493.0,505.0,493.0,505.0,490.8543,8339
2023-03-06,504.0,517.0,502.0,514.0,499.6022,7997
2023-03-07,517.0,520.0,510.0,512.0,497.6583,8357
2023-03-08,513.0,517.0,510.0,511.0,496.6863,6781
2023-03-09,514.0,514.0,504.0,504.0,489.8824,8917
2023-03-10,502.0,503.0,493.5,494.0,480.1625,6643
2023-03-13,498.5,503.0,478.5,485.0,471.4146,15693
2023-03-14,488.5,509.0,488.5,503.0,488.9104,12871
2023-03-15,508.0,535.0,499.5,531.0,516.1261,44578
2023-03-16,534.0,542.0,521.0,538.0,522.93,32949
2023-03-17,542.0,553.0,535.0,535.0,520.014,168485
2023-03-20,535.0,542.0,496.0,513.0,498.6303,30807
2023-03-21,513.0,513.0,500.0,501.0,486.9664,12358
2023-03-22,501.0,511.0,499.0,507.0,492.7983,12957
2023-03-23,511.0,545.0,511.0,540.0,524.8739,19397
2023-03-24,545.0,564.0,535.0,541.0,525.8459,22384
2023-03-27,550.0,557.0,532.0,534.0,519.042,14432
2023-03-28,534.0,542.0,530.0,531.0,516.1261,10204
2023-03-29,536.0,542.0,531.0,535.0,520.014,7309
2023-03-30,532.0,537.0,528.0,530.0,515.1541,8570
2023-03-31,533.0,539.0,528.0,530.0,515.1541,6925
2023-04-03,535.0,536.0,526.0,528.0,513.2101,13498
2023-04-04,528.0,530.0,519.0,520.0,505.4342,6567
2023-04-05,520.0,523.0,516.0,516.0,501.5462,4279
2023-04-06,518.0,523.0,515.0,519.0,504.4622,8390
2023-04-11,524.0,531.0,518.0,522.0,507.3782,11036
