Date,Open,High,Low,Close,Adjusted_close,Volume
2022-09-23,14.75,14.75,14.2,14.2,14.2,2740
2022-09-26,14.45,14.45,13.2,13.5,13.5,7423
2022-09-27,13.5,13.7,13.4,13.55,13.55,9673
2022-09-28,13.6,13.6,12.95,13.0,13.0,4807
2022-09-29,13.0,14.2,12.8,13.1,13.1,16573
2022-09-30,13.75,14.05,13.2,13.6,13.6,1647
2022-10-03,13.75,13.9,13.3,13.6,13.6,962
2022-10-04,13.8,14.15,13.55,13.55,13.55,3725
2022-10-05,13.65,14.15,13.65,13.8,13.8,2158
2022-10-06,14.1,14.1,13.6,14.05,14.05,1085
2022-10-07,14.15,14.15,13.7,13.7,13.7,1928
2022-10-10,13.9,13.9,13.7,13.8,13.8,402
2022-10-11,14.05,14.5,13.95,14.15,14.15,1754
2022-10-12,14.5,14.5,14.0,14.0,14.0,1971
2022-10-13,14.3,14.3,13.6,14.15,14.15,2486
2022-10-14,14.45,14.45,13.95,13.95,13.95,4052
2022-10-17,14.0,14.1,13.75,13.95,13.95,1499
2022-10-18,14.0,14.15,13.75,13.9,13.9,5556
2022-10-19,13.95,14.25,13.0,13.0,13.0,5564
2022-10-20,13.25,13.25,13.0,13.1,13.1,1217
2022-10-21,13.3,13.3,13.0,13.05,13.05,2223
2022-10-24,13.25,13.3,13.15,13.3,13.3,1146
2022-10-25,13.3,14.0,13.1,13.5,13.5,7153
2022-10-26,13.5,13.5,13.45,13.45,13.45,1116
2022-10-27,13.5,13.5,13.25,13.45,13.45,3661
2022-10-28,13.4,13.4,13.1,13.2,13.2,5642
2022-10-31,13.4,13.6,13.4,13.6,13.6,1336
2022-11-02,13.8,14.45,13.75,14.1,14.1,3390
2022-11-03,14.75,14.8,14.5,14.8,14.8,1437
2022-11-04,15.0,15.6,14.95,15.0,15.0,4591
2022-11-07,15.2,15.3,14.6,14.8,14.8,2717
2022-11-08,15.15,15.15,14.8,15.0,15.0,320
2022-11-09,15.2,15.2,14.7,15.05,15.05,2966
2022-11-10,15.5,15.7,15.45,15.5,15.5,6215
2022-11-14,15.7,16.05,15.55,16.05,16.05,3114
2022-11-15,15.6,15.8,15.05,15.35,15.35,2729
2022-11-16,15.2,15.5,15.2,15.3,15.3,980
2022-11-17,15.5,15.55,15.25,15.3,15.3,288
2022-11-18,15.3,15.3,15.25,15.3,15.3,967
2022-11-21,15.3,15.3,15.0,15.15,15.15,1488
2022-11-22,15.25,15.3,15.0,15.05,15.05,792
2022-11-23,15.05,15.35,15.05,15.2,15.2,1196
2022-11-24,15.2,15.2,15.0,15.0,15.0,1614
2022-11-25,15.1,15.1,14.45,14.8,14.8,788
2022-11-28,14.8,15.2,14.8,15.15,15.15,71
2022-11-29,15.15,15.2,15.1,15.2,15.2,814
2022-11-30,15.2,15.65,15.1,15.1,15.1,2990
2022-12-01,15.15,15.65,15.15,15.6,15.6,5087
2022-12-02,15.7,15.7,15.55,15.6,15.6,1207
2022-12-05,15.6,15.8,15.55,15.65,15.65,1678
2022-12-06,15.65,15.7,15.35,15.35,15.35,2716
2022-12-07,15.8,16.0,15.4,15.85,15.85,2118
2022-12-08,16.0,16.0,15.6,16.0,16.0,1542
2022-12-09,16.0,16.0,15.9,15.9,15.9,1287
2022-12-12,15.95,16.0,15.85,15.95,15.95,925
2022-12-13,15.85,15.95,15.6,15.95,15.95,890
2022-12-14,15.9,16.0,15.8,16.0,16.0,1794
2022-12-15,16.0,16.0,15.6,15.6,15.6,7021
2022-12-16,15.6,15.6,15.2,15.2,15.2,2137
2022-12-19,15.0,15.4,15.0,15.35,15.35,711
2022-12-20,15.35,15.35,15.05,15.25,15.25,1068
2022-12-21,15.25,15.25,15.1,15.15,15.15,1030
2022-12-22,15.15,15.3,14.9,14.95,14.95,7744
2022-12-23,14.95,14.95,14.65,14.65,14.65,3733
2022-12-27,14.65,14.65,13.6,13.95,13.95,18849
2022-12-28,13.85,14.2,13.55,13.6,13.6,13503
2022-12-29,13.7,14.1,13.7,13.9,13.9,12275
2022-12-30,13.9,14.1,13.45,13.5,13.5,34821
2023-01-02,13.6,14.45,13.6,14.1,14.1,6488
2023-01-03,14.4,15.2,14.35,15.2,15.2,7707
2023-01-04,15.25,16.75,15.25,16.2,16.2,12680
2023-01-05,16.2,16.6,15.7,16.3,16.3,6826
2023-01-09,16.3,16.8,15.7,16.6,16.6,3678
2023-01-10,16.35,16.55,16.35,16.4,16.4,803
2023-01-11,16.5,16.7,16.3,16.3,16.3,1278
2023-01-12,15.45,16.15,15.45,15.8,15.8,9713
2023-01-13,15.8,17.0,15.7,15.95,15.95,6955
2023-01-16,16.45,16.7,16.1,16.55,16.55,3258
2023-01-17,16.7,16.7,16.6,16.7,16.7,565
2023-01-18,16.7,17.7,16.4,17.5,17.5,5369
2023-01-19,17.5,17.55,16.55,16.55,16.55,2252
2023-01-20,16.6,17.0,16.6,16.7,16.7,475
2023-01-23,16.8,17.5,16.8,17.3,17.3,2962
2023-01-24,17.6,17.65,17.4,17.4,17.4,448
2023-01-25,17.45,21.8,17.2,20.0,20.0,141610
2023-01-26,20.2,20.2,18.2,18.6,18.6,44416
2023-01-27,18.4,18.55,17.6,18.3,18.3,30127
2023-01-30,18.4,19.45,18.2,19.0,19.0,124047
2023-01-31,19.0,19.25,18.7,18.7,18.7,21922
2023-02-01,18.7,18.7,18.2,18.45,18.45,2243
2023-02-02,18.4,18.8,18.15,18.8,18.8,4705
2023-02-03,18.85,18.85,18.1,18.3,18.3,2041
2023-02-06,18.3,18.3,17.55,17.95,17.95,12910
2023-02-07,18.0,18.25,17.95,18.1,18.1,1667
2023-02-08,18.1,18.1,17.55,17.75,17.75,15641
2023-02-09,17.8,17.8,17.2,17.5,17.5,7332
2023-02-10,17.4,17.45,16.9,17.45,17.45,3363
2023-02-13,17.45,17.45,17.0,17.1,17.1,2435
2023-02-14,17.1,17.15,16.6,17.05,17.05,5134
2023-02-15,17.05,17.05,16.6,16.75,16.75,8962
2023-02-16,16.9,17.1,16.85,17.0,17.0,1865
2023-02-17,17.0,17.0,16.45,16.8,16.8,3228
2023-02-20,16.55,16.95,16.55,16.9,16.9,135
2023-02-21,17.1,17.15,17.1,17.1,17.1,1630
2023-02-22,17.15,17.15,16.3,16.85,16.85,2682
2023-02-23,16.85,17.15,16.8,17.15,17.15,848
2023-02-24,17.1,17.45,16.85,17.35,17.35,1809
2023-02-27,17.0,17.0,16.7,16.9,16.9,2788
2023-02-28,16.95,18.45,16.9,18.2,18.2,22013
2023-03-01,18.2,18.2,17.85,18.05,18.05,5793
2023-03-02,18.1,19.25,17.65,18.15,18.15,106784
2023-03-03,18.25,18.3,17.8,17.95,17.95,8348
2023-03-06,17.95,18.0,17.6,17.85,17.85,3476
2023-03-07,17.95,18.0,17.65,17.75,17.75,1862
2023-03-08,17.75,18.4,17.6,18.4,18.4,169873
2023-03-09,18.4,19.5,18.35,18.95,18.95,18719
2023-03-10,18.7,18.95,18.35,18.4,18.4,4932
2023-03-13,18.3,18.35,17.3,18.35,18.35,10863
2023-03-14,18.7,18.7,18.35,18.4,18.4,2397
2023-03-15,18.7,18.7,17.7,18.0,18.0,3604
2023-03-16,18.0,18.5,17.5,17.55,17.55,3259
2023-03-17,17.65,18.0,17.5,17.65,17.65,1356
2023-03-20,17.75,17.9,17.25,17.7,17.7,2725
2023-03-21,17.7,18.0,17.6,17.95,17.95,2367
2023-03-22,17.95,18.15,17.6,17.95,17.95,1429
2023-03-23,17.95,18.15,17.7,17.95,17.95,531
2023-03-24,17.9,17.9,17.5,17.8,17.8,1647
2023-03-27,17.85,19.3,17.75,18.8,18.8,30663
2023-03-28,18.95,19.15,18.45,18.7,18.7,5564
2023-03-29,18.5,18.95,18.5,18.75,18.75,2064
2023-03-30,18.85,18.95,18.45,18.9,18.9,3685
2023-03-31,19.0,19.15,18.45,19.1,19.1,6326
2023-04-03,19.0,19.1,18.05,18.85,18.85,3822
2023-04-04,18.8,19.05,18.1,19.05,19.05,1863
2023-04-05,19.1,19.1,18.4,18.5,18.5,1979
2023-04-06,18.5,18.9,18.5,18.9,18.9,871
2023-04-11,18.9,19.0,18.65,19.0,19.0,8175
2023-04-12,18.8,19.1,18.8,19.0,19.0,13258
2023-04-13,18.8,19.0,18.7,18.9,18.9,956
2023-04-14,18.9,19.0,18.8,19.0,19.0,1963
2023-04-17,18.8,19.0,18.8,19.0,19.0,882
2023-04-18,19.0,19.0,18.9,19.0,19.0,1645
2023-04-19,18.95,18.95,18.5,18.8,18.8,2288
2023-04-20,18.8,18.8,18.6,18.75,18.75,997
2023-04-21,18.75,18.75,18.05,18.45,18.45,8606
2023-04-24,18.2,18.6,17.8,18.2,18.2,5172
2023-04-25,18.3,18.6,18.1,18.3,18.3,2220
2023-04-26,18.2,18.6,18.2,18.45,18.45,1798
2023-04-27,18.55,18.75,18.45,18.7,18.7,21684
2023-04-28,18.7,18.7,18.25,18.35,18.35,1308
2023-05-02,18.5,18.75,18.25,18.3,18.3,1702
2023-05-04,18.35,18.65,18.3,18.3,18.3,964
