Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-02-07,19306.32,19312.22,19203.98,19232.49,-1,-1,0,0
2023-02-08,19276.33,19350.09,19270.01,19301.28,-1,-1,0,0
2023-02-09,19371.91,19481.13,19355.04,19426.31,-1,-1,0,0
2023-02-10,19392.62,19392.62,19049.12,19137.21,-1,-1,0,0
2023-02-13,19167.11,19177.57,19033.27,19095.44,-1,-1,0,0
2023-02-14,19171.64,19190.72,19064.24,19107.72,-1,-1,0,0
2023-02-15,19130.69,19244.34,19121.9,19199.97,-1,-1,0,0
2023-02-16,19277.17,19316.52,19220.19,19259.49,-1,-1,0,0
2023-02-17,19265.15,19368.06,19235.64,19368.06,-1,-1,0,0
2023-02-20,19382.17,19455.55,19331.64,19421.22,-1,-1,0,0
2023-02-21,19465.58,19488.34,19266.06,19328.02,-1,-1,0,0
2023-02-22,19322.56,19323.71,19089.95,19244.3,-1,-1,0,0
2023-02-23,19299.56,19372.6,19277.4,19358.23,-1,-1,0,0
2023-02-24,19427.27,19448.7,19340.67,19344.01,-1,-1,0,0
2023-02-27,19360.32,19497.6,19360.32,19475.05,-1,-1,0,0
2023-02-28,19476.29,19632.49,19463.06,19586.47,-1,-1,0,0
2023-03-01,19634.07,19743.1,19608.46,19664.13,-1,-1,0,0
2023-03-02,19677.98,19694.12,19593.05,19623.6,-1,-1,0,0
2023-03-03,19693.62,19827.07,19689.0,19827.07,-1,-1,0,0
2023-03-06,19891.74,20012.3,19891.74,19990.98,-1,-1,0,0
2023-03-07,20012.73,20042.99,19982.87,20027.32,-1,-1,0,0
2023-03-08,20038.74,20154.25,19967.05,20154.25,-1,-1,0,0
2023-03-09,20179.08,20208.9,20105.86,20196.12,-1,-1,0,0
2023-03-10,20049.85,20049.85,19871.81,19921.04,-1,-1,0,0
2023-03-13,19931.03,19943.2,19330.55,19600.83,-1,-1,0,0
2023-03-14,19591.36,19783.91,19591.36,19783.91,-1,-1,0,0
2023-03-15,19837.12,19851.02,19321.33,19341.0,-1,-1,0,0
2023-03-16,19393.3,19476.03,19186.54,19343.0,-1,-1,0,0
2023-03-17,19498.33,19597.97,19405.35,19452.82,-1,-1,0,0
2023-03-20,19436.99,19510.66,19214.47,19510.66,-1,-1,0,0
2023-03-21,19578.29,19693.48,19578.29,19683.59,-1,-1,0,0
2023-03-22,19728.26,19766.7,19682.55,19736.77,-1,-1,0,0
2023-03-23,19751.45,19866.32,19707.33,19756.19,-1,-1,0,0
2023-03-24,19733.22,19779.39,19502.88,19595.88,-1,-1,0,0
2023-03-27,19620.37,19843.38,19613.61,19835.63,-1,-1,0,0
2023-03-28,19884.05,19988.97,19867.8,19929.35,-1,-1,0,0
2023-03-29,19974.98,20124.28,19969.85,20120.98,-1,-1,0,0
2023-03-30,20148.06,20166.7,20026.66,20135.09,-1,-1,0,0
2023-03-31,20141.16,20314.23,20119.34,20248.12,-1,-1,0,0
2023-04-03,20315.22,20423.45,20290.51,20423.45,-1,-1,0,0
2023-04-04,20463.89,20500.16,20381.85,20447.4,-1,-1,0,0
2023-04-05,20488.09,20507.45,20330.18,20330.18,-1,-1,0,0
2023-04-06,20371.66,20494.13,20371.66,20451.2,-1,-1,0,0
2023-04-11,20465.56,20881.09,20465.56,20881.09,-1,-1,0,0
2023-04-12,20823.44,20836.41,20674.41,20836.41,-1,-1,0,0
2023-04-13,20831.44,20898.92,20785.06,20894.38,-1,-1,0,0
2023-04-14,20953.26,20994.96,20915.95,20924.81,-1,-1,0,0
2023-04-17,20962.33,21176.36,20961.61,21176.36,-1,-1,0,0
2023-04-18,21186.85,21193.72,21064.53,21109.08,-1,-1,0,0
2023-04-19,21139.42,21150.42,21053.23,21150.42,-1,-1,0,0
2023-04-20,21162.78,21276.42,21162.78,21232.69,-1,-1,0,0
