Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-21,10628.61,10932.81,10577.4,10903.97,10903.97,166630
2022-12-22,10908.83,11093.73,10833.0,10853.94,10853.94,195370
2022-12-23,10866.81,10992.73,10743.28,10743.28,10743.28,77200
2022-12-27,10771.74,10884.1,10750.3,10805.98,10805.98,87990
2022-12-28,10793.33,10891.28,10731.53,10763.63,10763.63,85940
2022-12-29,10832.73,10923.84,10727.69,10849.9,10849.9,55350
2022-12-30,10872.67,10935.77,10787.48,10887.39,10887.39,82970
2023-01-02,10860.76,11360.78,10849.1,11356.32,11356.32,356020
2023-01-03,11489.73,11836.03,11487.72,11616.59,11616.59,286330
2023-01-04,11623.73,11781.31,11512.41,11573.09,11573.09,271010
2023-01-05,11552.82,12011.62,11529.63,11993.3,11993.3,267490
2023-01-09,12134.75,12302.95,12067.22,12202.03,12202.03,427360
2023-01-10,12128.73,12316.24,12075.28,12201.11,12201.11,141920
2023-01-11,12229.72,12277.26,12016.99,12016.99,12016.99,225980
2023-01-12,12024.25,12140.45,11968.25,12026.32,12026.32,169120
2023-01-13,12030.45,12182.4,12018.21,12058.43,12058.43,104360
2023-01-16,12134.29,12292.77,11969.91,12154.72,12154.72,115610
2023-01-17,12158.5,12193.78,12034.24,12146.01,12146.01,239180
2023-01-18,12121.35,12328.55,12094.07,12233.59,12233.59,114480
2023-01-19,12137.91,12323.14,12131.8,12240.65,12240.65,282360
2023-01-20,12404.19,12553.02,12234.34,12399.62,12399.62,247570
2023-01-23,12427.53,12716.77,12419.75,12673.18,12673.18,305750
2023-01-24,12686.17,12744.95,12511.45,12537.74,12537.74,187430
2023-01-25,12543.95,12676.73,12463.38,12463.38,12463.38,102310
2023-01-26,12482.17,12684.31,12482.17,12618.88,12618.88,69400
2023-01-27,12560.24,12666.1,12351.39,12351.39,12351.39,164550
2023-01-30,12189.61,12264.95,12059.51,12116.38,12116.38,104630
2023-01-31,12111.01,12616.74,12060.68,12584.36,12584.36,253070
2023-02-01,12540.84,12555.31,12321.27,12359.24,12359.24,214090
2023-02-02,12457.52,12495.44,12231.3,12244.58,12244.58,124540
2023-02-03,12350.29,12420.47,12218.03,12333.31,12333.31,87710
2023-02-06,12327.97,12388.19,12131.52,12299.43,12299.43,148250
2023-02-07,12373.81,12376.97,12191.11,12205.51,12205.51,95530
2023-02-08,12306.89,12469.08,12293.42,12406.82,12406.82,93950
2023-02-09,12443.42,12586.08,12361.41,12548.26,12548.26,185330
2023-02-10,12493.9,12493.9,12141.91,12178.44,12178.44,206010
2023-02-13,12459.21,12597.16,12369.35,12532.02,12532.02,615260
2023-02-14,12547.43,12602.63,12377.98,12413.86,12413.86,146960
2023-02-15,12404.75,12422.71,12310.46,12341.82,12341.82,120820
2023-02-16,12394.4,12432.8,12253.96,12322.43,12322.43,96170
2023-02-17,12324.98,12407.0,12300.82,12341.06,12341.06,36550
2023-02-20,12396.01,12396.01,12140.09,12140.09,12140.09,96030
2023-02-21,12157.29,12174.79,11927.68,12006.93,12006.93,266040
2023-02-22,11963.39,12024.29,11767.41,11916.17,11916.17,193390
2023-02-23,11952.98,12014.12,11809.97,11904.0,11904.0,121470
2023-02-24,11967.09,11967.09,11686.76,11742.93,11742.93,134350
2023-02-27,11725.94,11756.11,11601.07,11667.68,11667.68,74110
2023-02-28,11636.2,11923.36,11607.75,11899.66,11899.66,224970
2023-03-01,11958.5,12034.23,11882.43,11983.91,11983.91,353110
2023-03-02,11995.19,11995.19,11807.75,11900.97,11900.97,150210
2023-03-03,11957.13,11984.48,11849.21,11875.09,11875.09,74700
2023-03-06,11962.46,12045.47,11862.53,12018.12,12018.12,216810
2023-03-07,12051.09,12097.51,11923.93,11981.72,11981.72,108720
2023-03-08,11968.62,12039.26,11889.11,11957.57,11957.57,120100
2023-03-09,11928.72,12099.23,11881.89,12094.27,12094.27,111390
2023-03-10,11882.99,11955.2,11777.97,11803.81,11803.81,202340
2023-03-13,11646.73,11754.67,11372.66,11564.47,11564.47,243580
2023-03-14,11465.79,11579.85,11375.82,11401.01,11401.01,199850
2023-03-15,11403.56,11441.6,11117.65,11143.71,11143.71,238970
2023-03-16,11196.34,11254.33,11068.67,11231.64,11231.64,171640
2023-03-17,11330.89,11369.79,11121.12,11183.78,11183.78,332760
2023-03-20,11042.8,11184.14,10905.23,11133.58,11133.58,142060
2023-03-21,11193.61,11554.4,11193.61,11359.45,11359.45,124730
2023-03-22,11373.7,11373.7,11234.7,11327.37,11327.37,96930
2023-03-23,11347.53,11516.9,11270.82,11470.95,11470.95,159060
2023-03-24,11474.71,11552.02,11269.39,11370.82,11370.82,127410
2023-03-27,11527.67,11664.28,11402.93,11629.57,11629.57,139540
2023-03-28,11666.91,11764.02,11621.22,11676.2,11676.2,124990
2023-03-29,11750.82,11929.7,11709.15,11864.23,11864.23,316600
