Date,Open,High,Low,Close,Adjusted_close,Volume
2022-09-26,13.7,13.86,13.52,13.7,13.7,38222
2022-09-27,13.56,13.76,13.56,13.76,13.76,14628
2022-09-28,13.9,14.08,13.84,14.08,14.08,72115
2022-09-29,14.08,14.12,13.7,13.72,13.72,37543
2022-09-30,13.8,13.8,13.64,13.72,13.72,22487
2022-10-03,13.8,13.8,13.12,13.78,13.78,53434
2022-10-04,13.64,13.78,13.52,13.78,13.78,44065
2022-10-05,13.78,13.78,13.54,13.58,13.58,15378
2022-10-06,13.56,13.68,13.5,13.5,13.5,20260
2022-10-07,13.5,13.64,13.42,13.44,13.44,29107
2022-10-10,13.42,13.5,13.4,13.4,13.4,21055
2022-10-11,13.38,13.56,13.36,13.36,13.36,20034
2022-10-12,13.5,13.5,13.4,13.48,13.48,5667
2022-10-13,13.1,13.4,13.02,13.28,13.28,44516
2022-10-14,13.22,13.5,13.2,13.5,13.5,14476
2022-10-17,13.58,13.62,13.42,13.5,13.5,12268
2022-10-18,13.44,13.6,13.3,13.42,13.42,26444
2022-10-19,13.44,13.5,13.36,13.4,13.4,8059
2022-10-20,13.48,13.5,13.36,13.48,13.48,3733
2022-10-21,13.4,13.5,13.32,13.5,13.5,4215
2022-10-24,13.26,13.48,13.26,13.3,13.3,3256
2022-10-25,13.28,13.5,13.28,13.4,13.4,4494
2022-10-26,13.36,13.5,13.32,13.4,13.4,8523
2022-10-27,13.42,13.8,13.42,13.6,13.6,25035
2022-10-28,13.6,13.98,13.6,13.96,13.96,16075
2022-10-31,13.98,14.2,13.82,14.0,14.0,42320
2022-11-02,14.0,14.44,13.9,14.38,14.38,75296
2022-11-03,14.38,14.44,14.0,14.1,14.1,33364
2022-11-04,14.2,14.2,13.96,14.16,14.16,34836
2022-11-07,14.0,14.38,13.68,13.68,13.68,70012
2022-11-08,13.7,14.18,13.7,14.16,14.16,17786
2022-11-09,14.16,14.16,13.8,14.0,14.0,14781
2022-11-10,14.0,14.0,13.86,14.0,14.0,19976
2022-11-14,13.9,14.1,13.86,14.0,14.0,29679
2022-11-15,14.12,14.12,13.78,13.88,13.88,88709
2022-11-16,13.88,14.2,13.88,14.14,14.14,64965
2022-11-17,14.14,14.14,14.0,14.14,14.14,17377
2022-11-18,14.14,14.14,14.0,14.12,14.12,25058
2022-11-21,14.12,14.12,14.0,14.08,14.08,18495
2022-11-22,14.02,14.08,13.92,13.92,13.92,14484
2022-11-23,13.9,14.06,13.9,14.0,14.0,38252
2022-11-24,14.0,14.8,13.92,14.48,14.48,181905
2022-11-25,14.46,14.8,14.38,14.7,14.7,62023
2022-11-28,14.7,15.3,14.7,15.1,15.1,74264
2022-11-29,15.1,15.1,14.74,14.9,14.9,18648
2022-11-30,14.8,15.24,14.8,15.02,15.02,37126
2022-12-01,15.0,15.12,14.86,14.98,14.98,33245
2022-12-02,15.08,15.08,14.9,15.02,15.02,18877
2022-12-05,14.9,15.06,14.56,14.84,14.84,56566
2022-12-06,14.7,14.94,14.62,14.64,14.64,30835
2022-12-07,14.7,14.98,14.6,14.7,14.7,22508
2022-12-08,14.66,14.94,14.66,14.94,14.94,18597
2022-12-09,15.0,15.3,14.98,15.16,15.16,58884
2022-12-12,15.18,15.26,15.04,15.06,15.06,39866
2022-12-13,15.02,15.18,14.98,15.1,15.1,16553
2022-12-14,15.1,15.18,15.02,15.08,15.08,4744
2022-12-15,15.02,15.1,14.9,14.96,14.96,16652
2022-12-16,14.92,15.22,14.8,15.08,15.08,20977
2022-12-19,15.16,15.16,14.74,15.08,15.08,8294
2022-12-20,15.2,15.2,14.98,15.08,15.08,10297
2022-12-21,15.02,15.08,14.84,15.0,15.0,8173
2022-12-22,15.08,15.14,14.9,15.0,15.0,13519
2022-12-23,15.06,15.08,14.96,15.08,15.08,12917
2022-12-27,15.06,15.06,14.9,15.04,15.04,15740
2022-12-28,14.94,15.04,14.74,14.84,14.84,23030
2022-12-29,15.0,15.14,14.8,15.08,15.08,17405
2022-12-30,15.06,15.08,14.86,15.0,15.0,30552
2023-01-02,14.88,14.98,14.88,14.9,14.9,25237
2023-01-03,14.96,14.96,14.8,14.84,14.84,42074
2023-01-04,14.84,14.9,14.7,14.86,14.86,44303
2023-01-05,14.76,15.0,14.74,14.8,14.8,123932
