Date,Open,High,Low,Close,Adjusted_close,Volume
2023-02-06,81.2,81.2,78.6,80.1,80.1,22752
2023-02-07,80.2,81.8,79.6,81.4,81.4,15616
2023-02-08,81.9,82.4,80.2,82.0,82.0,28760
2023-02-09,82.0,84.4,81.9,84.2,84.2,98152
2023-02-10,84.1,85.5,82.4,82.4,82.4,101231
2023-02-13,83.2,85.0,83.2,84.5,84.5,22098
2023-02-14,84.5,85.1,82.2,83.3,83.3,17051
2023-02-15,83.3,84.0,81.9,81.9,81.9,14807
2023-02-16,81.8,83.9,80.3,83.8,83.8,25009
2023-02-17,83.0,83.6,81.7,82.5,82.5,11945
2023-02-20,83.0,83.0,82.0,82.5,82.5,3586
2023-02-21,82.3,82.6,80.7,80.8,80.8,17496
2023-02-22,80.8,80.8,78.8,80.6,80.6,37102
2023-02-23,80.6,80.8,80.0,80.8,80.8,10526
2023-02-24,80.8,80.8,79.3,80.2,80.2,12121
2023-02-27,79.6,82.7,79.6,82.3,82.3,17756
2023-02-28,82.0,83.7,81.9,83.5,83.5,16839
2023-03-01,83.5,84.8,83.0,83.9,83.9,21237
2023-03-02,83.9,83.9,81.4,81.7,81.7,26813
2023-03-03,82.2,82.5,81.5,81.9,81.9,13314
2023-03-06,82.9,83.9,82.3,83.8,83.8,23446
2023-03-07,83.9,85.2,83.3,85.2,85.2,30003
2023-03-08,84.4,85.1,82.6,83.4,83.4,27810
2023-03-09,84.3,84.3,82.7,83.2,83.2,15416
2023-03-10,82.6,82.9,81.2,82.0,82.0,18012
2023-03-13,81.3,82.5,78.5,79.8,79.8,51347
2023-03-14,79.8,81.8,79.5,80.9,80.9,23238
2023-03-15,81.9,81.9,77.7,77.8,77.8,34397
2023-03-16,78.0,79.7,76.4,79.7,79.7,30727
2023-03-17,79.6,79.7,76.5,78.8,78.8,33852
2023-03-20,82.9,83.0,79.6,80.5,80.5,41588
2023-03-21,81.5,83.8,81.1,81.1,81.1,53706
2023-03-22,81.9,83.3,81.2,81.3,81.3,22796
2023-03-23,81.5,82.7,80.5,80.6,80.6,16770
2023-03-24,81.4,81.4,78.5,79.6,79.6,34257
2023-03-27,79.6,81.1,79.1,80.8,80.8,23428
2023-03-28,81.0,83.6,80.8,80.8,80.8,42103
2023-03-29,82.3,82.4,80.8,81.0,81.0,19879
2023-03-30,81.5,82.6,81.1,81.8,81.8,24446
2023-03-31,81.8,81.8,80.5,81.6,81.6,25130
2023-04-03,81.3,82.9,81.0,82.0,82.0,45922
2023-04-04,82.0,83.2,81.9,82.4,82.4,30281
2023-04-05,82.4,83.0,81.2,82.5,82.5,15006
2023-04-06,82.0,83.3,81.5,82.7,82.7,10792
2023-04-11,82.9,85.2,82.9,84.8,84.8,30965
2023-04-12,85.0,85.8,84.4,84.8,84.8,34666
2023-04-13,85.2,86.8,85.0,86.5,86.5,29645
2023-04-14,86.1,87.0,85.8,86.9,86.9,31819
2023-04-17,87.0,88.0,86.9,87.8,87.8,32795
2023-04-18,88.0,89.8,87.1,88.6,88.6,73466
2023-04-19,88.0,89.2,86.8,88.5,88.5,60091
2023-04-20,88.7,89.8,88.3,88.3,88.3,43256
2023-04-21,88.5,89.6,88.0,88.8,88.8,31733
2023-04-24,88.9,90.0,88.5,89.5,89.5,36185
2023-04-25,89.9,89.9,89.1,89.2,89.2,35259
2023-04-26,89.6,89.6,88.0,88.2,88.2,74872
2023-04-27,89.2,90.6,88.6,90.0,90.0,59315
2023-04-28,90.5,90.6,89.1,89.9,89.9,61683
2023-05-02,89.5,90.8,89.5,90.0,90.0,61748
2023-05-04,90.2,90.8,87.6,88.5,88.5,92906
2023-05-05,81.5,81.5,79.5,81.3,81.3,73825
2023-05-08,81.2,81.8,80.5,81.2,81.2,49906
2023-05-09,81.0,81.0,79.6,80.5,80.5,38922
2023-05-10,80.5,80.5,78.9,79.0,79.0,30499
2023-05-11,81.5,82.8,78.3,78.3,78.3,71963
2023-05-12,78.2,78.7,74.7,75.2,75.2,158099
2023-05-15,75.7,77.7,75.5,77.4,77.4,53941
2023-05-16,77.5,79.7,77.1,77.3,77.3,73544
2023-05-17,77.4,79.3,77.0,78.8,78.8,48481
2023-05-18,78.8,78.8,77.1,77.6,77.6,79707
2023-05-19,77.9,78.5,76.4,77.5,77.5,37924
