Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-02,12.94,13.0,12.706,12.99,12.99,9039
2022-12-05,12.9,12.9,12.5,12.5,12.5,9145
2022-12-06,12.76,12.76,12.006,12.488,12.488,9188
2022-12-07,12.458,12.458,11.6,12.156,12.156,22360
2022-12-08,12.158,12.36,12.076,12.19,12.19,6365
2022-12-09,12.126,12.34,12.12,12.2,12.2,8413
2022-12-12,12.2,12.4,12.122,12.32,12.32,9533
2022-12-13,12.3,12.3,12.0,12.29,12.29,15294
2022-12-14,12.06,12.59,12.03,12.458,12.458,16001
2022-12-15,12.454,12.454,12.12,12.32,12.32,7946
2022-12-16,12.32,12.54,12.1,12.2,12.2,5993
2022-12-19,12.8,12.95,12.5,12.942,12.942,26538
2022-12-20,12.94,13.07,12.608,12.612,12.612,11572
2022-12-21,12.946,13.08,12.788,12.9,12.9,13009
2022-12-22,12.988,13.2,12.81,12.89,12.89,8930
2022-12-23,12.91,13.098,12.784,13.098,13.098,8522
2022-12-26,13.098,13.098,13.098,13.098,13.098,0
2022-12-27,13.0,13.096,12.732,12.74,12.74,13392
2022-12-28,12.7,12.878,12.522,12.87,12.87,19527
2022-12-29,13.0,13.0,12.73,12.994,12.994,8046
2022-12-30,13.078,13.19,12.922,13.1,13.1,7751
2023-01-02,13.1,13.198,12.81,13.08,13.08,8666
2023-01-03,13.08,13.19,12.92,13.178,13.178,11249
2023-01-04,13.188,13.4,13.1,13.37,13.37,17608
2023-01-05,13.17,13.33,13.052,13.326,13.326,11822
2023-01-06,13.326,13.326,13.326,13.326,13.326,0
2023-01-09,13.48,13.48,13.15,13.42,13.42,11808
2023-01-10,13.44,13.478,13.07,13.1,13.1,12308
2023-01-11,13.324,13.324,12.9,13.086,13.086,13687
2023-01-12,13.08,13.08,12.65,13.0,13.0,11226
2023-01-13,12.66,13.04,12.66,13.04,13.04,13176
2023-01-16,13.04,13.06,12.9,13.038,13.038,10480
2023-01-17,12.92,13.3,12.92,13.18,13.18,5196
2023-01-18,13.1,13.2,13.02,13.03,13.03,8836
2023-01-19,13.154,13.16,12.79,12.83,12.83,14967
2023-01-20,12.83,13.11,12.82,13.11,13.11,6503
2023-01-23,13.12,13.18,12.89,13.174,13.174,6621
2023-01-24,13.168,13.2,12.94,13.2,13.2,13703
2023-01-25,13.12,13.2,13.02,13.19,13.19,5596
2023-01-26,13.12,13.2,13.0,13.2,13.2,9132
2023-01-27,13.19,13.19,13.03,13.082,13.082,1163
2023-01-30,13.1,13.2,13.098,13.17,13.17,8041
2023-01-31,13.106,13.198,13.012,13.198,13.198,3687
2023-02-01,12.86,13.19,12.02,13.098,13.098,20151
2023-02-02,12.62,13.098,12.62,13.068,13.068,8986
2023-02-03,13.06,13.176,12.86,12.9,12.9,16319
2023-02-06,12.9,13.188,12.842,12.982,12.982,8246
2023-02-07,13.05,13.19,12.71,13.154,13.154,3977
2023-02-08,13.19,13.19,12.812,13.092,13.092,5185
2023-02-09,12.862,13.14,12.8,13.1,13.1,15262
2023-02-10,13.08,13.1,12.8,13.08,13.08,13235
2023-02-13,13.1,13.1,12.836,12.998,12.998,36577
2023-02-14,13.0,13.42,12.952,13.198,13.198,28971
2023-02-15,13.348,13.68,13.3,13.574,13.574,63586
2023-02-16,13.57,14.0,13.57,13.88,13.88,20606
2023-02-17,13.95,13.95,13.2,13.794,13.794,15090
2023-02-20,13.794,13.794,13.4,13.48,13.48,10802
2023-02-21,13.494,13.696,13.312,13.648,13.648,10474
2023-02-22,13.4,13.648,13.4,13.588,13.588,5747
2023-02-23,13.698,13.71,13.514,13.66,13.66,7121
2023-02-24,13.7,13.71,13.6,13.6,13.6,6101
2023-02-27,13.5,13.708,13.4,13.4,13.4,6847
2023-02-28,13.3,13.52,12.53,13.284,13.284,22303
2023-03-01,13.42,13.42,13.112,13.362,13.362,9001
2023-03-02,13.14,13.358,13.0,13.0,13.0,9184
2023-03-03,13.03,13.27,12.8,12.966,12.966,8673
2023-03-06,13.188,13.192,12.9,12.9,12.9,5604
2023-03-07,12.9,13.178,12.81,12.84,12.84,16324
2023-03-08,13.0,13.048,12.898,12.95,12.95,1826
2023-03-09,12.996,13.06,12.96,12.96,12.96,2086
2023-03-10,13.0,13.06,12.6,12.8,12.8,8123
