Date,Open,High,Low,Close,Adjusted_close,Volume
2022-10-10,4.92,4.92,4.92,4.92,4.92,400
2022-10-11,4.92,4.92,4.7,4.7,4.7,2738
2022-10-12,4.67,4.89,4.62,4.89,4.89,8105
2022-10-13,4.67,4.7,4.6,4.7,4.7,3095
2022-10-14,4.89,4.89,4.87,4.87,4.87,703
2022-10-17,4.83,4.83,4.83,4.83,4.83,200
2022-10-18,4.87,4.87,4.87,4.87,4.87,165
2022-10-19,4.41,4.85,4.41,4.85,4.85,118
2022-10-20,4.85,4.85,4.85,4.85,4.85,118
2022-10-21,4.42,4.64,4.37,4.64,4.64,2482
2022-10-24,4.32,4.7,4.32,4.68,4.68,1107
2022-10-25,4.4,4.4,4.4,4.4,4.4,642
2022-10-26,4.4,4.46,4.4,4.46,4.46,800
2022-10-27,4.46,4.46,4.31,4.31,4.31,759
2022-10-28,4.31,4.35,4.1,4.2,4.2,10743
2022-10-31,4.1,4.5,3.9,4.47,4.47,1784
2022-11-02,4.04,4.4,4.04,4.39,4.39,220
2022-11-03,4.0,4.39,4.0,4.39,4.39,378
2022-11-04,4.02,4.39,4.02,4.39,4.39,585
2022-11-07,4.39,4.4,4.02,4.4,4.4,701
2022-11-08,4.07,4.36,3.94,4.21,4.21,8457
2022-11-09,4.2,4.2,3.82,3.86,3.86,13605
2022-11-10,3.86,3.98,3.75,3.83,3.83,3670
2022-11-14,3.84,4.08,3.83,4.04,4.04,2018
2022-11-15,3.98,3.99,3.84,3.89,3.89,2004
2022-11-16,3.85,3.86,3.85,3.86,3.86,409
2022-11-17,3.87,3.87,3.61,3.61,3.61,8277
2022-11-18,3.7,3.98,3.6,3.96,3.96,10221
2022-11-21,3.96,3.96,3.8,3.8,3.8,402
2022-11-22,3.9,3.9,3.9,3.9,3.9,100
2022-11-23,3.6,3.68,3.6,3.68,3.68,12525
2022-11-24,3.61,3.8,3.61,3.75,3.75,10173
2022-11-25,3.75,3.88,3.63,3.87,3.87,15106
2022-11-28,3.76,3.85,3.65,3.85,3.85,741
2022-11-29,3.72,3.86,3.72,3.74,3.74,9028
2022-11-30,3.72,3.98,3.6,3.82,3.82,18617
2022-12-01,3.89,4.07,3.78,4.04,4.04,2743
2022-12-02,3.77,4.03,3.77,4.0,4.0,104
2022-12-05,3.85,3.98,3.85,3.98,3.98,20367
2022-12-06,3.99,3.99,3.81,3.84,3.84,5930
2022-12-07,3.92,3.92,3.92,3.92,3.92,100
2022-12-08,3.81,3.94,3.81,3.81,3.81,845
2022-12-09,3.9,3.98,3.85,3.95,3.95,2502
2022-12-12,3.83,3.96,3.83,3.96,3.96,2381
2022-12-13,3.9,3.9,3.62,3.87,3.87,6141
2022-12-14,3.87,3.87,3.7,3.7,3.7,2365
2022-12-15,3.78,3.78,3.67,3.74,3.74,860
2022-12-16,3.69,3.7,3.67,3.68,3.68,2093
2022-12-19,3.66,3.7,3.62,3.67,3.67,11681
2022-12-20,3.67,3.84,3.63,3.84,3.84,185263
2022-12-21,3.7,3.96,3.7,3.9,3.9,12984
2022-12-22,3.85,3.95,3.73,3.9,3.9,1019
2022-12-23,3.72,3.85,3.72,3.85,3.85,1192
2022-12-27,3.77,3.77,3.7,3.76,3.76,10518
2022-12-28,3.72,3.87,3.7,3.86,3.86,3754
2022-12-29,3.86,3.86,3.84,3.84,3.84,79
2022-12-30,3.72,3.83,3.72,3.83,3.83,522
2023-01-02,3.9,3.9,3.71,3.75,3.75,429
2023-01-03,3.74,3.92,3.72,3.73,3.73,1207
2023-01-04,3.89,3.89,3.73,3.73,3.73,240
2023-01-05,3.73,3.81,3.73,3.81,3.81,199
2023-01-09,3.95,3.95,3.74,3.89,3.89,7376
