Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-22,57344.84,57545.79,56976.04,57088.69,46,62,6,1
2022-12-23,57021.53,57112.15,56802.0,57039.91,46,62,6,1
2022-12-27,57342.01,57355.9,56473.03,56574.46,46,62,6,1
2022-12-28,56488.86,56811.6,56398.97,56641.19,46,62,6,1
2022-12-29,56673.76,57637.95,56572.72,57637.95,46,62,6,1
2022-12-30,57421.88,57548.02,57283.79,57462.68,46,62,6,1
2023-01-02,57578.13,58118.99,57512.46,57694.0,46,62,6,1
2023-01-03,57871.29,59044.73,57785.32,58795.62,46,62,6,1
2023-01-04,58944.64,59781.73,58881.22,59754.4,46,62,6,1
2023-01-05,59568.59,60645.24,59524.48,59854.8,46,62,6,1
2023-01-09,60649.5,61364.58,60571.24,61364.58,46,62,6,1
2023-01-10,60984.99,62024.09,60860.0,61967.33,46,62,6,1
2023-01-11,62101.65,62450.32,61252.96,61279.52,46,62,6,1
2023-01-12,61540.96,62233.89,61436.15,61751.5,46,62,6,1
2023-01-13,61844.3,62000.18,61206.3,61565.83,46,62,6,1
2023-01-16,61650.84,62073.15,61028.66,61867.14,46,62,6,1
2023-01-17,61800.72,61862.74,60912.28,61041.14,46,62,6,1
2023-01-18,61189.63,61579.29,60756.32,61176.97,46,62,6,1
2023-01-19,60634.86,60893.33,59952.2,60555.94,46,62,6,1
2023-01-20,60856.94,60878.93,60375.17,60788.05,46,62,6,1
2023-01-23,61217.8,61738.64,61066.44,61619.86,46,62,6,1
2023-01-24,61961.48,62288.93,61370.25,61500.61,46,62,6,1
2023-01-25,61013.76,61053.48,60369.58,60530.45,46,62,6,1
2023-01-26,61188.65,61446.27,60706.81,61235.79,46,62,6,1
2023-01-27,61357.11,61606.21,61202.73,61269.7,46,62,6,1
2023-01-30,60996.02,61018.69,60445.03,60589.15,46,62,6,1
2023-01-31,60427.35,61362.75,60332.71,61286.58,46,62,6,1
2023-02-01,61294.61,61509.93,60488.42,60488.42,46,62,6,1
2023-02-02,61312.43,61685.76,60758.74,61367.64,46,62,6,1
2023-02-03,61297.78,61753.12,61189.29,61465.85,46,62,6,1
2023-02-06,61285.22,61340.03,60318.18,60343.17,46,62,6,1
2023-02-07,60628.0,60659.03,60181.82,60491.08,46,62,6,1
2023-02-08,60997.36,61218.89,60826.99,60952.29,46,62,6,1
2023-02-09,61233.13,61791.66,61179.12,61394.17,46,62,6,1
2023-02-10,61035.89,61091.53,59742.03,60008.87,46,62,6,1
2023-02-13,60364.72,60375.59,59726.8,60106.84,46,62,6,1
2023-02-14,60325.46,60521.65,59876.0,60141.79,46,62,6,1
2023-02-15,60004.29,60611.64,59937.26,60584.75,46,62,6,1
2023-02-16,60876.8,61038.82,59967.76,60608.71,46,62,6,1
2023-02-17,60206.85,60630.89,60086.05,60459.17,46,62,6,1
2023-02-20,60597.17,60597.17,60055.23,60242.74,46,62,6,1
2023-02-21,60086.0,60218.55,59207.19,59514.95,46,62,6,1
2023-02-22,59363.04,59374.81,58411.69,58700.74,46,62,6,1
2023-02-23,58866.16,59509.86,58834.54,59474.66,46,62,6,1
2023-02-24,59494.83,59704.92,58914.42,59051.34,46,62,6,1
2023-02-27,59206.13,59603.55,59009.02,59406.03,46,62,6,1
2023-02-28,59240.99,60181.4,59158.14,60181.4,46,62,6,1
2023-03-01,60369.79,60767.21,60252.98,60502.07,46,62,6,1
2023-03-02,60241.13,60241.13,59377.49,59469.0,46,62,6,1
2023-03-03,59733.01,60205.87,59611.11,60205.87,46,62,6,1
2023-03-06,60558.69,61396.59,60477.96,61253.26,46,62,6,1
2023-03-07,61137.93,61554.09,60830.14,60852.51,46,62,6,1
2023-03-08,60681.26,61198.19,60558.82,61096.28,46,62,6,1
2023-03-09,61071.2,61071.2,60604.2,60642.79,46,62,6,1
2023-03-10,59740.32,59836.05,59172.5,59570.0,46,62,6,1
2023-03-13,59843.48,59843.48,57548.67,58204.15,46,62,6,1
2023-03-14,58249.17,58679.59,57847.72,58386.16,46,62,6,1
2023-03-15,58443.39,58722.03,56745.69,56844.08,46,62,6,1
2023-03-16,57326.66,57417.47,55840.78,56905.06,46,62,6,1
2023-03-17,57385.59,57589.44,56013.48,56283.05,46,62,6,1
2023-03-20,55639.98,56526.41,54837.78,56451.04,46,62,6,1
2023-03-21,56871.12,57503.61,56781.4,57317.98,46,62,6,1
2023-03-22,57288.55,57686.62,56952.06,56989.76,46,62,6,1
2023-03-23,56911.11,57161.16,56310.68,56983.56,46,62,6,1
2023-03-24,56819.14,56819.14,55757.18,56024.38,46,62,6,1
2023-03-27,56438.84,56673.73,55951.25,56502.5,46,62,6,1
2023-03-28,56881.65,57252.92,56577.34,56770.0,46,62,6,1
2023-03-29,57157.35,57250.5,56623.5,57173.15,46,62,6,1
2023-03-30,57478.53,58665.21,57478.53,58665.21,46,62,6,1
2023-03-31,58972.84,58998.58,58480.56,58608.76,46,62,6,1
2023-04-03,58827.01,59607.77,58780.16,59045.1,46,62,6,1
2023-04-04,59329.16,59620.75,58932.85,59027.2,46,62,6,1
2023-04-05,59102.07,59102.07,58464.5,58548.76,46,62,6,1
2023-04-06,58672.93,58819.56,58395.22,58538.87,46,62,6,1
2023-04-11,58886.43,59538.91,58691.1,59538.91,46,62,6,1
2023-04-12,59432.17,60345.95,59211.28,60262.5,46,62,6,1
2023-04-13,60160.28,61063.22,60101.05,60938.85,46,62,6,1
2023-04-14,61244.8,61597.5,61078.76,61293.06,46,62,6,1
2023-04-17,61514.36,61733.03,61403.56,61656.26,46,62,6,1
