Date,Open,High,Low,Close,Adjusted_close,Volume
2022-09-01,21.1,21.1,21.0,21.0,20.7342,638
2022-09-02,21.1,21.1,20.5,20.7,20.438,512
2022-09-05,20.7,21.1,20.1,21.1,20.8329,16061
2022-09-06,20.9,20.9,20.0,20.0,19.7468,706
2022-09-07,20.5,20.9,20.1,20.9,20.6354,469
2022-09-08,20.9,21.1,20.9,21.1,20.8329,1589
2022-09-09,21.5,22.9,21.2,22.0,21.7215,3861
2022-09-12,21.7,21.7,20.4,21.0,20.7342,2183
2022-09-13,21.0,23.0,20.8,21.4,21.1291,2755
2022-09-14,21.4,21.6,21.0,21.1,20.8329,510
2022-09-15,21.7,21.7,21.1,21.7,21.4253,512
2022-09-16,21.6,21.6,20.5,20.6,20.3392,1837
2022-09-19,21.1,21.1,19.9,20.0,19.7468,4217
2022-09-20,20.5,20.8,19.9,19.95,19.6975,3817
2022-09-21,19.9,20.2,19.85,20.0,19.7468,726
2022-09-22,20.2,20.2,20.1,20.2,19.9443,525
2022-09-23,20.2,20.2,19.65,19.65,19.4013,2021
2022-09-26,19.65,19.65,19.25,19.3,19.0557,996
2022-09-27,19.3,19.65,19.2,19.6,19.3519,600
2022-09-28,19.5,19.95,19.2,19.7,19.4506,827
2022-09-29,19.65,19.65,19.6,19.6,19.3519,231
2022-09-30,19.65,19.7,19.4,19.6,19.3519,538
2022-10-03,19.65,19.95,19.15,19.15,18.9076,2291
2022-10-04,19.8,19.9,19.45,19.85,19.5987,623
2022-10-05,20.0,20.0,19.8,19.8,19.5494,202
2022-10-06,19.65,19.65,19.5,19.65,19.4013,895
2022-10-07,19.65,19.85,19.1,19.85,19.5987,1746
2022-10-10,19.8,19.95,19.6,19.85,19.5987,224
2022-10-11,19.85,19.85,19.6,19.8,19.5494,274
2022-10-12,19.8,19.8,19.75,19.75,19.5,81
2022-10-13,19.75,19.75,19.6,19.7,19.4506,37
2022-10-14,19.7,19.8,19.7,19.7,19.4506,2036
2022-10-17,19.7,19.7,17.75,19.55,19.3025,3168
2022-10-18,19.5,19.5,19.0,19.35,19.1051,1240
2022-10-19,18.2,18.95,18.2,18.8,18.562,2820
2022-10-20,18.5,18.8,18.1,18.4,18.1671,2745
2022-10-21,18.1,18.6,17.6,18.6,18.3646,5775
2022-10-24,18.6,18.6,17.85,17.9,17.6734,684
2022-10-25,17.75,18.2,17.75,18.2,17.9696,1884
2022-10-26,18.2,18.4,18.0,18.3,18.0684,2723
2022-10-27,18.55,18.6,18.0,18.0,17.7722,5742
2022-10-28,18.0,18.45,18.0,18.45,18.2165,278
2022-10-31,18.5,18.5,18.35,18.5,18.2658,673
2022-11-02,18.55,19.2,18.5,19.2,18.957,2701
2022-11-03,19.0,19.25,18.95,19.25,19.0063,693
2022-11-04,19.3,19.5,19.2,19.4,19.1544,730
2022-11-07,19.5,19.85,19.4,19.8,19.5494,305
2022-11-08,19.85,20.5,19.5,20.5,20.2405,1148
2022-11-09,20.5,20.5,20.1,20.4,20.1418,523
2022-11-10,20.3,21.0,19.5,21.0,20.7342,2074
