Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-11-07,2.63,2.63,2.54,2.59,23,30,6,1
2022-11-08,2.615,2.615,2.52,2.57,23,30,6,1
2022-11-09,2.6,2.62,2.51,2.55,23,30,6,1
2022-11-10,2.675,2.675,2.5,2.58,23,30,6,1
2022-11-14,2.6,2.67,2.53,2.56,23,30,6,1
2022-11-15,2.64,2.64,2.56,2.6,23,30,6,1
2022-11-16,2.6,2.6,2.4,2.475,23,30,6,1
2022-11-17,2.41,2.475,2.36,2.45,23,30,6,1
2022-11-18,2.45,2.45,2.38,2.44,23,30,6,1
2022-11-21,2.445,2.445,2.39,2.39,23,30,6,1
2022-11-22,2.4,2.595,2.38,2.55,23,30,6,1
2022-11-23,2.55,2.625,2.54,2.58,23,30,6,1
2022-11-24,2.585,2.59,2.51,2.515,23,30,6,1
2022-11-25,2.545,2.59,2.51,2.515,23,30,6,1
2022-11-28,2.5,2.59,2.5,2.585,23,30,6,1
2022-11-29,2.52,2.57,2.51,2.57,23,30,6,1
2022-11-30,2.585,2.585,2.51,2.51,23,30,6,1
2022-12-01,2.575,2.575,2.505,2.565,23,30,6,1
2022-12-02,2.56,2.57,2.515,2.53,23,30,6,1
2022-12-05,2.525,2.625,2.52,2.6,23,30,6,1
2022-12-06,2.595,2.62,2.595,2.595,23,30,6,1
2022-12-07,2.56,2.6,2.56,2.56,23,30,6,1
2022-12-08,2.6,2.62,2.56,2.6,23,30,6,1
2022-12-09,2.6,2.625,2.58,2.58,23,30,6,1
2022-12-12,2.62,2.62,2.55,2.615,23,30,6,1
2022-12-13,2.615,2.62,2.54,2.62,23,30,6,1
2022-12-14,2.62,2.625,2.55,2.6,23,30,6,1
2022-12-15,2.6,2.62,2.535,2.535,23,30,6,1
2022-12-16,2.525,2.6,2.52,2.585,23,30,6,1
2022-12-19,2.515,2.58,2.51,2.56,23,30,6,1
2022-12-20,2.56,2.57,2.52,2.56,23,30,6,1
2022-12-21,2.55,2.55,2.51,2.53,23,30,6,1
2022-12-22,2.53,2.55,2.51,2.54,23,30,6,1
2022-12-23,2.53,2.53,2.5,2.52,23,30,6,1
2022-12-27,2.53,2.54,2.5,2.52,23,30,6,1
2022-12-28,2.49,2.495,2.405,2.44,23,30,6,1
2022-12-29,2.48,2.49,2.405,2.43,23,30,6,1
2022-12-30,2.445,2.48,2.38,2.435,23,30,6,1
2023-01-02,2.435,2.53,2.435,2.495,23,30,6,1
2023-01-03,2.49,2.49,2.4,2.45,23,30,6,1
2023-01-04,2.44,2.485,2.425,2.475,23,30,6,1
2023-01-05,2.475,2.475,2.425,2.425,23,30,6,1
2023-01-09,2.435,2.47,2.425,2.46,23,30,6,1
2023-01-10,2.47,2.47,2.425,2.47,23,30,6,1
2023-01-11,2.45,2.45,2.415,2.45,23,30,6,1
2023-01-12,2.45,2.45,2.405,2.435,23,30,6,1
2023-01-13,2.435,2.455,2.42,2.42,23,30,6,1
2023-01-16,2.445,2.45,2.405,2.45,23,30,6,1
2023-01-17,2.45,2.45,2.44,2.45,23,30,6,1
2023-01-18,2.45,2.45,2.4,2.45,23,30,6,1
2023-01-19,2.45,2.45,2.4,2.445,23,30,6,1
2023-01-20,2.445,2.45,2.405,2.45,23,30,6,1
