Date,Open,High,Low,Close,Adjusted_close,Volume
2022-08-17,22.7,23.0,22.15,22.15,22.15,9986
2022-08-18,22.05,22.4,21.9,21.9,21.9,7307
2022-08-19,21.95,22.35,21.0,21.0,21.0,11735
2022-08-22,21.1,21.7,20.55,20.6,20.6,12667
2022-08-23,20.45,20.8,20.2,20.2,20.2,6953
2022-08-24,20.4,22.4,20.4,21.6,21.6,24172
2022-08-25,22.5,23.9,21.5,22.0,22.0,20132
2022-08-26,21.05,21.5,20.6,20.85,20.85,20130
2022-08-29,22.6,22.6,20.5,20.6,20.6,19614
2022-08-30,21.1,22.3,20.55,22.2,22.2,36524
2022-08-31,22.5,22.85,21.3,22.2,22.2,9362
2022-09-01,22.2,22.2,20.5,20.5,20.5,13418
2022-09-02,20.6,21.9,20.5,21.35,21.35,9740
2022-09-05,21.4,21.45,20.3,20.8,20.8,6499
2022-09-06,20.8,21.5,19.62,20.25,20.25,15662
2022-09-07,20.25,21.8,20.05,21.0,21.0,11587
2022-09-08,21.1,21.6,20.8,21.1,21.1,6279
2022-09-09,21.15,21.9,21.0,21.65,21.65,14916
2022-09-12,23.95,24.75,22.5,23.35,23.35,153018
2022-09-13,23.35,26.2,23.35,24.4,24.4,94865
2022-09-14,24.5,26.95,24.45,25.9,25.9,117947
2022-09-15,26.35,26.5,24.45,24.6,24.6,34606
2022-09-16,24.8,26.0,23.55,24.0,24.0,36809
2022-09-19,23.9,25.25,23.65,25.2,25.2,43803
2022-09-20,25.3,25.95,24.4,24.45,24.45,31467
2022-09-21,24.5,24.5,22.3,22.8,22.8,59612
2022-09-22,22.5,24.25,22.25,24.0,24.0,25648
2022-09-23,23.8,24.4,23.3,23.85,23.85,19920
2022-09-26,23.85,23.85,21.5,21.9,21.9,25365
2022-09-27,21.85,22.65,21.5,22.35,22.35,12079
2022-09-28,22.4,22.45,21.4,22.0,22.0,4695
2022-09-29,22.0,22.8,21.45,21.7,21.7,36773
2022-09-30,21.95,22.0,20.8,20.8,20.8,13978
2022-10-03,21.05,22.2,20.25,22.2,22.2,16395
2022-10-04,22.3,22.7,20.65,21.4,21.4,116529
2022-10-05,21.5,22.1,20.85,21.75,21.75,49094
