Date,Open,High,Low,Close,Adjusted_close,Volume
2022-09-05,5.95,6.05,5.4,5.55,5.55,130507
2022-09-06,5.3,5.45,4.88,4.96,4.96,161228
2022-09-07,4.8,4.86,4.42,4.5,4.5,181806
2022-09-08,4.28,4.94,4.16,4.86,4.86,214511
2022-09-09,4.88,4.96,4.56,4.64,4.64,106870
2022-09-12,4.64,4.8,4.44,4.5,4.5,95889
2022-09-13,4.54,4.9,4.46,4.76,4.76,63991
2022-09-14,4.68,4.74,4.56,4.7,4.7,32051
2022-09-15,4.64,4.74,4.62,4.62,4.62,18860
2022-09-16,4.6,4.68,4.16,4.46,4.46,65891
2022-09-19,4.48,4.54,4.32,4.5,4.5,24070
2022-09-20,4.54,5.95,4.5,5.7,5.7,309642
2022-09-21,5.95,7.15,5.3,6.3,6.3,676664
2022-09-22,6.05,6.4,5.75,5.75,5.75,136860
2022-09-23,5.75,5.75,5.05,5.35,5.35,196780
2022-09-26,5.1,5.25,4.88,4.96,4.96,54101
2022-09-27,5.1,5.25,5.05,5.1,5.1,16158
2022-09-28,5.1,6.95,5.1,6.95,6.95,711227
2022-09-29,6.9,7.4,6.3,6.45,6.45,632570
2022-09-30,6.5,7.15,6.1,6.2,6.2,529793
2022-10-03,6.2,6.35,5.6,5.9,5.9,187009
