Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-10,32.0,32.3,30.3,32.0,32.0,2304
2023-03-13,32.0,32.0,30.4,30.6,30.6,2178
2023-03-14,30.5,30.5,30.1,30.4,30.4,790
2023-03-15,30.4,31.0,30.1,31.0,31.0,4134
2023-03-16,30.5,31.0,30.5,30.7,30.7,1790
2023-03-17,30.7,30.8,30.7,30.7,30.7,373
2023-03-20,30.6,30.6,30.0,30.2,30.2,403
2023-03-21,30.6,30.6,30.6,30.6,30.6,90
2023-03-22,31.0,31.0,30.7,30.7,30.7,916
2023-03-23,31.0,31.0,30.5,31.0,31.0,7921
2023-03-24,31.0,31.8,30.5,31.8,31.8,878
2023-03-27,31.8,32.0,30.8,32.0,32.0,6025
2023-03-28,31.7,33.0,31.7,32.0,32.0,6115
2023-03-29,32.0,32.9,31.4,32.9,32.9,3048
2023-03-30,32.5,33.5,32.0,33.5,33.5,7405
2023-03-31,33.5,33.8,32.8,33.6,33.6,6284
2023-04-03,33.6,34.8,33.6,34.6,34.6,95205
2023-04-04,34.5,37.0,34.5,36.2,36.2,7076
2023-04-05,36.0,39.4,36.0,38.5,38.5,20463
2023-04-06,38.8,44.0,38.8,41.5,41.5,11320
2023-04-11,41.0,44.9,41.0,43.9,43.9,14563
2023-04-12,43.9,44.0,41.2,42.8,42.8,12155
2023-04-13,40.4,41.1,38.0,38.6,38.6,9683
2023-04-14,38.4,38.4,36.4,37.7,37.7,3687
2023-04-17,36.7,38.9,36.7,38.9,38.9,10804
2023-04-18,39.0,39.6,38.0,38.0,38.0,2743
2023-04-19,38.9,40.0,38.8,39.7,39.7,10830
2023-04-20,39.7,40.5,39.5,39.5,39.5,1422
2023-04-21,38.0,40.0,38.0,39.9,39.9,10228
2023-04-24,40.7,42.5,40.5,40.5,40.5,13215
2023-04-25,41.8,41.8,39.1,40.5,40.5,2258
2023-04-26,40.1,44.0,40.1,42.0,42.0,3876
2023-04-27,42.0,45.0,42.0,42.1,42.1,9934
2023-04-28,42.6,42.8,40.2,40.2,40.2,2368
2023-05-02,39.0,39.0,35.3,35.3,35.3,16167
2023-05-04,35.2,35.2,33.3,34.4,34.4,7690
2023-05-05,33.2,34.2,32.0,32.0,32.0,5444
