Date,Open,High,Low,Close,Adjusted_close,Volume
2022-09-29,0.988,1.06,0.988,1.05,1.05,5135
2022-09-30,1.045,1.045,1.03,1.03,1.03,152
2022-10-03,0.976,1.0,0.924,0.948,0.948,73106
2022-10-04,0.946,0.946,0.912,0.912,0.912,15908
2022-10-05,0.9,0.9,0.83,0.872,0.872,27895
2022-10-06,0.87,0.87,0.814,0.82,0.82,30280
2022-10-07,0.812,0.83,0.81,0.83,0.83,27637
2022-10-10,0.83,0.83,0.732,0.75,0.75,47925
2022-10-11,0.736,0.74,0.666,0.7,0.7,213151
2022-10-12,0.7,0.7,0.642,0.65,0.65,77016
2022-10-13,0.65,0.65,0.586,0.63,0.63,37899
2022-10-14,0.682,0.682,0.608,0.642,0.642,11167
2022-10-17,0.644,0.7,0.62,0.7,0.7,45590
2022-10-18,0.71,0.768,0.67,0.768,0.768,55885
2022-10-19,0.768,0.796,0.72,0.778,0.778,25654
2022-10-20,0.786,0.786,0.736,0.78,0.78,4601
2022-10-21,0.782,0.782,0.776,0.776,0.776,1202
2022-10-24,0.778,0.778,0.73,0.776,0.776,13894
2022-10-25,0.776,0.776,0.74,0.748,0.748,1085
2022-10-26,0.748,0.748,0.678,0.7,0.7,35890
2022-10-27,0.678,0.678,0.62,0.65,0.65,75165
2022-10-28,0.658,0.69,0.62,0.67,0.67,70215
2022-10-31,0.67,0.68,0.66,0.678,0.678,11805
2022-11-02,0.68,0.68,0.66,0.68,0.68,12657
2022-11-03,0.68,0.68,0.66,0.66,0.66,3625
