Date,Open,High,Low,Close,Adjusted_close,Volume
2022-10-31,16.65,16.65,15.5,16.55,16.55,267899
2022-11-02,16.9,18.09,15.7,17.0,17.0,189734
2022-11-03,17.19,18.0,17.06,17.58,17.58,90585
2022-11-04,17.65,18.0,17.4,18.0,18.0,92397
2022-11-07,18.1,18.2,17.95,18.16,18.16,54391
2022-11-08,18.17,18.18,17.18,17.41,17.41,73256
2022-11-09,17.48,18.19,17.25,18.19,18.19,128857
2022-11-10,18.52,18.76,17.5,18.38,18.38,156011
2022-11-14,19.27,22.6,19.22,21.66,21.66,839556
2022-11-15,21.8,21.8,20.32,21.0,21.0,433082
2022-11-16,19.4,20.28,18.81,19.4,19.4,407734
2022-11-17,19.6,19.79,18.4,18.6,18.6,264555
2022-11-18,18.5,19.1,18.3,18.6,18.6,87030
2022-11-21,18.78,18.83,18.35,18.56,18.56,31750
2022-11-22,18.52,18.78,18.3,18.64,18.64,32243
2022-11-23,18.69,18.8,17.7,18.0,18.0,108147
2022-11-24,18.0,18.47,17.99,18.1,18.1,93190
2022-11-25,18.0,18.47,17.5,18.0,18.0,52906
