Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-02,10371.29,10500.45,10170.21,10427.01,10427.01,244230
2022-12-05,10436.67,10535.94,10355.58,10389.89,10389.89,200160
2022-12-06,10358.81,10358.81,10102.24,10102.24,10102.24,240020
2022-12-07,10085.4,10291.57,10072.63,10171.06,10171.06,118440
2022-12-08,10144.8,10250.58,10039.55,10250.58,10250.58,144310
2022-12-09,10266.93,10287.41,10085.41,10162.89,10162.89,94590
2022-12-12,10183.09,10197.94,10052.62,10107.63,10107.63,190590
2022-12-13,10156.18,10367.36,10075.16,10321.18,10321.18,126610
2022-12-14,10324.56,10383.51,10210.98,10236.74,10236.74,69360
2022-12-15,10194.8,10198.84,9988.57,10038.93,10038.93,74280
2022-12-16,10030.9,10271.14,9927.27,10200.91,10200.91,296250
2022-12-19,10223.61,10271.32,10110.65,10225.48,10225.48,80500
2022-12-20,10219.07,10674.0,10175.43,10674.0,10674.0,311260
2022-12-21,10628.61,10932.81,10577.4,10903.97,10903.97,166630
2022-12-22,10908.83,11093.73,10833.0,10853.94,10853.94,195370
2022-12-23,10866.81,10992.73,10743.28,10743.28,10743.28,77200
2022-12-27,10771.74,10884.1,10750.3,10805.98,10805.98,87990
2022-12-28,10793.33,10891.28,10731.53,10763.63,10763.63,85940
2022-12-29,10832.73,10923.84,10727.69,10849.9,10849.9,55350
2022-12-30,10872.67,10935.77,10787.48,10887.39,10887.39,82970
2023-01-02,10860.76,11360.78,10849.1,11356.32,11356.32,356020
2023-01-03,11489.73,11836.03,11487.72,11616.59,11616.59,286330
2023-01-04,11623.73,11781.31,11512.41,11573.09,11573.09,271010
2023-01-05,11552.82,12011.62,11529.63,11993.3,11993.3,267490
