Date,Open,High,Low,Close,Adjusted_close,Volume
2022-10-24,23.4,24.7,23.4,24.3,24.3,4759
2022-10-25,24.3,24.7,24.1,24.7,24.7,704
2022-10-26,24.8,24.8,23.9,24.3,24.3,777
2022-10-27,24.3,24.6,24.3,24.6,24.6,684
2022-10-28,24.7,24.7,24.3,24.5,24.5,451
2022-10-31,24.6,25.3,24.6,25.0,25.0,623
2022-11-02,25.0,25.2,24.6,24.6,24.6,353
2022-11-03,24.5,24.6,24.0,24.5,24.5,1279
2022-11-04,24.6,25.0,24.2,24.6,24.6,778
2022-11-07,24.6,25.1,24.2,25.0,25.0,494
2022-11-08,25.0,25.0,24.7,24.9,24.9,418
2022-11-09,25.0,25.0,24.4,24.4,24.4,482
2022-11-10,24.8,24.8,24.3,24.6,24.6,42
2022-11-14,24.8,27.0,24.8,26.9,26.9,3814
2022-11-15,27.0,27.9,26.5,26.6,26.6,4364
2022-11-16,26.1,26.7,25.7,26.4,26.4,1230
2022-11-17,27.7,27.7,26.0,26.0,26.0,36
2022-11-18,26.3,26.3,25.4,26.3,26.3,77
2022-11-21,26.3,26.3,25.8,25.8,25.8,550
2022-11-22,25.6,25.8,25.6,25.6,25.6,167
2022-11-23,25.8,26.0,25.8,25.8,25.8,369
2022-11-24,26.0,26.0,25.5,26.0,26.0,1013
2022-11-25,26.0,26.2,26.0,26.2,26.2,1362
2022-11-28,26.0,26.2,25.8,26.0,26.0,2141
2022-11-29,26.0,26.2,26.0,26.0,26.0,644
2022-11-30,26.0,26.2,25.7,26.1,26.1,2781
2022-12-01,26.8,26.8,26.1,26.1,26.1,436
2022-12-02,26.8,26.8,26.1,26.2,26.2,799
2022-12-05,26.2,26.7,26.2,26.7,26.7,413
2022-12-06,26.6,26.6,26.2,26.5,26.5,139
2022-12-07,26.7,26.7,26.1,26.2,26.2,423
2022-12-08,26.2,26.4,26.0,26.4,26.4,1444
2022-12-09,26.4,26.5,25.8,26.5,26.5,2004
2022-12-12,26.7,26.8,26.0,26.6,26.6,665
2022-12-13,26.7,26.8,26.5,26.7,26.7,439
2022-12-14,26.7,26.7,26.2,26.7,26.7,340
2022-12-15,26.8,26.8,26.1,26.1,26.1,987
2022-12-16,26.8,26.8,26.3,26.3,26.3,222
2022-12-19,26.6,26.6,26.1,26.1,26.1,434
2022-12-20,26.1,26.3,26.1,26.1,26.1,522
2022-12-21,25.9,26.5,25.9,25.9,25.9,2739
2022-12-22,25.4,26.1,25.0,25.2,25.2,1184
2022-12-23,25.9,25.9,25.3,25.8,25.8,783
2022-12-27,26.7,26.8,25.9,26.5,26.5,2223
2022-12-28,26.5,26.7,26.5,26.7,26.7,718
2022-12-29,26.8,27.0,26.2,26.8,26.8,743
2022-12-30,27.0,28.6,27.0,27.2,27.2,5832
2023-01-02,28.7,28.7,27.5,27.6,27.6,1102
2023-01-03,27.8,28.3,27.8,28.0,28.0,552
2023-01-04,28.0,30.0,28.0,30.0,30.0,5458
2023-01-05,29.9,32.0,28.5,30.6,30.6,3424
2023-01-09,30.6,30.6,29.0,30.0,30.0,1005
2023-01-10,30.6,30.6,29.6,30.0,30.0,552
2023-01-11,30.5,30.5,29.6,30.2,30.2,491
2023-01-12,30.5,30.5,29.7,29.8,29.8,344
2023-01-13,29.9,30.0,29.5,30.0,30.0,342
2023-01-16,30.0,31.5,29.5,31.5,31.5,2158
2023-01-17,31.5,31.5,30.4,31.0,31.0,539
2023-01-18,31.0,31.0,29.6,30.5,30.5,873
2023-01-19,30.5,30.6,29.1,30.0,30.0,958
2023-01-20,30.0,30.0,29.5,30.0,30.0,367
