Date,Open,High,Low,Close,Adjusted_close,Volume
2023-04-04,79.7,80.6,79.3,80.0,80.0,377
2023-04-05,80.0,80.6,79.7,79.7,79.7,641
2023-04-06,79.6,81.0,79.2,81.0,81.0,604
2023-04-11,81.0,82.0,80.0,80.8,80.8,1137
2023-04-12,81.9,82.0,81.0,81.8,81.8,2973
2023-04-13,81.9,83.0,81.8,82.8,82.8,1396
2023-04-14,84.0,84.1,82.1,83.1,83.1,4706
2023-04-17,84.0,84.1,82.4,83.9,83.9,4261
2023-04-18,83.8,84.2,82.7,83.7,83.7,4550
2023-04-19,84.2,84.2,81.6,83.9,83.9,3349
2023-04-20,83.9,83.9,82.7,83.1,83.1,574
2023-04-21,83.1,84.1,82.2,82.2,82.2,560
2023-04-24,82.6,82.6,78.0,79.8,79.8,53908
2023-04-25,79.9,80.0,79.4,79.5,79.5,62229
2023-04-26,79.6,79.6,78.5,78.9,78.9,1147
2023-04-27,78.5,81.0,78.0,80.8,80.8,2702
2023-04-28,80.9,83.0,80.9,81.9,81.9,568
2023-05-02,83.0,83.0,79.0,82.4,82.4,509
2023-05-04,83.0,84.0,80.5,82.1,82.1,7193
2023-05-05,83.2,84.0,82.0,82.7,82.7,1412
2023-05-08,83.1,83.7,82.3,82.3,82.3,8210
2023-05-09,82.0,84.1,82.0,84.1,84.1,1773
2023-05-10,84.1,84.4,83.0,84.4,84.4,2051
2023-05-11,84.5,85.0,84.2,85.0,85.0,880
2023-05-12,85.0,87.6,84.5,87.6,87.6,3655
2023-05-15,87.7,88.5,85.4,88.3,88.3,3085
2023-05-16,88.3,88.3,87.2,87.2,87.2,726
2023-05-17,87.9,89.5,87.0,89.2,89.2,1153
2023-05-18,89.4,89.4,87.0,87.0,87.0,2606
2023-05-19,89.2,89.2,87.1,89.1,89.1,10423
2023-05-22,89.1,91.9,89.1,89.1,89.1,4599
2023-05-23,89.1,91.0,89.1,90.2,90.2,662
2023-05-24,91.0,91.0,89.0,89.0,89.0,727
2023-05-25,89.0,90.5,84.2,86.0,86.0,2910
2023-05-26,85.1,86.7,84.7,86.0,86.0,1484
2023-05-29,86.2,86.6,82.6,83.2,83.2,1887
2023-05-30,83.2,84.2,82.5,82.5,82.5,626
2023-05-31,82.5,82.5,79.3,79.3,79.3,2769
2023-06-01,79.5,83.0,79.0,79.0,79.0,1750
2023-06-02,79.0,85.1,78.8,85.1,85.1,2528
2023-06-05,85.1,87.0,85.0,86.5,86.5,992
2023-06-06,87.0,87.0,83.0,84.9,84.9,725
2023-06-07,84.5,85.5,81.3,83.0,83.0,1500
2023-06-09,82.9,83.0,82.4,83.0,83.0,898
2023-06-12,83.0,87.0,82.1,83.0,83.0,2166
2023-06-13,83.2,85.4,82.8,85.2,85.2,866
2023-06-14,85.0,86.4,83.0,84.0,84.0,1616
2023-06-15,86.0,86.0,81.7,82.0,82.0,18308
2023-06-16,82.1,83.5,80.1,80.1,80.1,160043
2023-06-19,80.5,81.9,80.2,80.9,80.9,1750
2023-06-20,81.4,82.3,80.5,82.0,82.0,2240
