Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-16,5.705,5.795,5.665,5.795,5.795,3551831
2022-12-19,5.725,5.97,5.705,5.82,5.82,833835
2022-12-20,5.84,5.84,5.705,5.8,5.8,792610
2022-12-21,5.81,5.91,5.8,5.89,5.89,226601
2022-12-22,5.88,5.895,5.69,5.695,5.695,736108
2022-12-23,5.705,5.745,5.6,5.63,5.63,437976
2022-12-27,5.64,5.68,5.56,5.6,5.6,472567
2022-12-28,5.58,5.685,5.55,5.59,5.59,456098
2022-12-29,5.58,5.75,5.58,5.75,5.75,357410
2022-12-30,5.75,6.095,5.7,6.0,6.0,1157116
2023-01-02,6.08,6.18,5.955,6.13,6.13,783794
2023-01-03,6.16,6.35,6.13,6.28,6.28,1163739
2023-01-04,6.28,6.31,6.115,6.18,6.18,1542467
2023-01-05,6.19,6.28,6.14,6.21,6.21,1066207
2023-01-09,6.275,6.345,5.945,6.0,6.0,1115161
2023-01-10,6.02,6.02,5.78,5.825,5.825,1518992
2023-01-11,5.85,6.17,5.845,6.0,6.0,1574045
2023-01-12,6.005,6.295,6.005,6.26,6.26,984128
2023-01-13,6.29,6.33,6.22,6.31,6.31,660013
2023-01-16,6.32,6.33,6.145,6.2,6.2,456203
2023-01-17,6.23,6.3,6.18,6.29,6.29,280246
2023-01-18,6.255,6.475,6.255,6.395,6.395,588094
2023-01-19,6.37,6.45,6.295,6.43,6.43,378406
2023-01-20,6.43,6.46,6.365,6.39,6.39,276532
2023-01-23,6.42,6.595,6.36,6.58,6.58,537080
2023-01-24,6.6,7.06,6.6,6.73,6.73,1155022
2023-01-25,6.74,6.75,6.6,6.675,6.675,647503
2023-01-26,6.675,6.755,6.56,6.615,6.615,653807
2023-01-27,6.67,6.77,6.56,6.56,6.56,529519
2023-01-30,6.55,6.68,6.5,6.555,6.555,681515
2023-01-31,6.58,6.785,6.535,6.75,6.75,781593
2023-02-01,6.79,6.79,6.42,6.42,6.42,1151298
2023-02-02,6.52,6.6,6.45,6.48,6.48,363190
2023-02-03,6.48,6.52,6.36,6.39,6.39,481419
2023-02-06,6.39,6.39,6.22,6.25,6.25,628910
2023-02-07,6.225,6.38,6.2,6.38,6.38,231463
2023-02-08,6.38,6.425,6.3,6.35,6.35,352495
2023-02-09,6.35,6.485,6.32,6.46,6.46,370201
2023-02-10,6.36,6.395,6.23,6.35,6.35,870557
2023-02-13,6.35,6.41,6.32,6.35,6.35,739513
2023-02-14,6.38,6.445,6.325,6.415,6.415,323899
2023-02-15,6.435,6.435,6.29,6.375,6.375,233701
2023-02-16,6.4,6.545,6.39,6.5,6.5,399529
2023-02-17,6.45,6.575,6.41,6.575,6.575,249778
