Date,Open,High,Low,Close,Adjusted_close,Volume
2023-01-09,73.7,75.95,73.7,75.85,75.85,113199
2023-01-10,75.85,75.9,74.5,74.8,74.8,78513
2023-01-11,74.75,75.05,73.0,73.1,73.1,92026
2023-01-12,73.0,75.4,73.0,73.45,73.45,88496
2023-01-13,73.55,73.6,72.35,72.8,72.8,92404
2023-01-16,73.0,73.7,72.1,73.35,73.35,52601
2023-01-17,72.95,74.5,72.55,73.85,73.85,70783
2023-01-18,73.8,75.4,73.7,73.95,73.95,72740
2023-01-19,73.95,74.05,73.0,73.55,73.55,84169
2023-01-20,73.4,73.7,71.75,71.75,71.75,143384
2023-01-23,71.8,74.2,71.8,73.45,73.45,53886
2023-01-24,74.05,75.15,73.55,73.55,73.55,63307
2023-01-25,73.9,74.5,73.15,73.4,73.4,42438
2023-01-26,74.85,75.45,73.2,75.05,75.05,49555
2023-01-27,75.25,75.6,74.5,74.65,74.65,56268
2023-01-30,74.05,75.1,74.05,74.05,74.05,32212
2023-01-31,74.05,77.0,74.0,76.15,76.15,102063
2023-02-01,77.0,77.0,75.75,75.75,75.75,80663
2023-02-02,76.9,78.9,76.5,78.15,78.15,94449
2023-02-03,78.5,79.8,78.15,79.0,79.0,55989
2023-02-06,79.0,79.0,77.05,77.3,77.3,49047
2023-02-07,77.85,78.4,77.0,78.2,78.2,42680
2023-02-08,78.45,78.85,77.85,78.15,78.15,35745
2023-02-09,78.0,81.65,78.0,81.65,81.65,185729
2023-02-10,81.65,81.65,78.35,78.7,78.7,86794
2023-02-13,79.0,79.95,78.55,79.55,79.55,64663
2023-02-14,80.05,80.5,78.5,79.1,79.1,58837
2023-02-15,80.05,80.8,79.0,80.5,80.5,62136
2023-02-16,80.7,80.9,79.45,80.5,80.5,56345
2023-02-17,80.5,80.5,79.5,79.75,79.75,37663
2023-02-20,80.0,80.1,78.8,79.25,79.25,34261
2023-02-21,79.25,79.45,77.65,78.8,78.8,44815
2023-02-22,79.0,79.0,77.9,78.5,78.5,42936
2023-02-23,78.65,79.0,77.5,78.45,78.45,38848
2023-02-24,79.0,79.7,78.45,78.9,78.9,31672
2023-02-27,78.9,80.6,78.7,80.25,80.25,36555
2023-02-28,80.0,80.3,78.8,79.85,79.85,44188
2023-03-01,80.0,80.7,79.75,80.4,80.4,72273
2023-03-02,80.5,80.55,78.6,78.95,78.95,51641
2023-03-03,79.4,79.85,78.65,79.6,79.6,22582
2023-03-06,80.4,80.65,80.0,80.3,80.3,127841
2023-03-07,80.4,80.7,79.7,80.1,80.1,33446
2023-03-08,80.0,80.9,79.45,80.05,80.05,70183
2023-03-09,80.15,80.85,79.55,80.1,80.1,40212
2023-03-10,78.6,78.9,77.3,77.5,77.5,48009
2023-03-13,77.6,77.6,75.55,76.75,76.75,88059
2023-03-14,77.5,77.5,74.55,74.8,74.8,47737
2023-03-15,75.6,75.9,74.3,75.15,75.15,79440
2023-03-16,75.45,75.8,74.1,75.45,75.45,57500
2023-03-17,75.5,76.15,72.3,73.05,73.05,131588
2023-03-20,73.0,74.0,71.75,73.0,73.0,58300
2023-03-21,73.0,75.3,73.0,75.0,75.0,105894
2023-03-22,75.7,75.95,74.8,75.45,75.45,35573
2023-03-23,75.9,76.0,75.2,75.4,75.4,38417
2023-03-24,74.75,76.35,74.75,75.05,75.05,93908
2023-03-27,75.05,75.8,74.9,75.1,75.1,46422
2023-03-28,75.0,75.65,74.9,75.0,75.0,85059
2023-03-29,75.7,76.35,74.8,75.0,75.0,80116
2023-03-30,75.0,75.9,74.8,75.35,75.35,56867
2023-03-31,76.3,76.65,75.5,76.1,76.1,51322
2023-04-03,76.6,76.65,75.0,75.0,75.0,37435
2023-04-04,75.6,75.6,74.75,75.05,75.05,37717
2023-04-05,75.3,76.45,74.7,76.0,76.0,30515
2023-04-06,76.25,76.25,75.0,75.1,75.1,53225
