Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-30,6.35,6.568,6.212,6.288,6.288,534331
2022-12-01,6.0,6.04,5.634,5.698,5.698,2894511
2022-12-02,5.69,5.85,5.57,5.58,5.58,1038761
2022-12-05,5.59,5.85,5.422,5.65,5.65,1544855
2022-12-06,5.7,5.792,5.58,5.666,5.666,464105
2022-12-07,5.722,5.994,5.626,5.856,5.856,1223251
2022-12-08,5.87,5.9,5.758,5.76,5.76,435488
2022-12-09,5.77,5.948,5.75,5.85,5.85,399954
2022-12-12,5.89,6.06,5.752,5.938,5.938,638449
2022-12-13,5.95,5.958,5.772,5.81,5.81,384890
2022-12-14,5.826,5.976,5.764,5.768,5.768,474598
2022-12-15,5.768,5.8,5.66,5.694,5.694,293174
2022-12-16,5.69,5.76,5.45,5.562,5.562,607482
2022-12-19,5.67,5.758,5.5,5.5,5.5,329876
2022-12-20,5.47,5.586,5.352,5.542,5.542,556276
2022-12-21,5.55,5.85,5.55,5.72,5.72,636131
2022-12-22,5.73,5.798,5.55,5.582,5.582,283386
2022-12-23,5.646,5.646,5.55,5.6,5.6,217391
2022-12-27,5.58,5.744,5.55,5.55,5.55,604557
2022-12-28,5.55,5.7,5.502,5.572,5.572,772188
2022-12-29,5.62,6.04,5.604,6.03,6.03,1471658
2022-12-30,6.0,6.322,5.922,5.99,5.99,1495576
2023-01-02,5.96,6.198,5.88,6.036,6.036,542680
2023-01-03,6.15,6.476,6.15,6.27,6.27,1306175
2023-01-04,6.35,6.448,6.252,6.39,6.39,583923
2023-01-05,6.362,6.44,6.26,6.284,6.284,422656
2023-01-09,6.3,6.46,6.222,6.26,6.26,581534
2023-01-10,6.266,6.392,6.15,6.31,6.31,641011
2023-01-11,6.36,6.648,6.33,6.42,6.42,1088893
2023-01-12,6.53,6.55,6.08,6.09,6.09,1072860
2023-01-13,6.09,6.33,6.09,6.25,6.25,418839
2023-01-16,6.25,6.252,6.112,6.16,6.16,292989
2023-01-17,6.18,6.18,6.002,6.07,6.07,259985
2023-01-18,6.06,6.19,5.97,6.07,6.07,345939
2023-01-19,6.05,6.168,5.926,5.97,5.97,337977
2023-01-20,6.036,6.15,5.916,6.15,6.15,256614
2023-01-23,6.148,6.198,6.056,6.076,6.076,218854
2023-01-24,6.07,6.12,6.016,6.03,6.03,279955
2023-01-25,6.1,6.302,6.042,6.12,6.12,570546
2023-01-26,6.064,6.172,6.05,6.07,6.07,210445
2023-01-27,6.1,6.148,6.05,6.13,6.13,246474
2023-01-30,6.104,6.23,6.082,6.16,6.16,412245
