Date,Open,High,Low,Close,Adjusted_close,Volume
2023-05-24,22.5,22.5,21.8,21.95,21.95,16577
2023-05-25,22.1,22.1,21.7,21.9,21.9,10395
2023-05-26,21.4,21.8,20.95,21.8,21.8,26552
2023-05-29,21.85,22.25,21.8,22.0,22.0,4884
2023-05-30,22.0,22.25,21.8,22.05,22.05,2567
2023-05-31,22.0,22.0,20.95,21.0,21.0,18374
2023-06-01,21.05,21.5,21.05,21.4,21.4,7344
2023-06-02,21.3,21.6,21.3,21.45,21.45,5273
2023-06-05,21.45,22.0,21.4,21.55,21.55,5486
2023-06-06,21.6,21.85,21.5,21.55,21.55,8623
2023-06-07,21.75,22.0,21.3,21.95,21.95,11221
2023-06-09,21.9,22.0,21.5,21.7,21.7,9505
2023-06-12,21.75,21.95,21.4,21.4,21.4,8969
2023-06-13,21.4,21.4,20.6,20.7,20.7,33923
2023-06-14,20.7,21.0,20.5,20.55,20.55,24494
2023-06-15,20.55,20.55,19.2,20.0,20.0,59769
2023-06-16,20.1,20.2,20.0,20.2,20.2,40413
2023-06-19,20.2,20.7,20.0,20.55,20.55,14090
2023-06-20,20.55,20.55,20.05,20.2,20.2,12367
2023-06-21,20.3,20.4,20.1,20.1,20.1,9764
2023-06-22,20.0,20.35,20.0,20.35,20.35,7526
2023-06-23,20.3,20.3,20.15,20.15,20.15,4982
2023-06-26,20.1,20.35,20.0,20.15,20.15,3987
2023-06-27,20.2,20.25,20.0,20.0,20.0,5109
2023-06-28,20.1,20.15,19.6,19.78,19.78,17648
2023-06-29,19.8,19.96,19.5,19.6,19.6,15077
2023-06-30,19.52,19.78,18.48,19.1,19.1,80601
2023-07-03,19.22,19.22,18.76,19.08,19.08,32692
2023-07-04,19.0,19.1,18.76,18.98,18.98,26802
2023-07-05,18.82,22.9,18.82,21.35,21.35,278381
2023-07-06,21.35,21.35,19.72,19.8,19.8,100668
2023-07-07,19.8,20.4,19.64,20.0,20.0,30239
2023-07-10,20.0,20.2,19.68,20.1,20.1,13298
2023-07-11,20.1,20.35,19.9,20.05,20.05,11944
2023-07-12,20.25,22.1,20.1,21.4,21.4,86050
2023-07-13,21.75,22.85,21.45,21.55,21.55,107648
2023-07-14,21.7,21.75,20.65,20.7,20.7,68484
2023-07-17,20.85,21.9,20.75,21.25,21.25,43097
2023-07-18,21.25,21.45,20.9,21.05,21.05,15710
2023-07-19,21.25,21.3,20.75,20.95,20.95,16804
2023-07-20,21.2,21.25,20.8,21.15,21.15,13422
2023-07-21,21.15,21.4,20.9,21.2,21.2,10626
2023-07-24,21.2,21.3,21.0,21.3,21.3,10581
2023-07-25,21.1,21.8,21.05,21.5,21.5,14183
2023-07-26,21.55,21.75,21.05,21.2,21.2,16242
2023-07-27,21.0,21.0,20.2,20.85,20.85,24375
2023-07-28,20.85,20.95,20.7,20.7,20.7,8589
2023-07-31,20.7,20.7,20.4,20.5,20.5,19018
2023-08-01,20.65,20.65,20.3,20.4,20.4,13814
2023-08-02,20.4,20.9,20.2,20.4,20.4,15956
2023-08-03,20.35,20.5,20.05,20.3,20.3,14521
2023-08-04,20.3,20.65,20.15,20.2,20.2,14679
2023-08-07,20.1,20.45,20.1,20.2,20.2,10350
2023-08-08,20.0,20.2,19.9,20.0,20.0,16827
2023-08-09,20.0,20.2,19.88,20.2,20.2,8702
2023-08-10,20.2,20.5,19.8,20.05,20.05,13293
2023-08-11,20.05,20.4,19.86,19.88,19.88,9519
2023-08-14,19.88,19.9,19.52,19.88,19.88,12247
