Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-08-18,54704.51,55293.12,54632.76,55245.45,21,28,2,1
2022-08-19,54835.27,55076.13,54371.76,54398.69,21,28,2,1
2022-08-22,54034.65,54219.6,53106.34,53368.61,21,28,2,1
2022-08-23,53171.86,53954.79,53142.46,53689.66,21,28,2,1
2022-08-24,53470.43,53644.27,52577.28,52711.92,21,28,2,1
2022-08-25,53157.23,53585.17,52828.74,53074.42,21,28,2,1
2022-08-26,53139.82,53229.0,52100.93,52282.33,21,28,2,1
2022-08-29,51490.17,51539.11,50923.65,51274.1,21,28,2,1
2022-08-30,51537.09,51643.66,50240.74,50240.74,21,28,2,1
2022-08-31,50448.6,50605.52,49747.29,50174.09,21,28,2,1
2022-09-01,49678.88,49768.57,48479.34,48479.34,21,28,2,1
2022-09-02,48886.48,49671.47,48606.43,49671.47,21,28,2,1
2022-09-05,49159.05,49661.68,49061.44,49380.47,21,28,2,1
2022-09-06,49467.63,49726.74,48137.64,48373.48,21,28,2,1
2022-09-07,48059.94,48902.57,47796.75,48883.67,21,28,2,1
2022-09-08,49396.73,49573.84,48752.57,49104.24,21,28,2,1
2022-09-09,49658.1211,50708.6094,49593.6992,50708.6094,21,28,2,1
2022-09-12,51043.86,51323.52,50372.35,51295.23,21,28,2,1
2022-09-13,51598.78,51638.56,49982.01,50065.29,21,28,2,1
2022-09-14,49761.33,50389.12,49761.33,50296.85,21,28,2,1
2022-09-15,50319.13,50860.53,50245.07,50571.87,21,28,2,1
2022-09-16,50321.1,50333.38,49030.96,49350.07,21,28,2,1
2022-09-19,49417.48,50071.88,49352.18,50071.88,21,28,2,1
2022-09-20,50352.59,50591.64,49209.6,49253.15,21,28,2,1
2022-09-21,49014.44,49594.19,48907.1,49477.58,21,28,2,1
2022-09-22,48933.31,49951.07,48920.91,49765.47,21,28,2,1
2022-09-23,49724.57,49724.57,47957.52,48081.16,21,28,2,1
2022-09-26,47305.86,47787.56,46550.49,47185.13,21,28,2,1
2022-09-27,47613.15,48166.39,47536.03,47859.82,21,28,2,1
2022-09-28,47289.26,47504.28,46569.31,47468.26,21,28,2,1
2022-09-29,47686.77,47730.58,45726.31,45864.62,21,28,2,1
2022-09-30,46226.86,46346.78,45597.65,45970.64,21,28,2,1
2022-10-03,45840.63,46312.48,45023.49,46312.48,21,28,2,1
2022-10-04,47046.13,48070.03,46957.26,48070.03,21,28,2,1
2022-10-05,48030.75,48030.75,47155.99,47160.97,21,28,2,1
2022-10-06,47559.04,47999.96,47021.53,47299.55,21,28,2,1
2022-10-07,47000.91,47316.8,46734.06,46911.05,21,28,2,1
2022-10-10,46529.45,46667.3,46070.95,46086.4,21,28,2,1
2022-10-11,45932.3,46743.24,45595.64,46217.66,21,28,2,1
2022-10-12,46441.13,46441.13,45870.77,46071.33,21,28,2,1
2022-10-13,46020.04,46239.19,45017.5,45621.39,21,28,2,1
2022-10-14,46719.02,46913.46,46297.16,46570.39,21,28,2,1
2022-10-17,46567.39,47120.45,46243.22,47009.07,21,28,2,1
2022-10-18,47237.86,47665.25,47104.48,47349.71,21,28,2,1
2022-10-19,47386.83,47386.83,46453.98,46509.19,21,28,2,1
2022-10-20,46504.95,47365.6,46215.3,47283.29,21,28,2,1
2022-10-21,46956.85,47261.27,46363.63,46768.23,21,28,2,1
2022-10-24,47254.77,47639.44,46832.68,47370.66,21,28,2,1
2022-10-25,47594.06,47893.27,47133.74,47700.34,21,28,2,1
2022-10-26,47753.64,48934.47,47753.64,48934.47,21,28,2,1
2022-10-27,48870.62,49437.4,48636.16,49437.4,21,28,2,1
