Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-09,24.77,25.16,24.19,24.275,24.275,2354362
2022-11-10,24.0,26.185,23.705,25.925,25.925,4303425
2022-11-14,26.39,26.94,25.48,25.83,25.83,5470105
2022-11-15,25.89,26.85,25.4,26.6,26.6,2987856
2022-11-16,26.3,26.48,25.4,25.5,25.5,3221535
2022-11-17,25.9,25.95,24.61,24.83,24.83,4085059
2022-11-18,24.52,24.8,23.915,24.405,24.405,3121412
2022-11-21,24.41,24.5,23.11,23.305,23.305,4471992
2022-11-22,23.3,23.84,23.01,23.62,23.62,1489459
2022-11-23,23.77,24.51,23.42,23.93,23.93,3033691
2022-11-24,24.365,25.55,24.105,25.5,25.5,3663064
2022-11-25,25.36,25.9,25.09,25.46,25.46,1832357
2022-11-28,25.295,25.295,24.08,24.15,24.15,2654752
2022-11-29,24.0,24.37,22.945,23.1,23.1,6426549
2022-11-30,23.72,24.095,22.26,22.345,22.345,9521002
2022-12-01,23.0,23.285,22.67,23.0,23.0,6879320
2022-12-02,23.1,24.17,23.0,23.61,23.61,7037435
2022-12-05,24.0,24.55,23.81,23.9,23.9,2167674
2022-12-06,23.8,24.44,23.67,24.26,24.26,1643990
2022-12-07,24.3,24.91,23.825,24.825,24.825,1812647
2022-12-08,24.9,24.94,23.86,24.29,24.29,1900390
2022-12-09,24.5,24.63,24.09,24.25,24.25,1583996
2022-12-12,24.02,25.075,23.78,25.04,25.04,3173739
2022-12-13,25.02,26.2,24.475,25.88,25.88,3339771
2022-12-14,25.84,26.45,25.755,26.015,26.015,2569987
2022-12-15,25.61,25.78,24.8,24.84,24.84,2843033
2022-12-16,24.61,24.77,24.12,24.44,24.44,4604223
2022-12-19,24.5,24.73,24.135,24.175,24.175,1912436
2022-12-20,23.965,24.465,23.835,24.38,24.38,2436570
2022-12-21,24.45,25.805,24.38,25.8,25.8,4849687
2022-12-22,25.8,26.175,25.45,25.61,25.61,1630972
2022-12-23,25.6,25.76,25.04,25.38,25.38,844416
2022-12-27,25.5,25.5,24.72,24.83,24.83,918153
2022-12-28,24.82,25.15,24.31,24.89,24.89,1767338
2022-12-29,24.905,25.725,24.5,25.515,25.515,2116764
2022-12-30,25.29,25.45,24.91,25.13,25.13,1352354
2023-01-02,25.13,25.98,24.95,25.44,25.44,942381
2023-01-03,25.7,27.195,25.56,26.665,26.665,5057275
2023-01-04,26.7,27.18,26.43,27.0,27.0,2827662
2023-01-05,27.0,27.375,26.3,26.65,26.65,3409639
2023-01-09,27.35,28.79,27.2,28.66,28.66,4846643
2023-01-10,28.19,29.29,27.8,28.91,28.91,3295461
2023-01-11,28.85,29.39,28.515,29.075,29.075,3045085
2023-01-12,29.09,31.24,28.92,30.975,30.975,9564245
2023-01-13,31.535,31.62,30.585,31.355,31.355,4273577
2023-01-16,31.5,32.1,30.69,31.7,31.7,1891203
2023-01-17,31.6,31.8,30.905,31.5,31.5,3778109
2023-01-18,31.48,32.54,31.225,32.225,32.225,4202754
2023-01-19,31.0,31.45,29.36,29.52,29.52,8926052
2023-01-20,29.76,29.795,28.715,28.725,28.725,3125939
2023-01-23,29.2,30.0,29.025,29.86,29.86,3045260
2023-01-24,30.1,30.365,29.22,29.4,29.4,3308259
2023-01-25,29.2,29.675,28.65,29.07,29.07,1622100
2023-01-26,29.49,30.31,29.49,30.0,30.0,5427253
2023-01-27,30.2,30.35,29.72,30.125,30.125,2295170
2023-01-30,29.9,30.085,29.5,29.69,29.69,1396128
2023-01-31,29.5,30.2,29.25,29.96,29.96,2839795
2023-02-01,30.0,30.125,28.955,29.555,29.555,2212486
2023-02-02,30.1,31.3,30.03,31.07,31.07,5367110
2023-02-03,30.89,31.73,30.5,31.505,31.505,5374855
2023-02-06,31.035,31.8,30.89,31.125,31.125,3233754
2023-02-07,31.14,31.2,30.365,30.88,30.88,2235740
2023-02-08,31.0,32.025,30.99,31.39,31.39,2181402
2023-02-09,31.48,31.93,31.1,31.24,31.24,1360724
2023-02-10,30.9,30.9,29.235,29.68,29.68,3499271
2023-02-13,29.68,29.845,29.36,29.725,29.725,1145251
2023-02-14,30.0,30.215,29.4,29.565,29.565,1666614
2023-02-15,29.585,29.945,29.36,29.6,29.6,743033
2023-02-16,29.95,30.01,28.82,29.15,29.15,1434538
2023-02-17,28.8,29.37,28.5,29.03,29.03,2087373
2023-02-20,29.22,29.635,28.615,28.825,28.825,1566714
2023-02-21,28.9,28.9,27.63,27.7,27.7,3742275
2023-02-22,27.615,28.105,27.15,27.99,27.99,3692902
2023-02-23,27.99,29.1,27.99,28.8,28.8,2228394
2023-02-24,28.99,29.08,28.27,28.4,28.4,1878429
2023-02-27,28.4,29.15,28.395,28.8,28.8,1717354
2023-02-28,28.8,29.455,28.43,29.055,29.055,3695950
2023-03-01,29.35,29.355,28.13,28.295,28.295,1713137
2023-03-02,28.01,28.315,27.745,27.825,27.825,2554118
2023-03-03,28.08,28.815,28.0,28.74,28.74,1518399
2023-03-06,29.0,29.18,28.525,28.855,28.855,1246683
2023-03-07,28.9,29.22,28.07,28.29,28.29,1425498
2023-03-08,28.0,28.48,27.825,28.335,28.335,1408541
2023-03-09,28.475,28.475,27.92,28.045,28.045,794950
2023-03-10,27.355,27.735,27.01,27.39,27.39,1956089
2023-03-13,27.35,27.815,26.315,27.16,27.16,2648483
2023-03-14,27.3,27.735,27.01,27.535,27.535,1589307
2023-03-15,27.655,27.76,26.6,26.925,26.925,2379330
2023-03-16,27.18,27.3,26.35,27.3,27.3,2021457
2023-03-17,27.37,27.7,26.405,26.81,26.81,2888049
2023-03-20,26.8,27.18,26.15,27.1,27.1,1053943
2023-03-21,27.2,27.28,25.86,26.12,26.12,3593176
2023-03-22,26.42,26.72,26.075,26.265,26.265,1902575
2023-03-23,26.44,26.655,25.72,26.38,26.38,1350550
2023-03-24,26.08,26.58,25.91,26.015,26.015,1672188
2023-03-27,26.005,26.47,25.98,26.16,26.16,1901724
2023-03-28,26.375,26.825,25.9,25.9,25.9,2906529
2023-03-29,26.18,26.43,25.535,26.105,26.105,3272679
2023-03-30,26.72,30.245,26.68,29.755,29.755,9721791
2023-03-31,29.73,29.75,28.86,29.305,29.305,2913433
2023-04-03,29.5,30.86,29.295,30.595,30.595,2494157
2023-04-04,30.63,31.045,30.055,30.37,30.37,1454444
2023-04-05,30.36,30.58,29.795,30.015,30.015,1654262
2023-04-06,30.06,30.14,29.8,30.025,30.025,787542
2023-04-11,30.0,30.85,29.62,30.51,30.51,2021798
2023-04-12,30.4,31.37,30.345,31.02,31.02,2104745
2023-04-13,30.92,31.96,30.8,31.78,31.78,3169958
2023-04-14,31.98,32.1,31.01,31.08,31.08,1322322
2023-04-17,31.175,32.065,30.55,31.83,31.83,1355565
2023-04-18,31.78,32.57,31.7,31.93,31.93,2063441
2023-04-19,31.9,32.555,31.455,32.385,32.385,1247956
2023-04-20,32.185,33.385,32.185,32.865,32.865,2603184
2023-04-21,32.805,32.855,31.8,32.825,32.825,1840881
2023-04-24,32.82,33.17,32.625,33.0,33.0,1031697
