Date,Open,High,Low,Close,Adjusted_close,Volume
2022-10-04,6.3,6.3,5.96,6.08,6.08,5086
2022-10-05,6.1,6.2,6.06,6.14,6.14,2443
2022-10-06,6.12,6.2,6.08,6.18,6.18,882
2022-10-07,6.2,6.2,6.06,6.1,6.1,1019
2022-10-10,6.0,6.1,5.88,5.88,5.88,5502
2022-10-11,5.98,5.98,5.76,5.88,5.88,1879
2022-10-12,5.88,5.98,5.8,5.98,5.98,2194
2022-10-13,5.98,6.06,5.7,6.06,6.06,4814
2022-10-14,6.04,6.04,5.72,5.72,5.72,6449
2022-10-17,6.0,6.0,5.82,5.82,5.82,3234
2022-10-18,5.92,5.92,5.72,5.82,5.82,2021
2022-10-19,5.82,5.82,5.68,5.74,5.74,651
2022-10-20,5.76,5.78,5.68,5.78,5.78,1862
2022-10-21,5.82,6.0,5.76,5.84,5.84,1298
2022-10-24,5.84,5.84,5.84,5.84,5.84,702
2022-10-25,5.96,5.96,5.76,5.9,5.9,1403
2022-10-26,5.96,6.0,5.92,6.0,6.0,2514
2022-10-27,5.96,5.96,5.8,5.96,5.96,792
2022-10-28,5.96,5.96,5.8,5.94,5.94,447
2022-10-31,5.9,5.96,5.9,5.96,5.96,5313
2022-11-02,6.0,6.38,5.96,6.38,6.38,11309
2022-11-03,6.38,6.38,6.1,6.3,6.3,1057
2022-11-04,6.36,6.36,6.22,6.3,6.3,1059
2022-11-07,6.3,6.46,6.22,6.36,6.36,1015
2022-11-08,6.36,6.36,5.96,6.32,6.32,2171
2022-11-09,6.32,6.32,6.12,6.28,6.28,540
2022-11-10,6.28,6.36,5.96,6.1,6.1,16023
2022-11-14,6.18,6.18,5.8,5.88,5.88,9777
2022-11-15,5.96,5.96,5.82,5.82,5.82,5824
2022-11-16,5.82,5.98,5.82,5.94,5.94,535
2022-11-17,5.98,6.08,5.94,6.08,6.08,1480
2022-11-18,6.08,6.2,5.9,6.12,6.12,1837
2022-11-21,5.92,6.06,5.86,6.04,6.04,2621
2022-11-22,6.04,6.04,5.82,5.96,5.96,1767
2022-11-23,5.94,6.16,5.9,6.1,6.1,4101
2022-11-24,6.2,6.2,6.0,6.2,6.2,1207
2022-11-25,6.2,6.34,6.18,6.2,6.2,1467
2022-11-28,6.0,6.2,5.9,5.98,5.98,7872
2022-11-29,5.98,6.0,5.98,6.0,6.0,1227
2022-11-30,6.08,6.08,5.84,5.9,5.9,5019
2022-12-01,5.98,5.98,5.76,5.98,5.98,7799
2022-12-02,5.98,5.98,5.8,5.86,5.86,7174
2022-12-05,5.98,6.0,5.84,6.0,6.0,4694
2022-12-06,6.06,6.06,5.86,6.0,6.0,173
2022-12-07,6.06,6.06,5.82,5.96,5.96,4942
2022-12-08,5.96,5.96,5.8,5.9,5.9,3716
2022-12-09,5.82,5.9,5.82,5.9,5.9,1971
2022-12-12,5.9,6.0,5.8,6.0,6.0,4120
2022-12-13,5.86,5.92,5.76,5.78,5.78,3788
2022-12-14,5.92,5.92,5.7,5.84,5.84,4528
2022-12-15,5.84,5.84,5.84,5.84,5.84,720
2022-12-16,5.86,5.86,5.68,5.76,5.76,2093
2022-12-19,5.82,5.82,5.64,5.74,5.74,4093
2022-12-20,5.64,5.76,5.42,5.5,5.5,7731
2022-12-21,5.44,5.5,5.4,5.5,5.5,3131
2022-12-22,5.5,5.5,5.02,5.3,5.3,26597
2022-12-23,5.28,5.38,5.04,5.36,5.36,12916
2022-12-27,5.16,5.38,5.14,5.26,5.26,5381
2022-12-28,5.3,5.34,5.22,5.3,5.3,6325
2022-12-29,5.2,5.34,5.2,5.3,5.3,8609
2022-12-30,5.3,5.42,5.2,5.42,5.42,6111
2023-01-02,5.42,5.7,5.42,5.66,5.66,4153
2023-01-03,5.66,5.9,5.66,5.9,5.9,10459
2023-01-04,5.92,6.06,5.92,6.0,6.0,7995
2023-01-05,6.08,6.08,5.72,5.84,5.84,6832
2023-01-09,5.84,6.0,5.8,5.86,5.86,12336
2023-01-10,5.84,5.96,5.84,5.86,5.86,4718
2023-01-11,5.98,6.16,5.82,5.92,5.92,8838
2023-01-12,5.92,6.36,5.92,6.24,6.24,12675
2023-01-13,6.26,6.36,6.1,6.26,6.26,3406
2023-01-16,6.3,6.5,6.1,6.36,6.36,18678
2023-01-17,6.3,6.3,5.8,5.98,5.98,23647
2023-01-18,6.08,6.16,5.92,5.92,5.92,6371
2023-01-19,6.1,6.1,5.72,5.76,5.76,10600
2023-01-20,5.74,5.92,5.62,5.68,5.68,8393
2023-01-23,5.68,5.88,5.68,5.8,5.8,28098
2023-01-24,6.1,6.1,5.76,5.98,5.98,122607
2023-01-25,5.98,6.08,5.9,5.94,5.94,15071
2023-01-26,5.94,6.36,5.94,6.34,6.34,35258
2023-01-27,6.32,6.94,6.32,6.94,6.94,54699
2023-01-30,7.0,7.2,6.7,7.0,7.0,39014
2023-01-31,7.04,7.18,7.0,7.14,7.14,17228
2023-02-01,7.14,7.4,7.1,7.2,7.2,24422
2023-02-02,7.32,7.38,7.2,7.24,7.24,8907
2023-02-03,7.24,7.3,6.9,7.16,7.16,4618
2023-02-06,7.16,7.16,6.9,7.0,7.0,8350
2023-02-07,7.1,7.1,6.8,6.96,6.96,4709
2023-02-08,6.96,7.14,6.94,7.14,7.14,5444
2023-02-09,7.18,8.22,7.1,8.04,8.04,66039
2023-02-10,8.24,8.3,7.9,8.18,8.18,11462
2023-02-13,8.18,8.5,8.18,8.5,8.5,12882
2023-02-14,8.5,8.62,8.4,8.6,8.6,13197
