Date,Open,High,Low,Close,Adjusted_close,Volume
2023-04-03,50.0,50.4,50.0,50.4,50.4,3319
2023-04-04,50.4,50.4,50.0,50.4,50.4,4076
2023-04-05,49.2,49.9,48.6,48.7,48.7,220
2023-04-06,48.7,48.7,48.5,48.5,48.5,418
2023-04-11,48.7,50.4,48.7,50.4,50.4,4693
2023-04-12,49.2,50.4,49.0,50.4,50.4,13112
2023-04-13,50.0,50.0,49.4,49.8,49.8,14041
2023-04-14,50.0,50.8,48.7,48.7,48.7,21165
2023-04-17,48.7,50.2,48.7,50.2,50.2,2343
2023-04-18,50.0,50.2,49.3,50.2,50.2,87
2023-04-19,50.2,50.2,49.3,49.3,49.3,1541
2023-04-20,49.2,50.0,49.2,50.0,50.0,467
2023-04-21,50.0,50.0,49.0,50.0,50.0,485
2023-04-24,50.0,50.0,50.0,50.0,50.0,251
2023-04-25,50.2,54.0,50.2,54.0,54.0,22549
2023-04-26,53.0,53.8,51.0,53.6,53.6,853
2023-04-27,51.6,53.6,51.6,52.2,52.2,65
2023-04-28,52.2,53.4,51.0,52.0,52.0,6984
2023-05-02,52.6,52.6,51.0,51.0,51.0,11823
2023-05-04,52.0,52.0,50.2,50.4,50.4,37383
2023-05-05,50.4,53.4,50.4,53.4,53.4,866
2023-05-08,53.4,53.4,51.8,51.8,51.8,351
2023-05-09,51.8,52.4,51.6,52.0,52.0,122
2023-05-10,51.8,53.2,51.6,53.0,53.0,615
2023-05-11,52.8,52.8,52.0,52.0,52.0,254
2023-05-12,52.6,52.6,51.6,51.6,51.6,68
2023-05-15,51.8,52.0,51.6,51.8,51.8,95
2023-05-16,51.8,52.0,51.2,51.4,51.4,1272
2023-05-17,50.4,50.4,50.0,50.2,50.2,2048
2023-05-18,51.2,52.0,50.2,50.2,50.2,6022
2023-05-19,51.8,51.8,50.0,50.2,50.2,3939
2023-05-22,50.2,50.6,49.2,49.8,49.8,1646
2023-05-23,50.4,51.8,49.8,50.4,50.4,3298
2023-05-24,50.4,50.6,49.8,50.6,50.6,1170
2023-05-25,50.8,50.8,50.0,50.0,50.0,323
2023-05-26,49.8,51.0,49.6,50.0,50.0,520
2023-05-29,49.6,50.0,49.2,49.9,49.9,343
2023-05-30,49.9,50.6,49.8,50.2,50.2,437
2023-05-31,50.6,50.6,50.4,50.4,50.4,74
2023-06-01,50.4,50.4,48.0,49.0,49.0,3131
2023-06-02,49.7,49.7,47.8,49.0,49.0,21078
2023-06-05,49.4,49.6,48.5,49.0,49.0,846
2023-06-06,49.5,49.5,48.5,48.6,48.6,50316
2023-06-07,49.3,49.4,48.5,48.6,48.6,27477
2023-06-09,48.6,48.8,47.4,48.0,48.0,8950
2023-06-12,48.8,48.8,47.4,47.7,47.7,1220
2023-06-13,47.7,48.1,47.0,47.0,47.0,1235
2023-06-14,47.3,47.9,47.3,47.7,47.7,492
2023-06-15,47.7,47.8,47.1,47.1,47.1,716
2023-06-16,47.2,47.8,46.7,46.7,46.7,1698
2023-06-19,47.0,47.1,46.0,46.7,46.7,3974
2023-06-20,46.6,46.7,45.9,46.1,46.1,2213
2023-06-21,46.5,46.7,46.2,46.7,46.7,1281
2023-06-22,46.3,47.2,46.3,47.0,47.0,7770
2023-06-23,46.7,47.4,46.6,47.3,47.3,4494
2023-06-26,47.5,47.9,46.6,47.0,47.0,960
2023-06-27,46.7,48.4,46.7,48.4,48.4,671
2023-06-28,48.4,49.0,47.4,48.8,48.8,6327
2023-06-29,48.0,48.0,46.8,46.8,46.8,1232
2023-06-30,47.7,48.4,47.0,48.2,48.2,1337
