Date,Open,High,Low,Close,Adjusted_close,Volume
2022-09-16,2.1,2.12,2.05,2.06,2.06,214373
2022-09-19,2.05,2.135,2.05,2.115,2.115,228461
2022-09-20,2.135,2.345,2.13,2.27,2.27,1615961
2022-09-21,2.235,2.445,2.23,2.38,2.38,739707
2022-09-22,2.36,2.54,2.33,2.52,2.52,1832727
2022-09-23,2.55,2.61,2.4,2.495,2.495,946057
2022-09-26,2.46,2.585,2.35,2.585,2.585,701109
2022-09-27,2.56,2.605,2.44,2.485,2.485,477546
2022-09-28,2.43,2.51,2.32,2.43,2.43,1167548
2022-09-29,2.45,2.575,2.43,2.48,2.48,551718
2022-09-30,2.48,2.5,2.435,2.47,2.47,134623
2022-10-03,2.49,2.49,2.325,2.45,2.45,552148
2022-10-04,2.49,2.5,2.395,2.425,2.425,578718
2022-10-05,2.49,2.59,2.44,2.55,2.55,698747
2022-10-06,2.58,2.74,2.56,2.695,2.695,1124673
2022-10-07,2.72,2.75,2.65,2.68,2.68,468198
2022-10-10,2.695,2.695,2.535,2.6,2.6,548098
2022-10-11,2.6,2.635,2.51,2.55,2.55,305996
2022-10-12,2.565,2.585,2.515,2.55,2.55,150665
2022-10-13,2.59,2.66,2.49,2.535,2.535,286347
2022-10-14,2.54,2.7,2.505,2.68,2.68,483673
2022-10-17,2.675,2.71,2.63,2.675,2.675,309980
2022-10-18,2.63,2.695,2.585,2.65,2.65,290275
2022-10-19,2.645,2.67,2.5,2.6,2.6,527581
2022-10-20,2.6,2.625,2.52,2.59,2.59,260526
2022-10-21,2.58,2.61,2.53,2.54,2.54,169906
2022-10-24,2.54,2.65,2.325,2.5,2.5,1550566
2022-10-25,2.5,2.6,2.45,2.5,2.5,440621
2022-10-26,2.505,2.525,2.44,2.44,2.44,272317
2022-10-27,2.41,2.465,2.35,2.4,2.4,425575
2022-10-28,2.375,2.53,2.36,2.53,2.53,596317
2022-10-31,2.525,2.71,2.485,2.7,2.7,1137104
2022-11-02,2.705,2.95,2.695,2.86,2.86,1347996
2022-11-03,2.8,2.85,2.76,2.835,2.835,998017
2022-11-04,2.82,2.89,2.8,2.835,2.835,519802
2022-11-07,2.88,2.88,2.655,2.655,2.655,520970
2022-11-08,2.66,2.75,2.64,2.64,2.64,338690
2022-11-09,2.69,2.7,2.575,2.6,2.6,952747
2022-11-10,2.63,2.755,2.58,2.755,2.755,530349
2022-11-14,2.795,2.795,2.68,2.68,2.68,363689
2022-11-15,2.69,2.79,2.69,2.74,2.74,321450
2022-11-16,2.66,2.74,2.65,2.7,2.7,214393
2022-11-17,2.69,2.7,2.65,2.65,2.65,160139
2022-11-18,2.65,2.74,2.65,2.72,2.72,169013
2022-11-21,2.735,2.75,2.67,2.74,2.74,134340
2022-11-22,2.685,2.81,2.685,2.785,2.785,290858
2022-11-23,2.785,2.855,2.705,2.75,2.75,372646
2022-11-24,2.66,2.66,2.48,2.615,2.615,2183459
2022-11-25,2.62,2.81,2.62,2.8,2.8,901793
2022-11-28,2.8,2.845,2.74,2.765,2.765,239887
2022-11-29,2.755,2.82,2.715,2.725,2.725,236373
